SKU,stock,URL,SP,MRP,productname
http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs?pid=RAQDJ3X3QHZWAZJS,In Stock.,,http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs,,15000,"
                            Babolat Pure Drive Lite GT 2013 4 3/8 Unstrung Tennis Racquet                    "
http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne?pid=RAQDJ3X3KXUFHBNE,In Stock.,,http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne,,13500,"
                            Babolat Pure Drive + Roddick GT 2013 4 3/8 Unstrung Tennis Racquet                    "
http://www.flipkart.com/babolat-aeropro-team-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5eta3sj3ypy?pid=RAQDG5ETA3SJ3YPY,In Stock.,,http://www.flipkart.com/babolat-aeropro-team-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5eta3sj3ypy,,16500,"
                            Babolat Aeropro Team GT 2013 Unstrung - 4 3/8 Tennis Racquet                    "
http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne?pid=RAQDJ3X3KXUFHBNE,In Stock.,,http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne,,13500,"
                            Babolat Pure Drive + Roddick GT 2013 4 3/8 Unstrung Tennis Racquet                    "
http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk?pid=RAQDG5ETBRUYZKKK,In Stock.,,http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk,,16500,"
                            Babolat Aeropro Drive GT 2013 Unstrung - 4 3/8 Tennis Racquet                    "
http://www.flipkart.com/babolat-aeropro-lite-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5et5ryhgxzh?pid=RAQDG5ET5RYHGXZH,In Stock.,,http://www.flipkart.com/babolat-aeropro-lite-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5et5ryhgxzh,,16500,"
                            Babolat Aeropro Lite GT 2013 Unstrung - 4 3/8 Tennis Racquet                    "
http://www.flipkart.com/babolat-pure-drive-roddick-gt-unstrung-tennis-racquet/p/itmdenvcbzz5zat5?pid=RAQDENVCRE5WGPYZ,In Stock.,,http://www.flipkart.com/babolat-pure-drive-roddick-gt-unstrung-tennis-racquet/p/itmdenvcbzz5zat5,,13500,"
                            Babolat Pure Drive+ Roddick GT Unstrung Tennis Racquet                    "
http://www.flipkart.com/butterfly-amultart-zl-carbon-fl-blade-table-tennis/p/itmdewsmswhbh4j7?pid=RAQDCNWAUC7FURZS,In Stock.,,http://www.flipkart.com/butterfly-amultart-zl-carbon-fl-blade-table-tennis/p/itmdewsmswhbh4j7,,18420,"
                            Butterfly Amultart ZL Carbon-FL Blade Table Tennis Blade                    "
http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk?pid=RAQDG5ETBRUYZKKK,In Stock.,,http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk,,16500,"
                            Babolat Aeropro Drive GT 2013 Unstrung - 4 3/8 Tennis Racquet                    "
http://www.flipkart.com/butterfly-timo-boll-zlf-fl-blade-table-tennis/p/itmdewsnhgzttrrh?pid=RAQDCNWAH39GGE8P,In Stock.,,http://www.flipkart.com/butterfly-timo-boll-zlf-fl-blade-table-tennis/p/itmdewsnhgzttrrh,,14900,"
                            Butterfly Timo Boll ZLF-FL Blade Table Tennis Blade                    "
