Item Type,ASIN,Brand Name,Product Name,Size,Price,Description,Specification,Images
Product,B00BMLTY94,ASICS,ASICS Men's Gel Kayano 20 Running Shoe,,22115.15324
SKU,B00BMLV9G0,,Lightning / Silver / Royal,11 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLVGAO,,Lightning / Silver / Royal,8.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLVCKS,,Lightning / Silver / Royal,12 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLUU5Q,,Pine / Lightning / White,9 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51fybHDkcjL.jpg,http://ecx.images-amazon.com/images/I/51E-O3B%2Bn2L.jpg,http://ecx.images-amazon.com/images/I/51LFP47UHoL.jpg,http://ecx.images-amazon.com/images/I/41sg1osaHyL.jpg,http://ecx.images-amazon.com/images/I/41ssEQKzjSL.jpg,http://ecx.images-amazon.com/images/I/41%2BGDGymyWL.jpg,http://ecx.images-amazon.com/images/I/41NPmLOQ0sL.jpg
SKU,B00BMLVEJW,,Lightning / Silver / Royal,14 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLVIGG,,Lightning / Silver / Royal,9.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLV0YG,,Black / White / Gold,9.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51ZMDxiyVOL.jpg,http://ecx.images-amazon.com/images/I/51hSdIR-bkL.jpg,http://ecx.images-amazon.com/images/I/51WSkov7ykL.jpg,http://ecx.images-amazon.com/images/I/41V4uleQF4L.jpg,http://ecx.images-amazon.com/images/I/51pq3icR-4L.jpg,http://ecx.images-amazon.com/images/I/51te5gUAZfL.jpg,http://ecx.images-amazon.com/images/I/51QFRLVBVWL.jpg,http://ecx.images-amazon.com/images/I/4184vIPdfRL.jpg
SKU,B00BMLVGOK,,Lightning / Silver / Royal,8 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLUU06,,Pine / Lightning / White,9.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51fybHDkcjL.jpg,http://ecx.images-amazon.com/images/I/51E-O3B%2Bn2L.jpg,http://ecx.images-amazon.com/images/I/51LFP47UHoL.jpg,http://ecx.images-amazon.com/images/I/41sg1osaHyL.jpg,http://ecx.images-amazon.com/images/I/41ssEQKzjSL.jpg,http://ecx.images-amazon.com/images/I/41%2BGDGymyWL.jpg,http://ecx.images-amazon.com/images/I/41NPmLOQ0sL.jpg
SKU,B00BMLVGEU,,Lightning / Silver / Royal,9 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLUOXY,,Pine / Lightning / White,10 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51fybHDkcjL.jpg,http://ecx.images-amazon.com/images/I/51E-O3B%2Bn2L.jpg,http://ecx.images-amazon.com/images/I/51LFP47UHoL.jpg,http://ecx.images-amazon.com/images/I/41sg1osaHyL.jpg,http://ecx.images-amazon.com/images/I/41ssEQKzjSL.jpg,http://ecx.images-amazon.com/images/I/41%2BGDGymyWL.jpg,http://ecx.images-amazon.com/images/I/41NPmLOQ0sL.jpg
SKU,B00BMLUVV4,,Black / White / Gold,10.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51ZMDxiyVOL.jpg,http://ecx.images-amazon.com/images/I/51hSdIR-bkL.jpg,http://ecx.images-amazon.com/images/I/51WSkov7ykL.jpg,http://ecx.images-amazon.com/images/I/41V4uleQF4L.jpg,http://ecx.images-amazon.com/images/I/51pq3icR-4L.jpg,http://ecx.images-amazon.com/images/I/51te5gUAZfL.jpg,http://ecx.images-amazon.com/images/I/51QFRLVBVWL.jpg,http://ecx.images-amazon.com/images/I/4184vIPdfRL.jpg
SKU,B00BMLUOW0,,Pine / Lightning / White,11.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51fybHDkcjL.jpg,http://ecx.images-amazon.com/images/I/51E-O3B%2Bn2L.jpg,http://ecx.images-amazon.com/images/I/51LFP47UHoL.jpg,http://ecx.images-amazon.com/images/I/41sg1osaHyL.jpg,http://ecx.images-amazon.com/images/I/41ssEQKzjSL.jpg,http://ecx.images-amazon.com/images/I/41%2BGDGymyWL.jpg,http://ecx.images-amazon.com/images/I/41NPmLOQ0sL.jpg
SKU,B00BMLV9LK,,Lightning / Silver / Royal,10 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLUXBC,,Black / White / Gold,15 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51ZMDxiyVOL.jpg,http://ecx.images-amazon.com/images/I/51hSdIR-bkL.jpg,http://ecx.images-amazon.com/images/I/51WSkov7ykL.jpg,http://ecx.images-amazon.com/images/I/41V4uleQF4L.jpg,http://ecx.images-amazon.com/images/I/51pq3icR-4L.jpg,http://ecx.images-amazon.com/images/I/51te5gUAZfL.jpg,http://ecx.images-amazon.com/images/I/51QFRLVBVWL.jpg,http://ecx.images-amazon.com/images/I/4184vIPdfRL.jpg
SKU,B00BMLVCP8,,Lightning / Silver / Royal,11.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLUXDU,,Black / White / Gold,13 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51ZMDxiyVOL.jpg,http://ecx.images-amazon.com/images/I/51hSdIR-bkL.jpg,http://ecx.images-amazon.com/images/I/51WSkov7ykL.jpg,http://ecx.images-amazon.com/images/I/41V4uleQF4L.jpg,http://ecx.images-amazon.com/images/I/51pq3icR-4L.jpg,http://ecx.images-amazon.com/images/I/51te5gUAZfL.jpg,http://ecx.images-amazon.com/images/I/51QFRLVBVWL.jpg,http://ecx.images-amazon.com/images/I/4184vIPdfRL.jpg
SKU,B00BMLV9D8,,Lightning / Silver / Royal,10.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
