Old URL,New URL,
/products?category=cobra,,http://live-you-sport.mybigcommerce.com/brands/Flx.html
/products?category=coghlan-s,,http://live-you-sport.mybigcommerce.com/brands/Fouganza.html
/products?category=columbia,,http://live-you-sport.mybigcommerce.com/brands/Fox-Exer.html
/products?category=compressport,,http://live-you-sport.mybigcommerce.com/brands/Fox40.html
/products?category=cosco,,http://live-you-sport.mybigcommerce.com/brands/Freeload.html
/products?category=cosfer,,http://live-you-sport.mybigcommerce.com/brands/Freet.html
/products?category=craghoppers,,http://live-you-sport.mybigcommerce.com/brands/Friendship.html
/products?category=cratoni,,http://live-you-sport.mybigcommerce.com/brands/FUEL.html
/products?category=crazy,,http://live-you-sport.mybigcommerce.com/brands/FUSION-SPORTS-UK.html
/products?category=cruze,,http://live-you-sport.mybigcommerce.com/brands/G.K.I..html
/products?category=cycleops,,http://live-you-sport.mybigcommerce.com/brands/Garmin.html
/products?category=deemark,,http://live-you-sport.mybigcommerce.com/brands/Gecko.html
/products?category=deuter,,http://live-you-sport.mybigcommerce.com/brands/Generic.html
/products?category=diadora,,http://live-you-sport.mybigcommerce.com/brands/Geologic.html
/products?category=dmt,,http://live-you-sport.mybigcommerce.com/brands/Geonaute.html
/products?category=doite,,http://live-you-sport.mybigcommerce.com/brands/GetActive.html
/products?category=dome,,http://live-you-sport.mybigcommerce.com/brands/Giant.html
/products?category=domyos,,http://live-you-sport.mybigcommerce.com/brands/GIZMO.html
/products?category=donic,,http://live-you-sport.mybigcommerce.com/brands/GM.html
/products?category=dreamfit,,http://live-you-sport.mybigcommerce.com/brands/Go-Siwm.html
/products?category=dsc,,http://live-you-sport.mybigcommerce.com/brands/Golsil.html
/products?category=dukes,,http://live-you-sport.mybigcommerce.com/brands/Golware.html
/products?category=dunlop,,http://live-you-sport.mybigcommerce.com/brands/Good-Horse.html
/products?category=dynafit,,http://live-you-sport.mybigcommerce.com/brands/Gosen.html
/products?category=dynamo,,http://live-you-sport.mybigcommerce.com/brands/Gray-Nicolls.html
/products?category=easton,,http://live-you-sport.mybigcommerce.com/brands/Gray%252dNicolls.html
/products?category=ecowellness,,http://live-you-sport.mybigcommerce.com/brands/Haglofs.html
/products?category=edelrid,,http://live-you-sport.mybigcommerce.com/brands/Harbinger.html
/products?category=ektelon,,http://live-you-sport.mybigcommerce.com/brands/Harrow.html
/products?category=elastoplast,,http://live-you-sport.mybigcommerce.com/brands/HDL.html
/products?category=eleiko,,http://live-you-sport.mybigcommerce.com/brands/Head.html
/products?category=elite,,http://live-you-sport.mybigcommerce.com/brands/Healthline.html
/products?category=energie,,http://live-you-sport.mybigcommerce.com/brands/Helly.html
/products?category=eno,,http://live-you-sport.mybigcommerce.com/brands/Hi%252dTec.html
/products?category=erke,,http://live-you-sport.mybigcommerce.com/brands/Hoka.html
/products?category=ess,,http://live-you-sport.mybigcommerce.com/brands/Horizon.html
/products?category=etonic,,http://live-you-sport.mybigcommerce.com/brands/HotMuggs.html
/products?category=eurohike,,http://live-you-sport.mybigcommerce.com/brands/Hydrapak.html
/products?category=everlast,,http://live-you-sport.mybigcommerce.com/brands/i%252dMASK.html
/products?category=exer,,http://live-you-sport.mybigcommerce.com/brands/iCool.html
/products?category=fenwicks,,http://live-you-sport.mybigcommerce.com/brands/iHealth.html
/products?category=fiber,,http://live-you-sport.mybigcommerce.com/brands/Impertus.html
/products?category=fila,,http://live-you-sport.mybigcommerce.com/brands/Impulse.html
/products?category=finis,,http://live-you-sport.mybigcommerce.com/brands/Indpro.html
/products?category=finish,,http://live-you-sport.mybigcommerce.com/brands/Inesis.html
/products?category=fit-king,,http://live-you-sport.mybigcommerce.com/brands/Inov8.html
/products?category=fitbit,,http://live-you-sport.mybigcommerce.com/brands/iRun.html
