SKU,Stock,URL,SP,MRP,imgurl,productname
1984443031,"
        
            
            In stock.
        
        
    ",http://www.amazon.in/Soleus-Unisex-Digital-Activity-Tracker/dp/B00HYVMTLG," 7,599.00"," 10,990.00",,Soleus SF002 GO! Unisex Digital Activity and Sleep Tracker (Black)
1984443031,"
        
            
            In stock.
        
        
    ",http://www.amazon.in/Soleus-Unisex-Digital-Activity-Tracker/dp/B00HYVMTLG," 7,599.00"," 10,990.00",,Soleus SF002 GO! Unisex Digital Activity and Sleep Tracker (Black)
