Category,SKU,Description,Specification,SP,MRP,SubCategory,productname,Size,imgurl3,imgurl2,imgurl1,stock
Head Tennis Racket Nano Ti Impulse, HEAD_TRNIMPUL,"
	Head Tennis Racket Nano Ti Impulse The Nano Ti Impulse is an upgraded racquet for the intermediate to beginner levels of play The racquet offers a large head size and great control and power Weight 270 gm Balance 325 mm Power level Medium Grip Size 4 1/4 in Material Graphite Composite Swing Speed Moderate Racquet Length 27 inches String Pattern (mains, crosses) 16 X 19 Pre-Strung (Yes/No) Yes",,"Rs. 1,359.00","Rs. 1,699.00",,Head Tennis Racket Nano Ti Impulse,,,,http://scssports.in/image/cache/data/total_dump/nano-ti-impulse-500x500.jpg, Out Of Stock
Wilson US Open  25 Tennis Racket, 033138,,,"Rs. 1,600.00","Rs. 1,999.00",,Wilson US Open  25 Tennis Racket,Junior                        ,,,http://scssports.in/image/cache/data/apparels/033138-500x500.jpg, In Stock
Head Junior Tennis Racket Speed 26, HEAD_JTRSP26,"
	Head Junior Tennis Racket Speed 26 Technology : Graphite Composite Beam : 20 mm Head Size : 660 sq. cm / 102 sq. inch Weight (Unstrung) : 240 g Length : 660 mm String Pattern : 16/19 Racket Cover Included",,"Rs. 3,196.00","Rs. 3,975.00",,Head Junior Tennis Racket Speed 26,,,,http://scssports.in/image/cache/data/total_dump/speed_26-500x500.jpg, In Stock
Wilson Venus/ Serena 25 Tennis Racket, 033139,,,"Rs. 1,440.00","Rs. 1,799.00",,Wilson Venus/ Serena 25 Tennis Racket,Junior                        ,,,http://scssports.in/image/cache/data/apparels/033139-500x500.jpg, In Stock
SCS FT/Ball Goal Post-SCS 132-182 x122x 61-Light, 400288,,,"Rs. 2,699.00","Rs. 3,175.00",,SCS FT/Ball Goal Post-SCS 132-182 x122x 61-Light,,,,http://scssports.in/image/cache/data/Pool/400288-500x500.png, In Stock
Puma Iridum 2000 English Willow Cricket Bat, CRBT_2707027,,,"Rs. 5,839.00","Rs. 7,299.00",,Puma Iridum 2000 English Willow Cricket Bat,,,,http://scssports.in/image/cache/data/total_dump/CRBT_2707027-500x500.jpg, In Stock
SG Elite Right Handed Mens Batting Gloves, BT_1611038,"
	These SG Elite Batting Gloves are made for junior batsmen between the ages of eleven and fifteen years and have full fingers for complete protection. The gloves are made of polyvinyl chloride which is known to be durable and the palms are made of leather. The gloves are padded with foam for impact absorption and have toweled wristband cuffs to hold them in place. The gloves are ventilated with mesh gussets and perforation in the palms and fingers. More than three decades of manufacturing par excellence cricketing goods has made Sanspareils Greenlands the world's go-to company for any serious cricketer, setting new standards with every step. SG prides itself on a research & development team that comprises of world-class cricketers themselves ensuring a unique, first-hand perspective on the exact needs of any player.",,Rs. 520.00,Rs. 649.00,,SG Elite Right Handed Mens Batting Gloves,,,,http://scssports.in/image/cache/data/elite-500x500.jpg, In Stock
Li-Ning High Carbon HC 1200, hc_1200,"
	Dynamic-Optimum Farme  ,
	All-round optimized design improves racket mechanical structure for more efficient attack and defense system. Apart from further increase of sweet point based on isometric frame, the sweet point extends upward and the hitting point is moved higher. The effective defense area is enlarged for severe drop shot and a dropping strength that bursts in a blink. The hitting velocity is improved considerably with widened stringing area and increased bounce strength.    ","
		Weight: 83 +/-4g  ,
		Flex: Medium  ,
		Tension: 26lbs (H), 24lbs (V)  ,
		Balance: 295+/-5mm  ,
		Technology:  Dynamic-Optimum Frame and High tensile Slim Shaft","Rs. 2,766.00","Rs. 4,610.00",,Li-Ning High Carbon HC 1200,,,,http://scssports.in/image/cache/data/badminton/rackets/HC 1200-500x500.jpg, Out Of Stock
Arena Elite Finger Paddle, 24534,"
	FEATURES Small paddles BENEFITS Work out the catch phase on all 4 styles MATERIALS Paddle: Polypropylene Strap: silicone **Actual Product and Color may vary. Colors subject to availability",,Rs. 720.00,Rs. 800.00,,Arena Elite Finger Paddle,,,,http://scssports.in/image/cache/data/goggles/024534-500x500.png, Out Of Stock
SCS Billiard Cue Stick Master-SCS 26-2 Piece-1/2, 400188,,,"Rs. 2,253.00","Rs. 2,650.00",,SCS Billiard Cue Stick Master-SCS 26-2 Piece-1/2,,,,http://scssports.in/image/cache/data/Pool/400188-500x500.png, In Stock
SCS Soccer Table SBT 159, 400311,,,"Rs. 23,715.00","Rs. 27,900.00",,SCS Soccer Table SBT 159,,,,http://scssports.in/image/cache/data/Pool/400311-500x500.png, In Stock
Arena 3D Race Swimming Cap, 24520,"
	Arena 3D Race Swim Cap is one of the most advanced racing caps available today made using 3D modeling technology, its smooth exterior and grippy interior ensure a nearly perfect fit during races. • Uses 3D modeling technology. • Sticky polish inside ensures slip-free use during races. • Optimum compression. • Wrinkle free. • Arena logo on center front. • PVC free. • 100% Silicone. **Actual Product and Color may vary. Colors subject to availability",,"Rs. 1,080.00","Rs. 1,200.00",,Arena 3D Race Swimming Cap,,,,http://scssports.in/image/cache/data/goggles/024520-500x500.png, In Stock
Universal Economy Speed Ball, 023283,"
	Universal Economy Speed Ball,
	Leather construction,
	Hand stitched",,Rs. 660.00,Rs. 730.00,,Universal Economy Speed Ball,,,,http://scssports.in/image/cache/data/USI Speed Ball Economy-500x500.jpg, In Stock
Viva Sports Swimming Bag - Small, VIV_9378104,,,Rs. 594.00,Rs. 625.00,,Viva Sports Swimming Bag - Small,,,,http://scssports.in/image/cache/data/total_dump/VIV_9378104-500x500.jpg, In Stock
Arena Dome Earplug Pro, 59066,"
	FEATURES Dual density silicone Dome Shape Hollow stem BENEFITS Easy to put in and to remove, safe material Perfect seal Improves sound transmission MATERIALS SILICONE DETAILS PVC free **Actual Product and Color may vary. Colors subject to availability",,Rs. 324.00,Rs. 360.00,,Arena Dome Earplug Pro,,,,http://scssports.in/image/cache/data/goggles/059066-500x500.png, Out Of Stock
