SKU,Description,imgurl,productname
 EW01,"Of Cricket Bat such as Titanium Cricket Bat that is hand crafted by using exclusive UK home grown grade 1+ reserve that offers outstanding grain structure and short handle with larger sweet spot for added power in stroke. It has 12 piece cane handle for comfortable feel, flex as well as unmatched control. It is provided with carry case, toe guard, knocking and oiling and free anti scuff sheet. We maintain stringent quality standards and offer these at industry leading rates.Features:  Flawless and smooth finish Robust construction    Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+     Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/FH/MG/MY-3458336/bdm_titanium-250x250.jpg,Titanium Cricket Bat
 EW06,"Offering a huge gamut of Cricket Bats including Dynamic Power Super Cricket Bat that is a traditional bat with new look and is shaped as the famous Asian Bow. It is handcrafted with impeccable weight redistribution system to offer great performance with superb pick. It is extensively preferred by leading batsmen of international level from all cricket playing nations. The bat is pre knocked for outstanding performance and is made from superior grades of unbleached naturally seasoned English Willow.Features:  Internationally acclaimed Seamless performance    Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+     Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/RR/GD/MY-3458336/cricket-bat-bdm-dynamic-power-super-250x250.jpg,Dynamic Power Super Cricket Bat
 EW08,"Of manufacture, supply, and export of a huge assortment of Cricket Bats we are providing Cricket Bat BDM Amazer that is designed by focusing on current cricketing trends and requirements of professional players. These are made from select English Willow and have a larger sweet spot with fine redistribution of weight for seamless pick up with two files on the back of the bat. Our clients can avail these at reasonable price.Features:  Perfectly balanced Seamless performance    Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+     Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/RU/GK/MY-3458336/cricket-bat-bdm-amazer-250x250.jpg,Cricket Bat BDM Amazer
 EW13,"Of Cricket Bats such as Cricket Bat BDM Sting that is designed for the new generation of players. These offer outstanding flexibility to the young players to explore their batting talents with ease and perfection. These are made from English Willow and have ideal redistribution of weight and a perfectly balanced pick up. We adhere to stringent quality norms that are in agreement with preset industry standards and offer these at very reasonable rates to our patrons.Features:  Outstanding pick up Fine redistribution of weight    Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+     Other Information
			Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/SF/NG/MY-3458336/cricket-bat-sting-250x250.jpg,Cricket Bat BDM Sting
 EW16,"Our clients are being offered a broad gamut of Cricket Bats such as Dynamic Twenty-20 Cricket Bat that is handcrafted from test grade 1 English Willow and is heavier than the traditional bat. Its handle is made from cane and is suitable for spring feel flex with unmatched control on the game. It has arched blade with minimum 35 to 40mm thick edges made from 7+ straight grains and very light pick up. It is extensively used by international players for outstanding performance and is rigidly tested for flawlessness. Features:  Fitted with toe guard Pre knocked    Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+     Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/RQ/XO/MY-3458336/cricket-bat-bdm-dynamic-twenty-20-250x250.jpg,Dynamic Twenty-20 Cricket Bat
 EW17,"O present a fine array of Cricket Bats including Cricket Bat BDM Force that is made from fine grade English Willow. It has power arc back with contoured edges with easy pick up and an extra bulge behind the sweet spot. It perfectly balanced and provided with unique shock absorbing aqua grip. It has men’s size short handle made from 12 piece cane for excellent flex and control and is available as medium, heavy and extra heavy as per the weight that ranges from 2 lb 10 oz to 3lb.Features:  Flawless finish Dependable performance  Specifications:  Medium Weight: 2lb 10oz to 3lb Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/QN/UE/MY-3458336/bdm-force-20-20-250x250.jpg,Cricket Bat BDM Force
 ST-2000,"On our profound domain knowledge we are providing a vast collection of Cricket Bats including Cricket Bat BDM Super Test that is made from fine grade English Willow. It has power arc back with contoured edges with easy pick up and an extra swell behind the sweet spot. It perfectly balanced and provided with unique shock absorbing grip. It has men’s size handle made from 9 piece imported cane for excellent flex and control and is available as medium, heavy and extra heavy as per the weight that ranges from 2lb 10 oz to 3lb. Our valued clients can avail these at reasonable rates.Features:  Weight finely redistributed Reliable performance  Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+ Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/NF/EJ/MY-3458336/cricket-bat-bdm-super-test-2000-250x250.jpg,Cricket Bat BDM Super Test
 WG02,"Offer a premium range of Cricket Wicket Keeping Gloves including Dynamic Super Wicket Keeping Gloves that are made from the highest grades of selected leather. We have used high tech pimpled rubber for facing and designed in accordance with English Style Cut. We use cutting edge technologies to manufacture these and follow rigorous quality as well as ICC norms. These can be availed at reasonable rates.Features:  Perfect and comfort fit Robust stitching Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/EG/TO/MY-3458336/cricket-wicket-keeping-gloves-bdm-dynamic-super-250x250.jpg,Dynamic Super Wicket Keeping Gloves
 WG04,"Our esteemed clients can avail a premium array of Cricket Wicket Keeping Gloves such as Amazer Wicket Keeping Gloves. We have used specially selected and the highest grades of lather to produce these and also used round web and special high tech pimpled rubber for palms. These are manufactured in our state of the art facilities by using high end technologies and in accordance with ICC norms. These are fully leather lined with 2 net vents for professional cricketers.Features:  Vibrant colors Comfortable to wear Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/CF/OC/MY-3458336/cricket-wicket-keeping-gloves-bdm-amazer-250x250.jpg,Amazer Wicket Keeping Gloves
 WG05,"Offer a premium range of Cricket Wicket Keeping Gloves including Wicket Keeping Gloves that are made from the highest grades of selected leather. We have used high tech pimpled rubber for facing and designed in accordance with English Style Cut. We use cutting edge technologies to manufacture these and follow rigorous quality as well as ICC norms. These can be availed at reasonable rates.Features:  Perfect and comfort fit Robust stitching Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/AS/GB/MY-3458336/cricket-wicket-keeping-gloves-bdm-commander-250x250.jpg,Wicket Keeping Gloves
 WL02,"Ognized as one of the reputed manufacturers, suppliers, and exporters of Cricket Wicket Keeping Pad such as Wicket Keeping Pad. We use the finest grades of Polyurethane (PU) and other raw materials to manufacture these and provide double sponge for outstanding comfort. These have been designed in new look and are super-lite in weight. We maintain stringent grades of quality by adhering to well defined industry norms and offer these to our clients at industry leading prices.Features:  Light and sturdy in construction Flawless finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/NY/UT/MY-3458336/cricket-wicket-keeping-pad-bdm-dynamic-super-250x250.jpg,Wicket Keeping Pad
,"Avail from us good quality Cricket Batting Pad for Cricket Academy that are very comfortable and lightweight. Our cricket batting pads are manufactured from the high quality materials to assure high durability.Features:  Lightweight and sturdy design Flawless finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/IX/MY/MY-3458336/cricket-batting-pad-for-cricket-academy-250x250.jpg,Cricket Batting Pad for Cricket Academy
,"Backed by a sound industry knowledge and vast technological experience of manufacturing, supplying, and exporting a broad gamut of Cricket Batting Gloves we are offering our clients Aero Dynamic Wicket Keeping Gloves that is made from the finest selected sheep skin with flexible flap for added protection with the highest quality fittings to give all round comfort to the players. These are stringently tested for quality and offered at reasonable rates to our customers.Features:  Outstanding comfort Seamless finish Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/NB/IS/MY-3458336/cricket-wicket-keeping-gloves-bdm-dynamic-super-250x250.jpg,Aero Dynamic Wicket Keeping Gloves
,"Capitalizing on our rich vendor base, we are engaged in offering a distinguished range of Cricket Kit Bag to our loyal clients. These bags are made with quality raw material to ensure long lasting and sturdy nature. Our Kit bags are designed in conjunction with cricketers from the International Arena.Features:   Intact stitching   Stylish   Perfect finish   Specifications:  Made of Tetron Size: 34""x12""x12"" Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/VH/IF/MY-3458336/cricket-kit-bag-bdm-dynamic-power-250x250.jpg,Cricket Kit Bag
,"Counting on our in depth domain knowledge and vast industry experience we are manufacturing , supplying, and exporting a broad gamut of Cricket Balls including Ambassador Cricket Ball that is made by using the highest grades of Veg. Tanned Leather. These are having robust stitching for outstanding durability and consistent shape. Our state of the art facilities have ultra modern automatic machines to produce these balls with uncompromising precision of shape and size. These are subjected to stringent quality tests that are in accordance with laid down standard of the industry. We offer these at industry leading rates to our prestigious clients.Features:  Excellent performance Unmatched finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/LM/AS/MY-3458336/cricket-ball-bdm-ambassador-250x250.jpg,Ambassador Cricket Ball
