Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image Sort-8,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7,Product Image File - 8
Product,,Asics Gel Neo 3 Women Hockey Shoe Indigo Blue/Flash Coral/Pistachio*,Asics,15013.705,15013.705,13748.6908975,<li>Speed and comfort on the field</li>.<li>The new GEL-Hockey Neo 3 has been designed and developed for fast movements on the hockeyfield. Catering to quick and agile players it has a low profile and great responsiveness.</li>.<li>In this edition the new midsole and the new flex grooves in the outsole promote more efficient and aggressive turns and forward movements.</li>.<li>To ensure optimal traction on the field the outsole is made AHAR+ rubber. The studs on the lateral side are slightly bigger for better traction while turning.</li>.<li>The new upper construction offers a very comfortable but supportive fit.</li>.<li>Plus the GEL-Cushioning in the forefoot and heelabsorbs impact and offers extra comfort.</li>.<li>Colour: Indigo Blue/Flash Coral/Pistachio</li>.<li>Size: 3 - 9</li>,826274HKD,HOCKEYDIRECT,Team Sports/Hockey/Hockey Shoes;Shoes/Women's Shoes/Hockey Shoes and Spikes,Asics Gel Neo 3 Women Hockey Shoe6,12-17 Working Days,100,N,-300,Get your hands on the Asics Gel Neo 3 Women Hockey Shoe. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Asics Gel Neo 3 Women Hockey Shoe Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Asics Gel Neo 3 Women Hockey Shoe Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,http://www.hockeydirect.com/imagecache/12b37f39-c0d0-4dc5-b822-a4b3009442e7_500x500.jpg,http://www.hockeydirect.com/imagecache/2eb910d5-f1f9-4f62-bd05-a4b3009442e8_500x500.jpg,http://www.hockeydirect.com/imagecache/19a1c617-ce96-47cb-8cfd-a4b3009442e9_500x500.jpg,http://www.hockeydirect.com/imagecache/daec178f-0615-42f4-85b5-a4b3009442e9_500x500.jpg,http://www.hockeydirect.com/imagecache/6a8e60ed-b266-49e5-a736-a4b3009442e9_500x500.jpg,http://www.hockeydirect.com/imagecache/668a7020-ebf1-4aa3-a63e-a4b3009442e9_500x500.jpg,
SKU,,[S]Size=UK 37,,,,,,356041UK37X,HOCKEYDIRECT,,,,100
SKU,,[S]Size=UK 38,,,,,,356041UK38X,HOCKEYDIRECT,,,,100
SKU,,[S]Size=UK 39,,,,,,356041UK39X,HOCKEYDIRECT,,,,100
SKU,,[S]Size=UK 40,,,,,,356041UK40X,HOCKEYDIRECT,,,,100
Product,65037,Gryphon Aero G2 Hockey Shoe Green*,Gryphon,8720.1025,8720.1025,8084.4486475,<li>The GRYPHON AERO G2 has the ultimate in multi-stud hockey shoe configuration with a rubber sole providing brilliant grip on synthetic and natural grass.</li>.<li>With excellent forefoot flex and rear foot stability combined with a premium non-stretch upper The AERO G2 fits better feels better creating an optimal hockey footwear experience.</li>.<li>Super light 335g  </li>.<li>Multi-Stud configuration for optimal grip</li>.<li>Stability focused design for increased comfort and performance.</li>.<li>Reinforced toe cap for added protection whilst maintaining mobility</li>.<li>Forefoot Flex allows excellent surface contact on accelleration turning and stopping</li>.<li>Available in European sizes: 35-45.</li>.<li>Colour : Green</li>,316006GHKD,HOCKEYDIRECT,Team Sports/Hockey/Hockey Shoes;Shoes/Men's Shoes/Hockey Shoes and Spikes,Gryphon Aero G2 Hockey Shoe5,12-17 Working Days,100,N,-300,Get your hands on the Gryphon Aero G2 Hockey Shoe. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Gryphon Aero G2 Hockey Shoe Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Gryphon Aero G2 Hockey Shoe Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,8,http://www.hockeydirect.com/imagecache/30e09650-64fa-4117-a9dc-a35d00c196e1_500x500.jpg,http://www.hockeydirect.com/imagecache/fef9f94d-1a37-4f0e-ab5d-a35d00c196e2_500x500.jpg,http://www.hockeydirect.com/imagecache/f95bf451-e656-41a9-9431-a35d00c196e2_500x500.jpg,
SKU,187548,[S]Size=EU 36,,,,,,316006GUK36X,HOCKEYDIRECT,,,,100
SKU,187549,[S]Size=EU 37,,,,,,316006GUK37X,HOCKEYDIRECT,,,,100
SKU,187550,[S]Size=EU 38,,,,,,316006GUK38X,HOCKEYDIRECT,,,,100
SKU,187551,[S]Size=EU 39,,,,,,316006GUK39X,HOCKEYDIRECT,,,,100
SKU,187552,[S]Size=EU 40,,,,,,316006GUK40X,HOCKEYDIRECT,,,,100
SKU,187553,[S]Size=EU 41,,,,,,316006GUK41X,HOCKEYDIRECT,,,,100
SKU,187554,[S]Size=EU 42,,,,,,316006GUK42X,HOCKEYDIRECT,,,,100
SKU,187555,[S]Size=EU 43,,,,,,316006GUK43X,HOCKEYDIRECT,,,,100
SKU,187556,[S]Size=EU 44,,,,,,316006GUK44X,HOCKEYDIRECT,,,,100
SKU,187557,[S]Size=EU 45,,,,,,316006GUK45X,HOCKEYDIRECT,,,,100
