sku,New Sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
#4474,AXS11121,Camping ; Outdoor,"
                    
Brand:   Rothco
Dimensions: 14X14X8 inches
Material: Polyester
Material Specs: 600d Polyester/pvc, aluminum
Color: ACU Digital Camo, Black, Woodland Camo, Woodland Digital Camo
Length: 8 Inches, 14 Inches

        ","
                
            ",,,"Rs1,100.00",ROTHCO FOLDING CAMP STOOL,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_folding_camp_stools.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_folding_camp_stools3.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_folding_camp_stools2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_folding_camp_stools4.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_folding_camp_stools.jpg,
#45,AXS11122,Season Sale,"
                    Multi-function, Axe Hammer Pry Bar And 
Nail Remover With Rubber Handle.
        ","
                
            ","Multi-function, Axe Hammer Pry Bar And ,Nail Remover With Rubber Handle.",,"Rs1,200.00",Rothco Survival Hatchet,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_survival_hatchet.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_survival_hatchet.jpg,
#45,AXS11123,Camping ; Outdoor,"
                    Multi-function, Axe Hammer Pry Bar And 
Nail Remover With Rubber Handle.
        ","
                
            ","Multi-function, Axe Hammer Pry Bar And ,Nail Remover With Rubber Handle.",,"Rs1,200.00",Rothco Survival Hatchet,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_survival_hatchet.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_survival_hatchet.jpg,
#4529,AXS11124,Clothing,"
                    Washed Material that feels great and last FOREVER
With Red Stitching Box With InchesX Inches Pattern
With Jolly Roger stamped on Front
        ","
                
            ","Washed Material that feels great and last FOREVER,With Red Stitching Box With InchesX Inches Pattern,With Jolly Roger stamped on Front",,Rs800.00,ROTHCO VINTAGE FATIGUE CAP / JOLLY ROGER - BLACK  ,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_vintage_fatigue_cap_jolly_roger_4529_black.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_vintage_fatigue_cap_jolly_roger_4529_black.jpg,
#4576,AXS11125,Camping ; Outdoor,"
                    Weight Limit 100 Kgs / 220 Lbs
Folds To Be Carried Easy On Backpack
Great For Hunting
        ","
                
            ","Weight Limit 100 Kgs / 220 Lbs,Folds To Be Carried Easy On Backpack,Great For Hunting",,"Rs2,400.00",Rothco Deluxe Stool With Pouch,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/5/4576-hr_1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_stool_with_pouch3.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_stool_with_pouch2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_stool_with_pouch2.jpg,
#4578,AXS11126,Camping ; Outdoor,"
                    Great for Hunting
Backpacking
Campfires the stool has a Weight Limit 100 Kgs / 220 Lbs
Leg Braces
Cloth Seats And Back
Carry Strap with back pouch for storage.
        ","
                
            ","Great for Hunting,Backpacking,Campfires the stool has a Weight Limit 100 Kgs / 220 Lbs,Leg Braces,Cloth Seats And Back,Carry Strap with back pouch for storage.",,"Rs3,200.00",Rothco Deluxe Camo Stool With Pouch Back,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_4578.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_4578.jpg,
#4579,AXS11127,Camping ; Outdoor,"
                    Rothco's G.I. Type Aluminum Folding Cot is built heavy duty and features center support bars to accommodate 200lb weight capacity.
        ","
                
            ",Rothco's G.I. Type Aluminum Folding Cot is built heavy duty and features center support bars to accommodate 200lb weight capacity.,,"Rs6,500.00",Rothco G.I. Type Aluminum Folding Cot,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothoco_cot_luminium_4579.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothoco_cot_luminium_4579.jpg,
#458,AXS11128,Camping ; Outdoor,"
                    You want to be a professional wildlife photographer but you don't want to risk dropping your precious camera in the water.
The Aquapac SLR Camera Case - 458 is the perfect solution.


Excellent photo quality through the ultra-clear LENZFLEX® lens window.
Plexiglas® lens placed in front of the LENZLEX keeps the lens window flat cutting down on distortion and increasing clarity.
100% waterproof to 15ft/5m (dust and sand proof too).
An air tight seal means your camera will float safely if dropped in water.
Designed to fit most SLR cameras with standard-sized lenses.
Size: 5.75""L x 5""H x 2.8""W + 4""L lens x 3.2""W end. See Sizing for picture.
All Aquapac waterproof cases are PVC-Free! Now made from Polyurethane (PU) - 100% recyclable, thinner, stays flexible when it's cold, easier to operate equipment inside the cases.


        ","
                
            ",,,"Rs10,675.00",Aquapac SLR Camera Case,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquapac.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquapac.jpg,
#4584,AXS11129,Camping ; Outdoor,"
                    
Weight:                  2.3


Dimensions:       13 inches X 13 inches X 19 inches


Material Specs:   nylon


Components:     carry strap
Printable:             Yes


Color:                   Black/Army


Length:                22 Inches

        ","
                
            ",,,"Rs1,200.00",Rothco Collapsible Stool,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_collapsible_stool.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_collapsible_stool2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/5/4584_big.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_collapsible_stool.jpg,
#4588,AXS11130,Camping ; Outdoor,"
                    Heavey weight Seat And Back
Black Frame
Holds Up To 198 Lbs.
        ","
                
            ","Heavey weight Seat And Back,Black Frame,Holds Up To 198 Lbs.",,"Rs2,100.00",Rothco Collapsible Stool With back,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_stool_4588.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_stool_4588.jpg,
