stock,Video,description,SP,imgurl2,imgurl,productname
"In Stock,
",,"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p><b>All Clear™</b><br>
CamelBak® All Clear™ turns nearly any tap or clear natural water source into potable drinking water in just 60 seconds.<br><br><br><b>SYSTEM INCLUDES:</b><br>
UV Cap, 0.75L Bottle, USB Charging cable, Protective Carrying Case, Classic Cap<br><br><br><b>Overall Dimensions</b><br>
Cap weight approx 7oz<br><br><br><b>KEY FEATURES</b><br>
• Innovative cap maximizes UV exposure for fast, effective microbiological purification<br>
• Clear LCD read-outs make water treatment simple and intuitive<br>
• Lithium Ion batteries deliver 80+ cycles per charge<br>
• Shock-resistant design enhances durability<br>
• Insulated bulb retains efficiency even with exposure to cold water temperatures<br>
• CamelBak® Got Your Bak™ Lifetime Guarantee</p>
</div></div></div>",,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90783_S13_V5.jpg?itok=3CHBYi54,All Clear™ UV Purifier Bottle
stock,Video,description,SP,imgurl2,imgurl,productname
"In Stock,
","//www.youtube.com/embed/9aMgbLy08d4,//www.youtube.com/embed/nuB4DTI0iHg,//www.youtube.com/embed/kKs8Del8ahg","<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p><b>All Clear™</b><br>
CamelBak® All Clear™ turns nearly any tap or clear natural water source into potable drinking water in just 60 seconds.<br><br><br><b>SYSTEM INCLUDES:</b><br>
UV Cap, 0.75L Bottle, USB Charging cable, Protective Carrying Case, Classic Cap<br><br><br><b>Overall Dimensions</b><br>
Cap weight approx 7oz<br><br><br><b>KEY FEATURES</b><br>
• Innovative cap maximizes UV exposure for fast, effective microbiological purification<br>
• Clear LCD read-outs make water treatment simple and intuitive<br>
• Lithium Ion batteries deliver 80+ cycles per charge<br>
• Shock-resistant design enhances durability<br>
• Insulated bulb retains efficiency even with exposure to cold water temperatures<br>
• CamelBak® Got Your Bak™ Lifetime Guarantee</p>
</div></div></div>",,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90783_S13_V5.jpg?itok=3CHBYi54,All Clear™ UV Purifier Bottle
stock,Video,description,SP,imgurl2,imgurl,productname
"In Stock,
","//www.youtube.com/embed/9aMgbLy08d4,//www.youtube.com/embed/nuB4DTI0iHg,//www.youtube.com/embed/kKs8Del8ahg","<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p><b>All Clear™</b><br>
CamelBak® All Clear™ turns nearly any tap or clear natural water source into potable drinking water in just 60 seconds.<br><br><br><b>SYSTEM INCLUDES:</b><br>
UV Cap, 0.75L Bottle, USB Charging cable, Protective Carrying Case, Classic Cap<br><br><br><b>Overall Dimensions</b><br>
Cap weight approx 7oz<br><br><br><b>KEY FEATURES</b><br>
• Innovative cap maximizes UV exposure for fast, effective microbiological purification<br>
• Clear LCD read-outs make water treatment simple and intuitive<br>
• Lithium Ion batteries deliver 80+ cycles per charge<br>
• Shock-resistant design enhances durability<br>
• Insulated bulb retains efficiency even with exposure to cold water temperatures<br>
• CamelBak® Got Your Bak™ Lifetime Guarantee</p>
</div></div></div>","Rs.8,499,Rs.5,999,Rs.5,499,Rs.2,499,Rs.1,999,Rs.2,999,Rs.8,999,Rs.499,Rs.6,999","http://www.camelbakindia.com/cbi/sites/default/files/60%20seconds.JPG,http://www.camelbakindia.com/cbi/sites/default/files/easy.JPG,http://www.camelbakindia.com/cbi/sites/default/files/proven.JPG,http://www.camelbakindia.com/cbi/sites/default/files/engineered.JPG,http://www.camelbakindia.com/cbi/sites/default/files/versatile.JPG",http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90783_S13_V5.jpg?itok=3CHBYi54,All Clear™ UV Purifier Bottle
stock,Video,description,SP,imgurl2,imgurl,productname
"In Stock,
","//www.youtube.com/embed/9aMgbLy08d4,//www.youtube.com/embed/nuB4DTI0iHg,//www.youtube.com/embed/kKs8Del8ahg","<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p><b>All Clear™</b><br>
CamelBak® All Clear™ turns nearly any tap or clear natural water source into potable drinking water in just 60 seconds.<br><br><br><b>SYSTEM INCLUDES:</b><br>
UV Cap, 0.75L Bottle, USB Charging cable, Protective Carrying Case, Classic Cap<br><br><br><b>Overall Dimensions</b><br>
Cap weight approx 7oz<br><br><br><b>KEY FEATURES</b><br>
• Innovative cap maximizes UV exposure for fast, effective microbiological purification<br>
• Clear LCD read-outs make water treatment simple and intuitive<br>
• Lithium Ion batteries deliver 80+ cycles per charge<br>
• Shock-resistant design enhances durability<br>
• Insulated bulb retains efficiency even with exposure to cold water temperatures<br>
• CamelBak® Got Your Bak™ Lifetime Guarantee</p>
</div></div></div>","Rs.8,499,Rs.5,999,Rs.5,499,Rs.2,499,Rs.1,999,Rs.2,999,Rs.8,999,Rs.499,Rs.6,999","http://www.camelbakindia.com/cbi/sites/default/files/60%20seconds.JPG,http://www.camelbakindia.com/cbi/sites/default/files/easy.JPG,http://www.camelbakindia.com/cbi/sites/default/files/proven.JPG,http://www.camelbakindia.com/cbi/sites/default/files/engineered.JPG,http://www.camelbakindia.com/cbi/sites/default/files/versatile.JPG",http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90783_S13_V5.jpg?itok=3CHBYi54,All Clear™ UV Purifier Bottle
