SKU,category,category2,Description,Description1,imgurl,productname
1750,Bottle cages,,"Flexible and resistant, the Pulse Fiber Glass is adapted for all types of bikes. Its shape keeps perfectly the bottle in position, even on rough terrain. Its re-enforced polyamide structure absorbs shocks and vibrations. Available in several colours.﻿, ,ROBUST AND ELEGANT﻿ -> Strong tip for a better hold of the bottle.﻿,IN FIBER GLASS﻿ -> Light, durable and flexible.﻿","Colours : Black-silver / White-black / Red-white / Black-red / White-red / White-blue / White-green / White-purple,Material : Fibre glass re-enforced polyamide,Weight : 40 g","http://www.zefal.com/48-632-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-641-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-642-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-643-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-644-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-645-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-646-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-647-thickbox/fiber-glass-cage.jpg,http://www.zefal.com/48-640-thickbox/fiber-glass-cage.jpg",Pulse Fiber Glass
1710,Bottle cages,,"Aluminium cage with thermoplastic resin braze-on ,Can fit in all types of frames and for all types of bottles,The combination of aluminium and technopolymer features offers the best compromise between between rigidity and flexibleness,The aluminum cage offers good hand-bottle grip, while the technopolymer in the fixtures absorbs shock.","Colours : Anodised : silver or black / Painted : white or red,Material : Aluminium,Weight : 40 g","http://www.zefal.com/47-217-thickbox/pulse.jpg,http://www.zefal.com/47-218-thickbox/pulse.jpg,http://www.zefal.com/47-219-thickbox/pulse.jpg,http://www.zefal.com/47-234-thickbox/pulse.jpg,http://www.zefal.com/47-235-thickbox/pulse.jpg",Pulse Aluminium
1730,Bottle cages,,"With its innovative design and aluminum construction, the Pulse Full Alu will allow your bottle to withstand any road or bouncy path. Available in different colors, the bottle-cage is adapted to all styles of bikes.,Durability, lightweight and high resistance to corrosion, ,﻿","Colours : Black, silver or white,Material : Aluminium,Rod diameter : 5 mm,Weight : 40 g","http://www.zefal.com/215-533-thickbox/pulse-full-alu.jpg,http://www.zefal.com/215-534-thickbox/pulse-full-alu.jpg,http://www.zefal.com/215-535-thickbox/pulse-full-alu.jpg",Pulse Full Alu
 166 DE,Bottles,,,"Capacity : 600 ml / 20 oz,Colours : White or beige,Material : Low-density polyethylene,Opening : Screw-on","http://www.zefal.com/125-276-thickbox/classic.jpg,http://www.zefal.com/125-277-thickbox/classic.jpg",Classic
 162 ABCD,Bottles,,"Children bottle,Supplied with universal system (elastic rubber) for all type of tubes from Ø 25 to 45 mm.,﻿,﻿","Capacity : 350 ml / 12 oz ,Colours : white, blue, orange, pink,Designs : Ghost,Material : low-density polyethylene,Mounting : Universal system (elastic rubber) for all type of tubes from Ø 25 to 45 mmm,Opening : screw-on","http://www.zefal.com/64-278-thickbox/little-z.jpg,http://www.zefal.com/64-279-thickbox/little-z.jpg,http://www.zefal.com/64-281-thickbox/little-z.jpg",Little Z
 166 FGH,Bottles,,"The Sense R60 bottle has an added feature with a ring grip for a better handling. It has a screw-on cap allowing an easier opening and closure. ﻿,﻿,﻿","Capacity : 600 ml / 20 oz ,Colours : White, black or translucent,Height 202 mm,Material : Low-density polyethylene
,Opening : Screw-on","http://www.zefal.com/63-683-thickbox/sense-r60.jpg,http://www.zefal.com/63-684-thickbox/sense-r60.jpg,http://www.zefal.com/63-685-thickbox/sense-r60.jpg",SENSE R60
 161 RSTUVWX,Bottles,,"﻿,﻿,﻿","Capacity : 600 ml / 20 oz ,Colours : White, black, translucent, silver, red, blue or yellow,Height 199 mm,Material : Low-density polyethylene,Opening : Clip-on","http://www.zefal.com/59-676-thickbox/premier-60.jpg,http://www.zefal.com/59-677-thickbox/premier-60.jpg,http://www.zefal.com/59-678-thickbox/premier-60.jpg,http://www.zefal.com/59-679-thickbox/premier-60.jpg,http://www.zefal.com/59-680-thickbox/premier-60.jpg,http://www.zefal.com/59-681-thickbox/premier-60.jpg,http://www.zefal.com/59-682-thickbox/premier-60.jpg",PREMIER 60
 164 ABC,Bottles,,"﻿HIGH CAPACITY BOTTLE﻿ -> 1 liter.﻿,﻿,﻿﻿","Cap Screw-Cap - Screw-on,Capacity : 1L / 33 oz,Colours : translucent, white or black,Height 259 mm,Material : Low-density polyethylene","http://www.zefal.com/68-621-thickbox/magnum.jpg,http://www.zefal.com/68-622-thickbox/magnum.jpg,http://www.zefal.com/68-623-thickbox/magnum.jpg",Magnum
 155 ABC,Bottles,,"Made in polypropylene, the Sense M bottle offers a soft and odorless solution for cyclists. Its ergonomic control and its flexible material give an easy drink. The soft push guarantees a soothing mouth sensation. Available in 2 sizes (650 and 800 ml) and 3 colours.﻿,ODORLESS﻿ -> In polypropylene, without smell.﻿,SOFT-CAP﻿ -> Pleasant mouth feel.﻿,﻿","Cap Soft-Cap, screw-on,Capacity : 650 ml / 22 oz,Height 193 mm,Material : Polypropylene,Weight : 82 g","http://www.zefal.com/240-709-thickbox/sense-m65.jpg,http://www.zefal.com/240-710-thickbox/sense-m65.jpg,http://www.zefal.com/240-714-thickbox/sense-m65.jpg",Sense M65
 157 ABC,Bottles,,"Made in polypropylene, the Sense M bottle offers a soft and odorless solution for cyclists. Its ergonomic control and its flexible material give an easy drink. The soft push guarantees a soothing mouth sensation. Available in 2 sizes (650 and 800 ml) and 3 colours.﻿","Cap Soft-Cap, screw-on,Capacity : 800 ml / 27 oz,Height 229 mm,Material : Polypropylene,Weight : 87 g","http://www.zefal.com/241-711-thickbox/sense-m80.jpg,http://www.zefal.com/241-712-thickbox/sense-m80.jpg,http://www.zefal.com/241-713-thickbox/sense-m80.jpg",Sense M80
 165 ABCDEF,Bottles,,"Thanks to its large capacity, 750ml, the Arctica insulated bottle manages to keep your drink at an optimal temperature for over 2 hours and a half. Its inner resin with three layers ensures the conservation of heat or cold, even in extreme conditions. Available in several colours.﻿,﻿","Cap Screw-Cap - Screw-on,Capacity : 750 ml / 25 oz,Colours : White, blue, red, green, yellow, pink,Height 259 mm,Inner tank : Polypropylene,Insulation : 2:30 ,Material : Polypropylene,Weight : 210 g","http://www.zefal.com/67-727-thickbox/artica.jpg,http://www.zefal.com/67-728-thickbox/artica.jpg,http://www.zefal.com/67-729-thickbox/artica.jpg,http://www.zefal.com/67-730-thickbox/artica.jpg,http://www.zefal.com/67-731-thickbox/artica.jpg,http://www.zefal.com/67-732-thickbox/artica.jpg",Arctica
 142 ABC,Bottles,,"The Trekking 700 will be your best friend everyday. At work, sport or riding a bike, you will carry it everywhere thanks to its integrated handle and easy grip. Its Travel-Cap system is the combination of a quick and easy closure added to a pleasant mouth feel. Made of Tritan™, the bottle ensures durability. Available in 3 colours.﻿, ,﻿,BOTTLE CAGE FITTING﻿ -> Easy grip and transport on bike.﻿,SCALE﻿ -> To measure your consumption.﻿,﻿","Cap Travel-Cap - Screw-on,Capacity : 700 ml / 24 oz,Colours : Red, black and blue,Diameter : 75 mm,Height 240 mm,Material : Tritan™,Push Soft touch,Straw Polyethylene,Weight : 172 g","http://www.zefal.com/243-721-thickbox/trekking-700.jpg,http://www.zefal.com/243-722-thickbox/trekking-700.jpg,http://www.zefal.com/243-723-thickbox/trekking-700.jpg",Trekking 700
4921,Safety,Locks,"Key lock mechanism,Provided with 3 keys and mounting bracket, ","Diameter : 25 mm,Lenght : 1200 m,Material : Twisted cable protected by hardened steel links with a tough vinyl cable cover,Weight : 1.8 kg,UG_KTrazA25_Zéfal",http://www.zefal.com/197-440-thickbox/k-traz-a20.jpg,K-Traz A25
4940,Safety,Locks,"Hardened steel with a double protective coating,U-lock mechanism,Quick mounting on the bike with clips,Provided with 3 keys and mounting bracket, ","Diameter : 13 mm,Dimensions : 115 x 230 mm,Material : Hardened steel - double protective coating,Weight : 1.3 kg",http://www.zefal.com/201-447-thickbox/k-traz-u13.jpg,K-Traz U13
 160 PQRSTUV,Bottles,,"﻿,﻿,﻿,﻿","Capacity : 750 ml / 25 oz ,Colours : White, black, translucent, silver, red, blue or yellow,Height 234 mm,Material : Low-density polyethylene,Opening : Clip-on","http://www.zefal.com/58-671-thickbox/premier-75.jpg,http://www.zefal.com/58-673-thickbox/premier-75.jpg,http://www.zefal.com/58-669-thickbox/premier-75.jpg,http://www.zefal.com/58-670-thickbox/premier-75.jpg,http://www.zefal.com/58-672-thickbox/premier-75.jpg,http://www.zefal.com/58-674-thickbox/premier-75.jpg,http://www.zefal.com/58-675-thickbox/premier-75.jpg",PREMIER 75
4920,Safety,Locks,"Easy to roll up.,High-security locking mechanism,Key lock mechanism,Provided with 3 keys and mounting bracket, ","Diameter : 20 mm,Lenght : 1000 m,Material : Twisted cable protected by hardened steel links with a tough vinyl cable cover,Weight : 1.2 kg,UG_KTrazA20_Zéfal",http://www.zefal.com/196-438-thickbox/k-traz-a20.jpg,K-Traz A20
4912,Safety,Locks,"Easy to carry,Flexible and compact,4 digits set combination,Quick mounting on the bike with clips,Provided mounting bracket, ","Diameter : 12 mm,Lenght : 1850 m,Material : Flexible twisted steel wire with a tough vinyl cable cover,Weight : 620 g",http://www.zefal.com/200-446-thickbox/k-traz-a20.jpg,K-Traz C12 Code
4910,Safety,Locks,"Flexible and easy to unroll,Key lock mechanism,Quick mounting on the bike with clips,Provided with 3 keys and mounting bracket, ","Diameter : 12 mm,Lenght : 1850 m,Material : Flexible twisted steel wire with a tough vinyl cable cover,Weight : 570 g,UG_KTrazC12Std_Zéfal",http://www.zefal.com/198-442-thickbox/k-traz-a20.jpg,K-Traz C12 Std
4970,Safety,Locks,"Patented keyless antitheft system for wheels and saddle.,Easy and quick mounting, no tool required.,The wheel antitheft system substitutes the quick-release of the wheels.,The saddle antitheft system substitutes the quick-release of saddle clamp.,The complete kit includes both the wheels (front and rear) antitheft and the lock saddle antitheft systems,Patent concept: in the horizontal position, the quick release lever is automatically locked; to unlock the bike has to  be lifted-up to the vertical position,A special washer makes the unscrewing impossible even with a tool","Reference Complete set: 497 / Wheels lock only: 495 / Saddle: 496,Skewer dimensions:  Front wheel: 5 x 128 mm / 0.20"" x 5.04""
Rear wheel: 5 x 163 mm / 0.20"" x 6.42"",Weight : Complete set: 160 g / Wheels lock only: 120 g / Saddle: 40 g",http://www.zefal.com/81-350-thickbox/lock-n-roll.jpg,Lock'n Roll
 9221 - 9225,Protection,,Woven cotton adhesive handlebar tape,"Colours : Black or white,Material : Woven cotton",http://www.zefal.com/142-302-thickbox/cotton-handlebar-tape.jpg,Handle Tape
4911,Safety,Locks,"Easy to carry,Flexible and compact,Key lock mechanism,Quick mounting on the bike with clips,Provided with 3 keys and mounting bracket, ","Diameter : 12 mm,Lenght : 1850 m,Material : Flexible twisted steel wire with a tough vinyl cable cover,Weight : 610 g,UG_KTrazC12_Zéfal",http://www.zefal.com/199-445-thickbox/k-traz-a20.jpg,K-Traz C12
4943,Safety,Locks,"Made of hardened steel, the K-Traz U13 Mini lock is easy to carry and fits in a pocket. Covered by a double protective coating, the lock is highly resistant to attacks. Provided with 3 keys and mounting bracket.﻿,Z-SAFE﻿ -> Powerful double locking system. High resistance against impacts and twists.﻿,HIGH RESISTANCE﻿ -> Tensile and torsion strength. Antitheft and anti drilling.﻿,WEATHER PROTECTION﻿ -> Durability.﻿,MICRO﻿ -> Compact and light.﻿,EASY TO CARRY﻿ -> Can fits in a pocket.﻿,QUICK FIXATION﻿ -> Mounting clip.﻿,3 KEYS INCLUDED﻿ -> In case of loss.﻿,LOSS OF KEY SERVICE﻿ -> Duplication of keys in case of loss. Unique serial number.﻿","Diameter : 13 mm,Dimensions : 90 x 140 mm,Material : Hardened steel - Double protective coating,Mounting : Adjustable on down tube - Ø from 18 to 36 mm,Security level 3,5,Weight : 840 g,UG_K-TrazU13Mini_Zéfal","http://www.zefal.com/235-686-thickbox/k-traz-u13-mini.jpg,http://www.zefal.com/235-687-thickbox/k-traz-u13-mini.jpg",K-Traz U13 Mini
2520,Protection,,"Frame protection against impact and projections of stone.,Ideal for carbon frames.,Universal mounting.,The contact soft piece does not scratch the frame.","Blade width : 50 mm / 1.9"",Colours : Black or translucent ,Length : 325 mm / 12.8"",Material : Resin technopolymer,Mounting : Rubber clamp,Weight : 54 g,UG_DownTubeArmor_Zéfal","http://www.zefal.com/194-422-thickbox/down-tube-armor.jpg,http://www.zefal.com/194-507-thickbox/down-tube-armor.jpg,http://www.zefal.com/194-423-thickbox/down-tube-armor.jpg,http://www.zefal.com/194-508-thickbox/down-tube-armor.jpg,http://www.zefal.com/194-509-thickbox/down-tube-armor.jpg",Down Tube Armor
4710,Safety,Mirrors,Ideal for leisure and city use﻿.,"Handlebar diameter : From 16.5 mm to 21 mm,Material : Unbreakable chrome plated plastic,Mirror : Convex,Mirror surface : 46 cm²,Mounting : Universal bar end fitting (left and right),Rotation : Fully adjustable,Weight : 60 g,UG_Cyclop_Zéfal","http://www.zefal.com/80-567-thickbox/cyclop.jpg,http://www.zefal.com/80-568-thickbox/cyclop.jpg",Cyclop
 4700 - 4701,Safety,Mirrors,"Ideal for leisure and city use,Folding.","Diameter : From 16.5 mm to 21 mm,Material : Unbreakable chrome plated plastic,Mirror : Convex,Mirror surface : 40 cm²,Mounting : Universal bar end fitting (left and right),Rotation : Adjustable ,Weight : 70 g",http://www.zefal.com/79-283-thickbox/dooback.jpg,Dooback
4720,Safety,Mirrors,"Universal clip-on mirror,Ideal for sport use on road bikes or MTB.","Handlebar diameter : From 16.5 mm to 21 mm,Material : Unbreakable chrome plated plastic,Mirror : Convex,Mirror surface : 15 cm²,Mounting : Snap-on mounting with rubber strap,Weight : 25 g,UG_Spy_Zéfal","http://www.zefal.com/78-282-thickbox/spy.jpg,http://www.zefal.com/78-653-thickbox/spy.jpg",Spy
4750,Safety,Mirrors,"Ideal for leisure and city use, the Espion is easily orientable thanks to its adjustable rod and flexible steel connection which guarantees a very good performance in position.","Handlebar diameter : From 16.5 mm to 21 mm,Material : Unbreakable chrome plated plastic,Mirror : Convex,Mirror surface : 46 cm²,Mounting : Universal bar end fitting (left and right),Orientation : Fully adjustable,Weight : 80 g ,UG_Espion_Zéfal","http://www.zefal.com/213-531-thickbox/espion.jpg,http://www.zefal.com/213-532-thickbox/espion.jpg",Espion
 1021 - 1022,Safety,Others accessories,"Pant-tie with large reflective tape,Adjustable,Sold in pairs","Colours : Black, neon yellow","http://www.zefal.com/144-304-thickbox/doowah.jpg,http://www.zefal.com/144-652-thickbox/doowah.jpg",Doowah
7060,Bags,,"Hydration bag durable in nylon, the Z Light Hydro S is compact and very functional. It allows you to store your belongings perfectly with plenty of storage: a large central pocket for 2L water bag, a pocket with compartments for keys and phone, two mesh side pockets and elastic strap for helmet. The reinforced foams provide ease of use and variables straps to adapt the bag depending on the size of the rider. Made of PEVA and BPA free the water bag inside the Z Light Hydro S is highly resistant and easy to open and clean. You will be able to carry 2 L in the bag for your long rides.﻿, ,FUNCTIONAL﻿ -> Multi-position pockets for different uses.﻿,LARGE OPENING﻿ -> Easy to use and clean.﻿, ","Capacity : 7 L,Closure Zip,Material : Nylon with reinforced sewing,Storage 1 large central pocket for 2 L water bag, 1 pocket with compartments, 2 mesh side pockets and 1 elastic strap for helmet.,Weight : 140 g,UG_ZLightHydroS_Zéfal","http://www.zefal.com/230-706-thickbox/z-light-hydro-s.jpg,http://www.zefal.com/230-707-thickbox/z-light-hydro-s.jpg,http://www.zefal.com/230-708-thickbox/z-light-hydro-s.jpg",Z Light Hydro S
