SKU,category,category2,Description,Description1,imgurl,productname
7070,Bags,,"Support for smartphone, the Z Console is compatible with iPhone® 4, 4S, 5, 5C and 5S. View and record your run data through your phone’s GPS (distance, speed, map, etc..). Waterproof, the Z Console protects your smartphone against bumps and impacts. The touch screen and camera can be used thanks to the 360 ° rotating support. With a quick release system, the support is easy to install.﻿, ,360° ROTATING SUPPORT﻿ -> Adjustable angle in landscape or portrait mode.﻿,COMPATIBLE﻿ -> With iPhone® 4, 4S, 5, 5C and 5S.﻿,SEALING AND PROTECTION﻿ -> Waterproof case. Strength and greater protection against bumps and shocks.﻿,EASY TO USE﻿ -> Touch screen.﻿,VISIBILITY﻿ -> Integrated camera window.﻿,EASY TO INSTALL﻿ -> Adjustable mounting bracket for quick installation.﻿","Compatibility iPhone® 4, 4S, 5, 5C, 5S,Dimensions : 150 x 84 x 33 mm,Fixation size 120 mm,Material : Thermoplastic,Mounting : Adjustable bracket,Weight : 140 g,UG_ZConsole_Zéfal","http://www.zefal.com/229-625-thickbox/z-console.jpg,http://www.zefal.com/229-627-thickbox/z-console.jpg,http://www.zefal.com/229-628-thickbox/z-console.jpg",Z Console
 0430 - 0431,Toe-clips & toe-straps,,"All our toe-clips are supplied with mounting hardware. For MTB use - with two pronged toe-clips,S / M (<=42) et L / XL (>42)﻿, ","Material : Techno-polymer,Pronged toe-clip : two",http://www.zefal.com/218-557-thickbox/cale-pieds-40.jpg,Toe-Clips 43
7041,Bags,,"Ultra light bag,Lightweight bag ideal for road cyclists and triathletes.,Fixation on the horizontal tube.,Does not damage or scratch the tube and stem.,Easy to access","Capacity : 0,5 L / 16 oz,Dimensions : 140 / 100 / 40 mm ,Material : Water repellant 420D RIPSTOP Polyester,Weight : 65 g,UG_ZLightFrontPack_Zéfal","http://www.zefal.com/208-464-thickbox/z-light-front-pack.jpg,http://www.zefal.com/208-569-thickbox/z-light-front-pack.jpg,http://www.zefal.com/208-570-thickbox/z-light-front-pack.jpg",Z Light Front Pack
 0400 - 0401,Toe-clips & toe-straps,,"All our toe-clips are supplied with mounting hardware. For road use - one pronged toe-clip.,S / M (<=42) et L / XL (>42)﻿, ","Material : Techno-polymer,Pronged toe-clip : one",http://www.zefal.com/115-252-thickbox/cale-pieds-40.jpg,Toe-Clips 40
 0450 - 0451,Toe-clips & toe-straps,,"All our toe-clips are supplied with mounting hardware.,No strap required,S / M (<=42) et L / XL (>42)﻿, ","Material : Techno-polymer,Pronged toe-clip : No strap required",http://www.zefal.com/219-561-thickbox/cale-pieds-40.jpg,Toe-Clips 45
 935-,Bike Care,Prevent,"Soft and elastic, for an easy mounting,Resistance to high pressure: 8 bar / 116 psi,High resistance to punctures","Dimensions : 16-622 (16 mm road), 18-622 (18 mm hybrid/city), 18-559 (18 mm MTB) and 22-559 (22 mm MTB),Material : PVC","http://www.zefal.com/112-351-thickbox/soft-rim-tapes.jpg,http://www.zefal.com/112-352-thickbox/soft-rim-tapes.jpg",PVC Tapes
7501,Racks,,"Universal rack compatible with conventional or disc brakes,Side structure for a good fitting and holding of the bags,Equipped with hooks for tensioners,Ideal for trekking,Universal for all types of bikes: 26’’ et 28’’,Supplied with several adaptable bindings for a bike with conventional or disc brakes","Material : High resistant hollow aluminium 6061 structure,Maximum load : 25 kg (complying with EN 14872 standard),Self size : 365 x 110 mm / 14.4 x 4.3’’,Weight : 950 g,UG_RaiderUniversal_Zéfal","http://www.zefal.com/205-454-thickbox/raider-universal.jpg,http://www.zefal.com/205-455-thickbox/raider-universal.jpg,http://www.zefal.com/205-586-thickbox/raider-universal.jpg",Raider Universal
7530,Racks,,"Suitable for full suspension bikes,Adjustable top plate on sliding rail,A mini pump or a repair kit can fit in the beam,Quick locking system on the seat post,No tools required for assembling,On both sides of the top plate, fastening straps can be attached,Safety reflector is built in at the rear of the top plate,Universal for all types of bikes: 26’’ et 28’’,Locking system on the seat post from 25,4 to 31,8 mm","Material : High resistant hollow aluminium 6061 structure,Maximum load : 9 kg (complying with EN 14872 standard),Self size : 320 x 135 mm / 12.6 x 5.3’’,Weight : 800 g,UG_Rodeo_Zéfal","http://www.zefal.com/117-288-thickbox/rodeo.jpg,http://www.zefal.com/117-503-thickbox/rodeo.jpg,http://www.zefal.com/117-504-thickbox/rodeo.jpg,http://www.zefal.com/117-585-thickbox/rodeo.jpg",Rodeo
9801,Bike Care,Prevent,"Puncture prevention sealant,The Z-Sealant was designed for preventing punctures.,It needs to be injected into the valve for a tube or into the side of the tyre for a tubeless.,The Z-Sealant prevents punctures up to 3 mm.,The latex-based-formulation remains efficient for 6 months.,In case of hot weather, it is recommanded to use Z-SEALANT more regularly.,It won't freeze.,The Z-Sealant contains less than 1% amonia and won't damage your tyres.,Shake before use.",Capacity : 125 ml (at least 50 ml for one tyre),"http://www.zefal.com/82-424-thickbox/z-sealant.jpg,http://www.zefal.com/82-510-thickbox/z-sealant.jpg",Z Sealant (125ml)
 9720 / 9720 / 9722 / 9738,Bike Care,Prevent,"Anti-puncture tapes,The tape protects the tube and prevents punctures,The tapes enhance the durability of tubes, thereby extending the tube’s expected useful life,Extra perforation resistant,Sold in pairs","Dimensions : Road 19 mm (grey), MTB 34 mm (green and blue), hybrid 27 mm (yellow),Weight : Road 35 g x2 (grey), MTB 26""24"" 75 g x2 (green) - 29"" 90g x2 (blue), hybrid 60 g x2 (yellow),Wheels diameter : Route 700c &amp; 27"" (gris), VTT 26""/24"" (vert) - 29 "" (blue), hybride 700c &amp; 27"" (jaune)","http://www.zefal.com/114-361-thickbox/z-liner.jpg,http://www.zefal.com/114-362-thickbox/z-liner.jpg,http://www.zefal.com/114-363-thickbox/z-liner.jpg,http://www.zefal.com/114-365-thickbox/z-liner.jpg,http://www.zefal.com/114-513-thickbox/z-liner.jpg",Z Liner
 91--,Bike Care,Prevent,"Easy to use,Good resistance to high pressures","Dimensions : 4 sizes: 10, 13, 17 or 22 mm,Material : Self-adhesive reinforced woven cotton",http://www.zefal.com/84-357-thickbox/fonds-de-jante-coton.jpg,Cotton Tapes
9821,Bike Care,Prevent,"Puncture prevention sealant,The Z-Sealant was designed for preventing punctures.,It needs to be injected into the valve for a tube or into the side of the tyre for a tubeless.,The Z-Sealant prevents punctures up to 3 mm.,The latex-based-formulation remains efficient for 6 months.,In case of hot weather, it is recommanded to use Z-SEALANT more regularly.,It won't freeze.,The Z-Sealant contains less than 1% amonia and won't damage your tyres.,Shake before use.",Capacity : 1 L,"http://www.zefal.com/212-511-thickbox/z-sealant.jpg,http://www.zefal.com/212-512-thickbox/z-sealant.jpg",Z Sealant (1L)
9301,Bike Care,Prevent,Tubular glue,Tube : 27 gr,http://www.zefal.com/85-360-thickbox/pastali.jpg,Pastali
7510,Racks,,"Universal for all types of bikes: 26’’ et 28’’, for all types of forks,Disc brake compatible,Adjustable and adaptable fixation:,• Upper adjustment: with clamps or L shape brackets depending on the fork (traditional fork or suspension fork),• Lower adjustment: with clamps","Material : High resistant hollow aluminium 6061 structure,Maximum load : 2 x 9 kg (complying with EN 14872 standard),Self size : 300 x 295 mm / 11.8 x 11.6’’,Weight : 750 g","http://www.zefal.com/118-289-thickbox/raider-front.jpg,http://www.zefal.com/118-587-thickbox/raider-front.jpg",Raider Front
 1126 / 1127,Bike Care,Repair,"Repairs and re-inflates instantaneously without removing the wheel. ,For both tyres with tubes or tubeless tyres,Re-inflate at an approximate pressure of 2 bar / 30 psi,Repairs punctures up to 2 mm",Capacity : 75 ml or 100 ml,"http://www.zefal.com/86-515-thickbox/spray-de-reparation.jpg,http://www.zefal.com/86-516-thickbox/spray-de-reparation.jpg",Repair Spray
 1122 / 1125 / 1132A / 1132B,Bike Care,Repair," ,7 patches (3 x Ø 15 mm, 2 x Ø 25 mm, 1 x 24*35 mm, 1 x30*50 mm),8 patches (6 x Ø 25 mm, 1 x 24*35 mm, 1 x 30*50 mm),6 patches (4 x Ø 33 mm, 2 x 30*50 mm),1 rubber cement 5 g,1 stainless steel grater﻿, ,6 patches (Ø 15 mm),1 rubber cement 5 g,1 stainless steel grater﻿",,"http://www.zefal.com/147-520-thickbox/repair-kit.jpg,http://www.zefal.com/147-521-thickbox/repair-kit.jpg,http://www.zefal.com/147-522-thickbox/repair-kit.jpg,http://www.zefal.com/147-523-thickbox/repair-kit.jpg,http://www.zefal.com/147-525-thickbox/repair-kit.jpg",Repair Kits
1135,Bike Care,Repair,"Glueless patches kit,This repair kit contains 6 glueless patches and a stainless steel tube scuffer,Simple to use, quick to stick",Weight : 6 gr,http://www.zefal.com/111-358-thickbox/emergency-kit.jpg,Emergency Kit
8431,Bike Care,Repair,"Made with 3 different products, the Kit May Day is the perfect pack for your ride. ﻿﻿,With its telescopic barrel and the flexible, screw-on Z-Flex connection, the , is the essential tool you need to have while riding your MTB.,Our , will help you to repair your bike easily and safely.,The, are highly resistant and unbreakable, their thin shape provides an easy passage between the rim and tyre, without damaging them. The hook end is reversible and allows dismantling and reassembling the tyre., ,     ,    ,MUD PROTECTION -> Prevents dirt and stays clean.﻿,FLEXIBLE CONNECTION -> Allows inflation from farther away and prevents damage to the valve stem.﻿,STAINLESS STEEL GRATER﻿ -> Efficient on all surfaces with high lifetime.﻿,SHOCK RESIST -> High stiffness of the material﻿",,http://www.zefal.com/217-539-thickbox/kit-may-day.jpg,Kit May Day
9603,Bike Care,Maintenance,"A long-lasting lube for all conditions. High lubricating power.,Ideal for riders looking for competitiveness and performance.,It’s made of synthetic esters that give a longer and better protection to metal parts against day-to-day wear, tear and corrosion. It has outstanding performance for versatile weather conditions.,This lubricant is fully biodegradable.﻿",Oil can : 125 ml,http://www.zefal.com/89-312-thickbox/pro-lube.jpg,Pro Lube
9602,Bike Care,Maintenance,"Lube for wet conditions. Very effective against rust.,The Wet Lube is the best lubricant if you like riding in wet and muddy conditions.,Made of vegetable oils and synthetic esters, the Wet Bio Lube is insoluble in water, giving it exceptional protection against splashing water.,It forms a very thin protective film that allows a better transmission.,This lubricant is fully biodegradable.﻿",Oil can : 125 ml,http://www.zefal.com/88-311-thickbox/wet-lube.jpg,Wet Lube
9601,Bike Care,Maintenance,"Ideal in dry weather conditions. Prevents dust and sand from sticking.,This lubricant excels in dry and dusty environments. ,Its quick drying formula forms a clean film that has a durable protection against dust and dirt. ,It’s ideal for drive chain, brake cable, derailleur.﻿","Oil can : 125 ml,Spray : 300 ml","http://www.zefal.com/87-309-thickbox/dry-lube.jpg,http://www.zefal.com/87-310-thickbox/dry-lube.jpg",Dry Lube
1192,Bike Care,Maintenance,"Double head brush with resistant fibers ,The ZB DOUBLE is ideal to get rid of mud and grime on the crank set, chain rings, pedals, spokes or disc brakes. ,Dual material handle: ergonomic and non-slippery.",Total lenght : 250 mm / 9.8'' with brushes of 80 mm / 3.1'',http://www.zefal.com/95-318-thickbox/zb-double.jpg,ZB Double
1191,Bike Care,Maintenance,"Brush with soft and dense bristles for a efficient and safe cleaning of the bike: frame, fork, wheels…,Dual material handle: ergonomic and non-slippery,Oval shape designed to access all bike parts,Use Zéfal Bike Wash to ensure optimal results.","Total lenght : 280 mm / 11'',Work surface : 150 mm x 100 mm / 5.9 x 3.9''",http://www.zefal.com/94-317-thickbox/zb-wash.jpg,ZB Wash
9980,Bike Care,Maintenance,"Degreases and cleans all surfaces.,Zefal Bike Degreaser is a powerful degreaser that is efficient for all transmission parts of the bike.,Removes as well grease, mud and dirt.,Its unique formula is easy to rinse and leaves no trace or residue. After rinsing, it gives a shine to the treated surfaces.,More than 90% biodegradable degreaser.﻿",Spray bottle : 500 ml,http://www.zefal.com/91-314-thickbox/bike-degreaser.jpg,Bike Degreaser
9750,Bike Care,Maintenance," A degreaser, penetrating oil, cleaner and lubricant, the All-In-1 is the complete and quick solution to proper bike care. ﻿,Safe for the environment with its vegetable base﻿,Leaves a clean, oil-free film to prevent corrosion﻿, , ,     ,﻿",Spray : 150 ml,http://www.zefal.com/209-465-thickbox/all-in-1.jpg,All-In-1
9606,Bike Care,Maintenance,"Grease Lithium grade 2, the Pro II Grease is waterproof and heat resistant. Suitable for daily professional use, it provides an excellent anti-wear protection. Ideal for bearings, headset, bottom bracket, hub and seat post. Also available for workshops.﻿, ,ANTI RUST AND CORROSION﻿ -> High protection.﻿,WATERPROOF﻿ -> Excellent resistance to water, mud, weathering…﻿,STRONG ADHERENCE﻿ -> Strong adhesion power for fewer uses.﻿",Capacity : 1 kg,http://www.zefal.com/228-624-thickbox/pro-ii-grease-1kg.jpg,Pro II Grease (1kg)
9605,Bike Care,Maintenance,"Grease Lithium grade 2,Waterproof and heat resistant.,Suitable for daily professional use, it provides an excellent anti-wear protection. ,Ideal for bearings, headset, bottom bracket, hub and seat post.﻿",Tube : 150 ml,http://www.zefal.com/90-313-thickbox/pro-ii-grease.jpg,Pro II Grease (125 ml)
9985,Bike Care,Maintenance,The Zéfal Z-Degreaser is a powerful degreaser and cleaner. Its quick-acting formula guarantees a fast and efficient cleaning. This degreaser is ideal for gears and chains but it has also been made for degreasing and cleaning disc brakes.,Spray : 300 ml ,http://www.zefal.com/210-466-thickbox/z-degreaser.jpg,Z Degreaser
9972,Bike Care,Maintenance,"Zéfal Bike Wash is a high performance bike cleaner that will take off all dust, dirt and all residues. It is safe to use on all parts of your bike, reduces risk of rusting or damaging the plastic parts, leaving your bike sparkling clean.﻿",Spray bottle : 500 ml,http://www.zefal.com/92-315-thickbox/bike-wash.jpg,Bike Wash
8700,Inflation,Mini floor pumps,"High pressure pump with inline gauge,Extra long hose,Ergonomic dual material comfort handle,Lockable T-handle,Foldable aluminium base,Comes with a mounting clip","Accessories : Clip,Barrel : Aluminium,Base : Aluminium,Connection : Reversible Presta / Schrader,Gauge : Inline,Handle : Dual material ,Height 345 mm / 13.6'',Hose length : 600 mm / 23.6'',Pressure : 11 bar / 160 psi,Thumblock : Aluminium,Weight : 215 g,UG_ProfilMiniRG01_Zéfal","http://www.zefal.com/96-246-thickbox/profil-mini-rgo1.jpg,http://www.zefal.com/96-247-thickbox/profil-mini-rgo1.jpg",Profil Mini RGO1
8702,Inflation,Mini floor pumps,"The new product in the range, the Profil Mini RG02 i,s slightly smaller, so it can be even more easily carried and stored.﻿,EXTRA LONG HOSE -> Easier access to tube valve stem,ERGONOMIC DUAL MATERIAL COMFORTABLE AND LOCKABLE T-HANDLE -> Comfort zone for excellent grip.,FOLDABLE ALUMINIUM -> Greater stability for a better inflation","Barrel : Aluminium,Base : Aluminium,Connection : Reversible Presta / Schrader,Handle : Dual material,Height 230 mm / 9'',Hose length : 380 mm / 15'',Pressure : 7 bar / 100 psi,Thumblock : Aluminium,Weight : 168 g,UG_ProfilMiniRG02_Zéfal",http://www.zefal.com/97-524-thickbox/profil-mini-rg02.jpg,Profil Mini RG02
8705,Inflation,Mini floor pumps,"High volume MTB mini floor pump,Pump with ease with this telescopic and wide-diameter-pump,Extra long hose,Ergonomic dual material comfort handle,Lockable T-handle,Foldable aluminium base.","Barrel : Telescopic in aluminum,Base : Aluminium,Connection : Reversible Presta / Schrader,Handle : Dual material,Height 345 mm / 13.6'',Hose length : 600 mm  / 23.6'',Pressure : 9 bar / 130 psi,Thumblock : Aluminium,Weight : 300 g,UG_ProfilMiniMT01_Zéfal","http://www.zefal.com/184-248-thickbox/profil-mini-mt01.jpg,http://www.zefal.com/184-249-thickbox/profil-mini-mt01.jpg,http://www.zefal.com/184-479-thickbox/profil-mini-mt01.jpg",Profil Mini MT01
99,Inflation,Floor pumps,Double barrel floor pump is easily inflatable with the Zéfal double action system: maximum of 8 hits to reach the required pressure.,"Barrel : Double in aluminium,Base : Aluminium,Connection : Z-Switch,Gauge diameter : 50 mm / 2'',Handle : Technopolymer resin with soft grips
,Height 620 mm / 24'',Hose length : 800 mm / 32'',Pressure : 16 bar / 230 psi,Weight : 2.2 kg",http://www.zefal.com/30-201-thickbox/alaskan.jpg,Alaskan
92,Inflation,Floor pumps," , ","Barrel : Steel,Base : Thermoplastic resin,Connection : Z-Switch,Gauge diameter : 62 mm / 2.5'',Handle : Technopolymer resin,Height 630 mm / 25'',Hose length : 600 mm / 23.6'',Pressure : 11 bar /160 psi,Weight : 880 g",http://www.zefal.com/119-202-thickbox/air3.jpg,Air3
811,Inflation,Floor pumps,"With its pedal and its gauge, the Big Foot floor pump is the right balance of saving efforts and precise inflation. Retractable thanks to its lock system,  it can be easily carrying. Suitable for bikes, balls and tires, the Big Foot is ideal for your leisure.﻿, ,LOCK SYSTEM﻿ -> Easy storage and transport.﻿,GAUGE WITH INFLATION INDICATOR﻿ -> Precise inflation.﻿,ADDED FEATURES﻿ -> Ball and bladder heads, Presta adaptor.﻿","Accessories : Ball and bladder heads, Presta adaptor,Barrel : Steel,Base : Flexible rubber pad,Connection : Schrader with Presta adaptor,Hose length : 670 mm / 26,3"",Pressure : 7 bar / 100 psi,Weight : 915 g,UG_BigFoot_Zéfal","http://www.zefal.com/128-629-thickbox/big-foot.jpg,http://www.zefal.com/128-630-thickbox/big-foot.jpg,http://www.zefal.com/128-631-thickbox/big-foot.jpg",Big Foot (new)
890,Inflation,Floor pumps,"Z-TWIN CONNECTION﻿ -> Screw-on double head﻿ connection: smart and easy to use. Ensures good inflation.﻿,ERGONOMIC DUAL MATERIAL COMFORTABLE ANDLOCKABLE T-HANDLE﻿ -> Comfort zone for excellent grip.﻿,INLINE GAUGE﻿ -> Accuracy of inflation.﻿,DOUBLE BASE﻿ -> Better stability during the inflation.﻿,CARRYING BAG INCLUDED﻿ -> Ideal for travel.﻿","Barrel : Aluminium,Base : Aluminium,Connection : Z-Twin,Handle : Dual material,Height 500 mm / 19'',Hose length : 610 mm / 242'',Pressure : 12 bar / 180 psi,Weight : 330 g ,UG_ProfilTravel_Zéfal","http://www.zefal.com/224-577-thickbox/profil-travel.jpg,http://www.zefal.com/224-579-thickbox/profil-travel.jpg,http://www.zefal.com/224-578-thickbox/profil-travel.jpg",Profil Travel
951,Inflation,Floor pumps,"Perfect representation of Zéfal know-how, the Husky is the combination of expertise and innovation. Used by professional teams, the pump is also recommended for workshops and heavy users.﻿,Z-TWIN SYSTEM﻿ -> Screw-on double head connection: smart and easy touse. Ensures good inflation.﻿,HIGH PRESSURE﻿ -> Can reach high pressure in fewer strokes.﻿,ZÉFAL KNOW-HOW﻿ -> Experience since 1880.﻿,FOLDABLE BASE﻿ -> Easier storage.﻿","Barrel : Aluminium,Base : Iron cast ,Connection : With thumblock – reversible Schrader/Presta + chained Presta adapter,Gauge diameter : 50 mm / 2'',Handle : Painted natural wood ,Height 710 mm / 28'',Hose length : 1100 mm / 43'',Pressure : 16 bar / 230 psi,Weight : 3,1 kg,UG_Husky_Zéfal",http://www.zefal.com/120-609-thickbox/husky.jpg,Husky
863,Inflation,Floor pumps,"Gauge with magnify, easy to read,Large hose,Universal patented Z-Switch system,Handle lock., , ,﻿","Accessories : Ball &amp; bladder heads
,Barrel : Steel,Base : Techno-polymer,Connection : Z-Switch ,Gauge diameter : 63 mm / 2.5'',Handle : Techno-polymer,Height 660 mm / 26 '',Hose length : 1100 mm / 43'',Pressure : 11 bar / 160 psi,Weight : 1,3 kg",http://www.zefal.com/98-200-thickbox/profil-max-fp30.jpg,Profil Max FP30
865,Inflation,Floor pumps,"Thanks to its base and steel barrel, our Profil Max FP50 offers more stability and strength. Its wide gauge and long hose permit easier use. The Z-Switch system is universal and compatible with all valves (Presta, Schrader and Dunlop). All the inflation accessories you need are provided with the pump.﻿, ,Z-SWITCH SYSTEM﻿ -> Easy change from Presta to Schrader or Dunlop via a simple switch.﻿,LONG HOSE﻿ -> Easier access to tube valve stem.﻿,﻿DUAL MATERIAL HANDLE﻿ -> Comfort zone for an excellent grip.﻿,STEEL BASE﻿ -> Better stability.﻿,WIDE GAUGE﻿ -> Precise inflation via highly visible gauge.﻿,ADDED FEATURES﻿ -> Ball, bladder heads and Schrader / Presta adaptor.﻿,INTEGRATED LOCKING HOOK﻿ -> For handle and hose.﻿, , ,﻿","Accessories : Ball and bladder heads,Barrel : Steel,Base : Steel,Connection : Z-Switch ,Gauge diameter : 80 mm / 3.2 '',Handle : Dual material,Height 680 mm / 26.8 '',Hose length : 1100 mm / 43'',Pressure : 12 bar / 180 psi,Weight : 1.7 kg",http://www.zefal.com/127-207-thickbox/profil-max-fp50.jpg,Profil Max FP50
 7311 / 7321 / 7331 / 7341,Inflation,Traditional pumps,"A durable, all-aluminium construction pump, available in 4 sizes,The HPX spring locking system to fit any frame, without the need for straps or secondary fixings, ensures it’s,capable of pumping up.,Size 1: 360 to 400 mm / 14.2'' to 15.7'',Size 2: 410 to 450 mm / 16.1'' to 17.7'',Size 3: 460 to 500 mm / 18.1'' to 19.7'',Size 4 : 510 to 550 mm / 20.1'' to 21.7''","Barrel : Aluminium,Connection : Reversible Presta / Schrader,Handle : Aluminium,Length : 4 sizes available,Mounting : Frame fit,Pressure : 12 bar / 174 psi,Stem : Aluminium,Thumblock : Aluminium,Weight : 240 g (size3)",http://www.zefal.com/109-198-thickbox/hpx-classic.jpg,HPX Classic
867,Inflation,Floor pumps,"Extra wide gauge easy to read,Extra long hose,Z-Flip head system with aluminium lever,Ergonomic dual material comfort handle,Exceptional stability with its wide aluminum base., ,﻿","Accessories : Ball &amp; bladder heads, Schrader / Presta adaptor,Barrel : Aluminium,Base : Aluminium with sandpaper pads,Connection : Z-Flip,Gauge diameter : 100 mm / 4'',Handle : Dual material,Height 710 mm / 28'',Hose length : 1225 mm / 48'',Pressure : 14 bar / 205 psi,Weight : 1.8 kg","http://www.zefal.com/126-204-thickbox/profil-max-fp70.jpg,http://www.zefal.com/126-205-thickbox/profil-max-fp70.jpg,http://www.zefal.com/126-206-thickbox/profil-max-fp70.jpg,http://www.zefal.com/126-482-thickbox/profil-max-fp70.jpg",Profil Max FP70
 8100 / 8150 / 8180,Inflation,Traditional pumps,3 sizes available.,"Barrel : Technopolymer,Connection : Flexible Presta or Schrader,Handle : Technopolymer,Length : 285 mm / 11.2"" (ref 8100) - 300 mm / 12"" (ref 8150) - 380 mm / 15"" (ref 8180),Mounting : Peg fit,Weight : 72 g (ref 8100) - 80 g (ref 8150) - 95 g (ref 8180) ",http://www.zefal.com/108-197-thickbox/800.jpg,800
681,Inflation,Traditional pumps,,"Barrel : Chromed steel,Connection : Flexible Presta (adaptor Schrader),Diameter : 22 mm,Handle : Aluminium,Length : 380 mm / 14.8"",Mounting : Peg fit,Pressure : 8 bar / 116 psi,Stem : Aluminium,Weight : 150 g",http://www.zefal.com/110-199-thickbox/lapize.jpg,Lapize
3180,Inflation,Universal pumps,"Multi-purpose mini-pump,All accessories are stored in the handle﻿.","Accessories : Ball and bladder heads,Barrel : Thermoplastic,Connection : Flexible Schrader + Presta screw-on adaptor,Handle : Thermoplastic,Length : 290 mm / 11.4'',Pressure : 4 bar / 58 psi,Weight : 150 g,UG_Max_Zéfal",http://www.zefal.com/37-191-thickbox/max.jpg,Max
660,Inflation,Universal pumps,"High pressure pump for suspension fork and rear shock,Comfort zone in techno-polymer giving the Z SHOCK excellent handling and ergonomics.,Quick screwing connection without loss of pressure,Equipped with a pressure regulator,Gauge and connection can rotate over 360 degrees﻿.","Barrel : Aluminium,Gauge : 40 mm / 1.6"",Handle : Aluminium,Lenght : 270 mm / 10.6"",Pressure : 25 bar / 360 psi,Stem : Aluminium,Weight : 235 g,UG_ZShock_Zéfal",http://www.zefal.com/12-186-thickbox/z-shock.jpg,Z Shock
 8810 / 8821 / 8831 / 8841,Inflation,Traditional pumps,"Size 1: 360 to 400 mm / 14.2'' to 15.7'',Size 2: 410 to 450 mm / 16.1'' to 17.7'',Size 3: 460 to 500 mm / 18.1'' to 19.7'',Size 4 : 510 to 550 mm / 20.1'' to 21.7'', ﻿","Barrel : Technopolymer resin,Connection : Reversible Presta / Schrader,Handle : Technopolymer resin,Length : 4 sizes available,Mounting : Frame fit,Weight : 130 g (size 3)","http://www.zefal.com/41-196-thickbox/rev-88.jpg,http://www.zefal.com/41-530-thickbox/rev-88.jpg",Rev 88
8288,Inflation,Universal pumps,,"Barrel : Thermoplastic,Colours : Black, blue, green, white, orange, yellow,Connection : Reversible Presta / Schrader,Handle : Thermoplastic,Length : 230 mm / 9'',Mounting : Clip,Pressure : 6 bar / 87 psi,Weight : 90 g ,UG_MiniJet_Zéfal","http://www.zefal.com/36-193-thickbox/mini-jet.jpg,http://www.zefal.com/36-189-thickbox/mini-jet.jpg",Mini Jet
 3200 / 3230,Inflation,Traditional pumps,,"Barrel : Aluminium,Connection : Flexible Schrader + Presta screw-on
adaptor,Handle : Aluminium,Length : 380 mm / 15''  (ref 320) – 300 mm / 11.8''  (ref 323),Mounting : Supply with 2 mounting clips 105 XL,Weight : 145 g (ref 320) – 125 g (ref 323)",http://www.zefal.com/40-195-thickbox/mt-320-atb-323.jpg,MT 320 / MT 323
 3101 / 3131,Inflation,Traditional pumps,,"Barrel : PVC,Connection : Flexible Schrader + Presta screw-on
adaptor,Handle : Technopolymer resin,Length : 380 mm / 15''  (ref 3101) – 300 mm / 11.8''  (ref 3131),Mounting : Supply with 2 mounting clips 105 XL,Weight :  130 g (ref 310) – 110 g (ref 313)",http://www.zefal.com/38-194-thickbox/atb-310-atb-313.jpg,ATB 310 / ATB 313
8430,Inflation,Mini-pumps,"With its telescoping barrel and the flexible, screw-on Z-Turn connection, the Air Profil FC01 is the essential tool you need while riding your MTB.﻿, ,Z-TURN SYSTEM﻿ - Screw-on intuitive connection, compatible with Presta and Schrader valves.﻿,TELESCOPIC﻿ - High volume mini-pump in fewer strokes.﻿,MUD PROTECTION - Prevents dirt and stays clean.,FLEXIBLE CONNECTION - Allows inflation from farther away and prevents damage to the valve stem.,﻿ ,﻿     ,       ","Barrel : Thermoplastic,Connection : Z-Turn,Handle : Chromed thermoplastic ,Length : 200 mm / 8'',Mounting : Clip (reference 8519),Pressure : 6 bar / 87 psi,Weight : 116 g,UG_AirProfilFC01_Zéfal","http://www.zefal.com/34-488-thickbox/air-profil-f01.jpg,http://www.zefal.com/34-489-thickbox/air-profil-f01.jpg,http://www.zefal.com/34-490-thickbox/air-profil-f01.jpg",Air Profil FC01
8440,Inflation,Mini-pumps,"With the LOCK MAGNET, the Z-TURN flexible connectionand aluminum construction, pumping your tires with the Air ProfileFC02 will be a true pleasure. Available in two colors.﻿,LOCK MAGNET﻿ --> Magnetic closure, quicker and easier.,ALL IN ALUMINIUM﻿ --> Durability, lightweight and high resistance to corrosion.﻿,MUD PROTECTION﻿ --> Prevents dirt and stays clean﻿.,FLEXIBLE CONNECTION﻿ --> Allows inflation from farther away and prevents damage to the valve stem.﻿","Barrel : Aluminium,Colours : Red/silver or black/silver,Connection : Z-Turn,Handle : Aluminium,Length : 180 mm / 7'',Mounting : Universal,Pressure : 8 bar / 116 psi,Weight : 111 g,UG_AirProfilFC02_Zéfal","http://www.zefal.com/225-604-thickbox/air-profil-fc02.jpg,http://www.zefal.com/225-704-thickbox/air-profil-fc02.jpg,http://www.zefal.com/225-701-thickbox/air-profil-fc02.jpg,http://www.zefal.com/225-703-thickbox/air-profil-fc02.jpg",Air Profil FC02
8410,Inflation,Mini-pumps,,"Barrel : Carbon,Connection : Reversible Presta / Schrader,Handle : Carbon (lockable),Length : 165 mm / 6.5'',Mounting : Clip,Pressure : 7 bar / 100 psi,Stem : Aluminium,Thumblock : Aluminium,Weight : 46 g ,UG_XLight_Zéfal",http://www.zefal.com/27-184-thickbox/xlight.jpg,XLight
