Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image File - 1
Product,,Inner Gloves (All),Nelco Sports,135,135,135,"

",N2008IGM1NELPRD,NELCOSPORTS,Inner Gloves ,Inner Gloves (All),15-23 Working days,100,N,-150,Get your hands on the Inner Gloves (All). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Inner Gloves (All) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Inner Gloves (All) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387004968_inner.jpg
Rule,,"[S]Size=
                                              ",,[FIXED]135,[FIXED]135,[FIXED]135,,N2008IGM1,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size=© 2014 Nelco Sports All Rights Reserved,,[FIXED]395,[FIXED]395,[FIXED]395,,N2008IGM2,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Super (EG),Nelco Sports,135,135,135,"

",N2008EGM5NELPRD,NELCOSPORTS,Elbow Guard ,Super (EG),15-23 Working days,100,N,-150,Get your hands on the Super (EG). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Super (EG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Super (EG) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387014088_not-ava.jpg
Rule,,[S]Size= Size - Mens,,[FIXED]135,[FIXED]135,[FIXED]135,,N2008EGM5,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Youth,,[FIXED]135,[FIXED]135,[FIXED]135,,N2008EGY3,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= Size - Boys,,[FIXED]135,[FIXED]135,[FIXED]135,,N2008EGB3,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Carbon (WKL),Nelco Sports,1490,1490,1490,"

",N2008WLM2NELPRD,NELCOSPORTS,Wicket Keeping Legguards ,Carbon (WKL),15-23 Working days,100,N,-150,Get your hands on the Carbon (WKL). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Carbon (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Carbon (WKL) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387866474_WKL-LE.jpg
Product,,"Maxxicover (S,M,L,Xl)",Nelco Sports,690,690,690,"

",N2008HL4NELPRD,NELCOSPORTS,Cricket Helmets ,"Maxxicover (S,M,L,Xl)",15-23 Working days,100,N,-150,"Get your hands on the Maxxicover (S,M,L,Xl). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Buy the Maxxicover (S,M,L,Xl) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Buy Maxxicover (S,M,L,Xl) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387006090_not-ava.jpg
Product,,"Maxxiguard (M,L,Xl)",Nelco Sports,960,960,960,"

",N2008HL3NELPRD,NELCOSPORTS,Cricket Helmets ,"Maxxiguard (M,L,Xl)",15-23 Working days,100,N,-150,"Get your hands on the Maxxiguard (M,L,Xl). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Buy the Maxxiguard (M,L,Xl) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Buy Maxxiguard (M,L,Xl) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387005951_not-ava.jpg
Product,,Warrior(Batting Legguard),Nelco Sports,1080,1080,1080,"

",N2008BLM11NELPRD,NELCOSPORTS,Batting Legguards,Warrior(Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the Warrior(Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Warrior(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Warrior(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386410687_WARRIOR copy.jpg
Rule,,[S]Size= - Mens,,[FIXED]1080,[FIXED]1080,[FIXED]1080,,N2008BLM11,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Youth,,[FIXED]1080,[FIXED]1080,[FIXED]1080,,N2008BLY4,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Boys,,[FIXED]1080,[FIXED]1080,[FIXED]1080,,N2008BLB4,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Maxximuss(Batting Legguard),Nelco Sports,1190,1190,1190,"

",N2008BLM9NELPRD,NELCOSPORTS,Batting Legguards,Maxximuss(Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the Maxximuss(Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Maxximuss(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Maxximuss(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386410393_MAXXIMUSS copy.jpg
Rule,,[S]Size= - Mens,,[FIXED]1190,[FIXED]1190,[FIXED]1190,,N2008BLM9,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Youth,,[FIXED]1190,[FIXED]1190,[FIXED]1190,,N2008BLY2,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Boys,,[FIXED]1190,[FIXED]1190,[FIXED]1190,,N2008BLB2,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Carbon(Batting Legguard),Nelco Sports,1790,1790,1790,"

",N2008BLM6NELPRD,NELCOSPORTS,Batting Legguards,Carbon(Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the Carbon(Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Carbon(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Carbon(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386408402_CARBON copy.jpg
Product,,ISIS(Batting Legguard),Nelco Sports,2190,2190,2190,"

",N2008BLM5NELPRD,NELCOSPORTS,Batting Legguards,ISIS(Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the ISIS(Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the ISIS(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy ISIS(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386408217_ISIS copy.jpg
Product,,Gladiator(Batting Legguard),Nelco Sports,1340,1340,1340,"

",N2008BLM8NELPRD,NELCOSPORTS,Batting Legguards,Gladiator(Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the Gladiator(Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Gladiator(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Gladiator(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386410190_not-ava.jpg
Product,,VIPER(Batting Legguard),Nelco Sports,1630,1630,1630,"

",N2008BLM7NELPRD,NELCOSPORTS,Batting Legguards,VIPER(Batting Legguard),15-23 Working days,100,N,-150,Get your hands on the VIPER(Batting Legguard). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the VIPER(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy VIPER(Batting Legguard) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386408485_VIPER copy.jpg
Product,,Gen-X,Nelco Sports,955,955,955,"

",N2008BLM10NELPRD,NELCOSPORTS,Batting Legguards,Gen-X,15-23 Working days,100,N,-150,Get your hands on the Gen-X. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Gen-X Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Gen-X Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1386410481_not-ava.jpg
Rule,,[S]Size= - Mens ,,[FIXED]1080,[FIXED]1080,[FIXED]1080,,N2008BLM10,NELCOSPORTS,,,,100,,,,,,,,,
