Category,SKU,Description,Review,SP,MRP,CP,SP,productname,Size,imgurl3,imgurl2,imgurl1,stock
Forza Power Trainer,[PT-130],"

    
        
            
            Specifications:
            
            
            FZ Forza® Power Trainer 130
            
        
        
            
            Stiffness
            
            
            Flex to Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            HM Graphite
            
        
        
            
            Shaft
            
            
            HM Graphite
            
        
        
            
            Weight
            
            
            130 +/- 3g
            For Top-Level Player
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            G5
            
        
        
            
            Recommended String Tension 
            
            
            Main 18-22lbs (8-11kg)
            
        
        
            
            Cross 20-24lbs (9-12kg)
            
        
        
            
            Balance Point from Grip End
            
            
            285-295mm (Head Balance)
            
        
    

",,,"85.00
                        ",5355,6426,Forza Power Trainer 130 (each),,,http://www.mybadmintonstore.com/shop/images/FZPowerTrainerPoster.jpg,,
Strings,[BG-66UM SP],",",,,"87.00
                        ",5481,6577.2,Yonex BG-66 Ultimax SP (box of 10),,images/YYBG66UMR.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYBG66UMR.jpg,,
Shoes,[Power Cushion 74EX],"

    
        
            
            Specifications:
            
            
            Yonex® Power Cushion 74EX
            Badminton Shoes
            
        
        
            
            Material
            
            
            PU Leather / Double Russell Mesh
            Tough Guard III
            
        
        
            
            Sole
            
            
            Power Cushion T.P.U. Insole
            PU Gum (Non-marking) Outersole
            MS-Lite Midsole
            
        
        
            
            Sizes
            
            
            23 - 30 (subject to availability)
            
        
        
            
            Color
            
            
            White / Red
            
        
    

",,,"89.00
                        ",5607,6728.4,Yonex SHB-74EX (WH/RD),,,http://www.mybadmintonstore.com/shop/images/YonexSHB-74EXWhite.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHB-74EXWhite.jpg,
Shoes,[Power Cushion 74EX],"

    
        
            
            Specifications:
            
            
            Yonex® Power Cushion 74EX
            Badminton Shoes
            
        
        
            
            Material
            
            
            PU Leather / Double Russell Mesh
            Tough Guard III
            
        
        
            
            Sole
            
            
            Power Cushion T.P.U. Insole
            PU Gum (Non-marking) Outersole
            MS-Lite Midsole
            
        
        
            
            Sizes
            
            
            23 - 30 (subject to availability)
            
        
        
            
            Color
            
            
            Red / Black
            
        
    

",,,"89.00
                        ",5607,6728.4,Yonex SHB-74EX (RD/BK),,,http://www.mybadmintonstore.com/shop/images/YonexSHB-74EXRed.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHB-74EXRed.jpg,
Feather,[Club 5],"

    
        
            
            Specifications:
            
            
            Kason Club 5
            
        
        
            
            Grade
            
            
            Club &amp; Interclub Tournament
            
        
        
            
            Material
            
            
            Selected Grade White Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
            
             
            
        
        
            
            MOQ
            
            
            6 Tubes
            
        
    

",,,"90.00
                        ",5670,6804,Kason Club 5 (6 tubes),,,,,
Strings,[ST416601-200],"

    
        
            
            Specifications:
            
            
            adidas® Power Performance
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            0.68mm Hi-Polymer Nylon
            Durability - 9
            Control - 7
            Sound - 7
            Power - 9
            Made in Japan
            
        
    

",,,"92.00
                        ",5796,6955.2,adidas Power Performance (200m) (each),,,http://www.mybadmintonstore.com/shop/images/adiPowerPerformance200m_R20.jpg,http://www.mybadmintonstore.com/shop/images/adiPowerPerformance200m_R20.jpg,
Shoes,[Power Cushion 87 Men],"

    
        
            
            Specifications:
            
            
            Yonex® Power Cushion 87 Men Badminton Shoes
            
        
        
            
            Material
            
            
            PU Leather / Polyester Mesh
            
        
        
            
            Sole
            
            
            QUATTRO FIT
            Power Cushion Insole CF
            ToughBrid Light Midsole
            PU Gum (Non-marking) Outersole
            
        
        
            
            Sizes
            
            
            23 - 30cm (subject to availability)
            
        
        
            
            Color
            
            
            Red / Black
            
        
    

",,,"Yonex SHB-87EX (RED/BLACK) 
                        ",5796,6955.2,Yonex SHB-87EX (RED/BLACK),,,"http://www.mybadmintonstore.com/shop/images/YonexSHB87RB.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHB87EX_PosterR.jpg","http://www.mybadmintonstore.com/shop/images/YonexSHB87RB.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHB87EX_PosterR.jpg",
Strings,[ST617212-200],"

    
        
            
            Specifications:
            
            
            adidas® Power Hybrid (200m)
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Main String (WHITE)
            0.72mm Power Team
            Cross String (YELLOW)
            0.69mm Power Balance
            Durability - 8
            Control - 10
            Sound - 7
            Power - 9
            Made in Japan
            
        
    

",,,"92.00
                        ",5796,6955.2,adidas Power Hybrid (200m) (each),,,http://www.mybadmintonstore.com/shop/images/adiPowerHybrid200m_R20.jpg,,
Strings,[ST216601-200],"

    
        
            
            Specifications:
            
            
            adidas® adiPower Pro (200m)
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            0.66mm Synthetic String
            Durability - 7
            Control - 8
            Sound - 10
            Power - 10
            Made in Japan
            
        
    

,,",,,"92.00
                        ",5796,6955.2,adidas adiPower Pro (200m) (each),,images/adipowerPro_R40.jpg,http://www.mybadmintonstore.com/shop/images/adipowerPro200m_R20.jpg,,
Strings,[BG-65-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® BG-65-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 65 Synthetic String
            0.70mm / 22 gauge
            
        
    

",,,"92.00
                        ",5796,6955.2,Yonex BG-65 EX (200m) (each),,,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYBG65200.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYBG65200.jpg,
,[ST216601-200],"

    
        
            
            Specifications:
            
            
            adidas® adiPower Pro (200m)
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            0.66mm Synthetic String
            Durability - 7
            Control - 8
            Sound - 10
            Power - 10
            Made in Japan
            
        
    

,,",,,"92.00
                        ",5796,6955.2,adidas adiPower Pro (200m) (each),,images/adipowerPro_R40.jpg,http://www.mybadmintonstore.com/shop/images/adipowerPro200m_R20.jpg,,
Feather,,"

    
        
            
            Specifications:
            
            
            MBS® CLUB Badminton Shuttlecocks
            
        
        
            
            Grade
            
            
            Club &amp; Interclub Tournament
            
        
        
            
            Material
            
            
            Selected Grade White Goose Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            
        
        
            
            Endorsement
            
             
        
        
            
            MOQ
            
            
            6 Tubes
            
        
    

",,,"93.00
                        ",5859,7030.8,MBS CLUB (6 tubes),,,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/MBSClub25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/MBSClub25.jpg,
Feather,[HQ GREEN],"

    
        
            
            Specifications:
            
            
            Hi-Qua® Shuttlecock GREEN
            
        
        
            
            Grade
            
            
            Club Practice &amp; General Purpose
            
        
        
            
            Material
            
            
            Standard Grade White Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
             
        
        
            
            MOQ
            
            
            6 Tubes
            
        
    

",,,"95.00
                        ",5985,7182,Hi-Qua GREEN (6 tubes),,,,,
Forza Graphite,[301537],"

    
        
            
            Specifications:
            
            
            FZ Forza® Graphite Light 6U
            
        
        
            
            Stiffness
            
            
            Medium (Mid-Flex)
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            40T CNT UHM Graphite
            
        
        
            
            Shaft
            
            
            40T CNT UHM Graphite
            
        
        
            
            Weight
            
            
            74g
            For Defensive / All-round Player
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            G5
            
        
        
            
            Recommended String Tension 
            
            
            Main 18-22lbs (8-11kg)
            
        
        
            
            Cross 20-26lbs (9-13kg)
            
        
        
            
            Balance Point from Grip End
            
            
            287-293mm (Head Balance)
            
        
    

",,,"95.00
                        ",5985,7182,Forza Graphite Light (each),,,http://www.mybadmintonstore.com/shop/images/GraphiteLight6UPoster.jpg,,
Shoes,[Power Cushion 87R],"

    
        
            
            Specifications:
            
            
            Yonex® Power Cushion 87R Badminton Shoes
            
        
        
            
            Material
            
            
            PU Leather / Polyester Mesh
            
        
        
            
            Sole
            
            
            QUATTRO FIT
            ToughBrid Light Midsole
            PU Gum (Non-marking) Outersole
            
        
        
            
            Sizes
            
            
            25.5 - 30cm (subject to availability)
            
        
        
            
            Color
            
            
            Charcoal / Orange
            
        
    

",,,"97.00
                        ",6111,7333.2,Yonex SHB-87REX,,,http://www.mybadmintonstore.com/shop/images/YonexSHB87Rb.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHB87Rb.jpg,
Feather,[CLUB Combo],"

    
        
            
            Specifications:
            
            
            Club Grades Shuttlecocks
            Trial Combo 6
            
        
        
            
            Grade
            
            
            Club &amp; Leisure Games
            
        
        
            
            Material
            
            
            Standard Grade White Feathers
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube
            
        
        
            
            Brands
            
            
            1 tube HQ GOLD
            1 tube HQ GREEN
            1 tube MBS CLUB
            1 tube Tactic ZINC
            1 tube Revesports CLUB 7
            1 tube Forza S-3000
            
        
        
            
            Shuttle Speed
            
            
            Customer may specify the shuttlecock speed for each brand, subject to stock availability. MBS reserves the right to send an alternative speed where appropriate.
            
        
    

",,,"99.00
                        ",6237,7484.4,CLUB Shuttlecocks Trial Combo 6,,,,,
Racket Grips,[300188],"

    
        
            
            Specifications:
            
            
            Forza® A Grip
            (Thin Replacement Grip)
            
        
        
            
            Size
            
            
            25mm Wide / 0.6mm Thick
            
        
        
            
            Packaging
            
            
            100 Grips
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            100% PU Rubber
            
        
    

",,,"99.00
                        ",6237,7484.4,Forza A Grip (box of 100),,,,,
Strings,[VS-850-200],"

    
        
            
            Specifications:
            
            
            Victor® VS-850 (200m)
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 68 Nano Synthetic String
            0.68mm / 22 gauge
            
        
    

",,,"102.00
                        ",6426,7711.2,Victor VS-850 (200m),,,,,
Strings,[BG-65T-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® BG-65T-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 65 Ti Synthetic String
            0.70mm / 22 gauge
            
        
    

",,,"102.00
                        ",6426,7711.2,Yonex BG-65Ti EX (200m) (each),,,,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYBG65Ti200.jpg,
Strings,[NBG-98 JP],"

    
        
            
            Specifications:
            
            
            Yonex Nanogy NBG-98 JP Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            10 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Carbon Nanofiber String
            0.66mm / 22 gauge
            
        
    

",,,"103.00
                        ",6489,7786.8,Yonex Nanogy NBG-98 JP (box of 10),,,"http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/NBG98JP25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98NewColor25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98Pink25.jpg","http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/NBG98JP25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98NewColor25.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YonexNBG98Pink25.jpg",
Strings,[NBG-95 JP],"

    
        
            
            Specifications:
            
            
            Yonex Nanogy NBG 95-(JP) Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            10 bags
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Carbon Nanofiber String
            0.69mm / 22 gauge
            
        
    

",,,"103.00
                        ",6489,7786.8,Yonex Nanogy NBG-95 JP (box of 10),,,,,
adidas adiPower,[RK105411],"

    
        
            
            Specifications:
            
            
            adidas P800
            
        
        
            
            Stiffness
            
            
            Medium
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon 
            X-TRA Titanium
            22 x 22 (76 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            87 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            295 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,,"adidas P800 
                        ",6615,7938,adidas P800,,,,,
adidas adiPower,[RK105411],"

    
        
            
            Specifications:
            
            
            adidas P800
            
        
        
            
            Stiffness
            
            
            Medium
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon 
            X-TRA Titanium
            22 x 22 (76 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            87 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            295 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,,"adidas P800 
                        ",6615,7938,adidas P800,,,,,
Feather,[301557],"

    
        
            
            Specifications:
            
            
            Forza® Shuttlecock S-3000
            
        
        
            
            Grade
            
            
            Club Games &amp; Training
            
        
        
            
            Material
            
            
            First Grade White Duck Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
            
            N/A
            
        
        
            
            MOQ
            
            
            6 Tubes
            
        
    

",,,"105.00
                        ",6615,7938,Forza S-3000 (6 tubes),,,,,
adidas adiPower,[RK107401],"

    
        
            
            Specifications:
            
            
            adidas P550
            
        
        
            
            Stiffness
            
            
            Flexible
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Power Carbon Fibre
            Aero Power Frame
            22 x 21 (72 holes)
            
        
        
            
            Shaft
            
            
            Power Carbon
            Straight Shaft 7.5mm
            
        
        
            
            Weight
            
            
            86 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            288 +/- 3mm (Head Heavy)
            For All-Round Play
            
        
    

",,,"105.00
                        ",6615,7938,adidas P550,,,http://www.mybadmintonstore.com/shop/images/Adidas_P550R40.jpg,http://www.mybadmintonstore.com/shop/images/Adidas_P550R40.jpg,
adidas adiPower,[RK107401],"

    
        
            
            Specifications:
            
            
            adidas P550
            
        
        
            
            Stiffness
            
            
            Flexible
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Power Carbon Fibre
            Aero Power Frame
            22 x 21 (72 holes)
            
        
        
            
            Shaft
            
            
            Power Carbon
            Straight Shaft 7.5mm
            
        
        
            
            Weight
            
            
            86 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            288 +/- 3mm (Head Heavy)
            For All-Round Play
            
        
    

",,,"105.00
                        ",6615,7938,adidas P550,,,http://www.mybadmintonstore.com/shop/images/Adidas_P550R40.jpg,http://www.mybadmintonstore.com/shop/images/Adidas_P550R40.jpg,
Feather,,"

    
        
            
            Specifications:
            
            
            Hi-Qua Shuttlecock GOLD
            
        
        
            
            Grade
            
            
            Club &amp; Tournament
            
        
        
            
            Material
            
            
            Selected Premium Grade White Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
            
            N/A
            
        
        
            
            MOQ
            
            
            6 Tubes
            
        
    

",,,"108.00
                        ",6804,8164.8,Hi-Qua GOLD (6 tubes),,,,,
Shoes,[SHB-F1N LX],"

    
        
            
            Specifications:
            
            
            Yonex® Power Cushion F1N Ladies Badminton Shoes
            
        
        
            
            Material
            
            
            PU Leather / Polyester Mesh
            
        
        
            
            Sole
            
            
            Solid EVA
            Power Cushion
            Hyper msLite
            PU Gum (Non-marking) Outersole
            3D Graphite Sheet
            
        
        
            
            Sizes
            
            
            23.5 - 25.5cm (subject to availability)
            
        
        
            
            Color
            
            
            White / Pink
            
        
    

",,,"109.00
                        ",6867,8240.4,Yonex SHB-F1N LX,,,"http://www.mybadmintonstore.com/shop/images/YonexSHBF1NLX1.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBF1NLX2.jpg","http://www.mybadmintonstore.com/shop/images/YonexSHBF1NLX1.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBF1NLX2.jpg",
Shoes,[SHB-F1N MX],"

    
        
            
            Specifications:
            
            
            Yonex® Power Cushion F1N Men Badminton Shoes
            
        
        
            
            Material
            
            
            PU Leather / Polyester Mesh
            
        
        
            
            Sole
            
            
            Solid EVA
            Power Cushion
            Hyper msLite
            PU Gum (Non-marking) Outersole
            3D Graphite Sheet
            
        
        
            
            Sizes
            
            
            26 - 29cm (subject to availability)
            
        
        
            
            Color
            
            
            White / Emerald
            
        
    

",,,"109.00
                        ",6867,8240.4,Yonex SHB-F1N MX,,,"http://www.mybadmintonstore.com/shop/images/YonexSHBF1NMX.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBF1NMX1.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBF1NMX2.jpg","http://www.mybadmintonstore.com/shop/images/YonexSHBF1NMX.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBF1NMX1.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBF1NMX2.jpg",
Strings,[BS325-2],"

    
        
            
            Specifications:
            
            
            Gosen® PRO 70
            Badminton String
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            White, Yellow
            
        
        
            
            Material
            
            
            BS325 Synthetic String
            0.70mm / 21 gauge
            
        
    

",,,"110.00
                        ",6930,8316,Gosen PRO 70 (200m) (two reels),,,,,
Shoes,[Power Cushion SC6EX],"

    
        
            
            Specifications:
            
            
            Yonex® Power Cushion SC6EX
            Badminton Shoes
            
        
        
            
            Material
            
            
            PU Leather / Double Russell Mesh
            Tough Guard III
            
        
        
            
            Sole
            
            
            Power Cushion T.P.U. Insole
            ToughBrid Light Midsole
            PU Gum (Non-marking) Outersole
            Power Graphite Sheet
            
        
        
            
            Sizes
            
            
            24 - 30 (subject to availability)
            
        
        
            
            Color
            
            
            White / Ocean Blue
            
        
    

",,,"112.00
                        ",7056,8467.2,Yonex SHB-SC6EX,,,"http://www.mybadmintonstore.com/shop/images/YonexSHBSC6EXa.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBSC6EXb.jpg","http://www.mybadmintonstore.com/shop/images/YonexSHBSC6EXa.jpg,http://www.mybadmintonstore.com/shop/images/YonexSHBSC6EXb.jpg",
Strings,[BG-68T-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® BG-68T-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 68 Synthetic String
            0.68mm / 22 gauge
            
        
    

",,,"112.00
                        ",7056,8467.2,Yonex BG-68Ti EX (200m) (each),,,,http://www.mybadmintonstore.com/shop/images/YonexBG68Ti200m.jpg,
Strings,[BG-66UM JP],,,,"115.00
                        ",7245,8694,Yonex BG-66 Ultimax JP (box of 10),,,,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/BG66UM.jpg,
Strings,[BG-80P JP],,,,"115.00
                        ",7245,8694,Yonex BG-80 Power JP (box of 10),,,,,
Strings,[NBG-99 JP],,,,"115.00
                        ",7245,8694,Yonex Nanogy NBG-99 JP (box of 10),,,http://www.mybadmintonstore.com/shop/images/YonexNBG99JP.jpg,http://www.mybadmintonstore.com/shop/images/YonexNBG99JP.jpg,
Strings,[BG-80-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® BG-80
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 68 Synthetic String
            0.68mm / 22 gauge
            
        
    

,,",,,"Yonex BG-80 EX (200m) (each) 
                        ",7497,8996.4,Yonex BG-80 EX (200m) (each),,images/YYBG80200.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYBG80200.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYBG80200.jpg,
Strings,[BG-66UM-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® BG-66UM-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 65 Synthetic String
            0.65mm / 22 gauge
            
        
    

",,,"Yonex BG-66 Ultimax EX (200m) (each) 
                        ",7497,8996.4,Yonex BG-66 Ultimax EX (200m) (each),,,,http://www.mybadmintonstore.com/shop/images/YYBG66UM200.jpg,
Strings,[NBG-95-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® NBG-95-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 95 Synthetic String
            0.69mm / 22 gauge
            
        
    

",,,"Yonex Nanogy NBG-95 EX (200m) (each) 
                        ",7875,9450,Yonex Nanogy NBG-95 EX (200m) (each),,,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYNBG95200.jpg,http://www.mybadmintonstore.comhttp://www.mybadmintonstore.com/shop/images/YYNBG95200.jpg,
Feather,[HQ BLUE],"

    
        
            
            Specifications:
            
            
            Hi-Qua® Shuttlecock BLUE
            
        
        
            
            Grade
            
            
            National Tournament
            
        
        
            
            Material
            
            
            Premium Grade White Goose Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
             
        
        
            
            MOQ
            
            
            6 TubesOQ
            
        
    

",,,"128.00
                        ",8064,9676.8,Hi-Qua BLUE (6 tubes),,,,,
Strings,[NBG-98-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex Nanogy NBG-98 (200m)
            Badminton String
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Carbon Nanofiber String
            0.66mm / 22 gauge
            
        
    

",,,"Yonex Nanogy NBG-98 EX (200m) (each) 
                        ",8127,9752.4,Yonex Nanogy NBG-98 EX (200m) (each),,,,http://www.mybadmintonstore.com/shop/images/YonexNBG98EX200m.JPG,
Feather,[HQ ORANGE],"

    
        
            
            Specifications:
            
            
            Hi-Qua® Shuttlecock ORANGE
            
        
        
            
            Grade
            
            
            Team Training &amp; General Purpose
            
        
        
            
            Material
            
            
            Standard Grade White Feather
            
        
        
            
            Packing
            
            
            12 Shuttles / Tube, 50 Tubes / Carton
            Aluminium Foil Inlay For Humidity Retention
            
        
        
            
            Endorsement
            
            
             
            
        
        
            
            MOQ
            
            
            10 Tubes
            
        
    

",,,"129.00
                        ",8127,9752.4,Hi-Qua ORANGE (10 tubes),,,,,
Strings,[BG-80P-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex® BG-80P-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 68 Synthetic String
            0.68mm / 22 gauge
            
        
    

",,,"129.00
                        ",8127,9752.4,Yonex BG-80 Power EX (200m) (each),,,,http://www.mybadmintonstore.com/shop/images/YonexBG80Power200m.jpg,
Strings,[NBG-99-2 Export],"

    
        
            
            Specifications:
            
            
            Yonex Nanogy NBG-99 (200m)
            Badminton String
            
        
        
            
            Packing
            
            
            200m reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Multifilament Synthetic String
            0.69mm / 22 gauge
            
        
    

",,,"Yonex Nanogy NBG-99 EX (200m) (each) 
                        ",8316,9979.2,Yonex Nanogy NBG-99 EX (200m) (each),,,,http://www.mybadmintonstore.com/shop/images/YonexNBG99EX200mR.jpg,
