productname,Description,Variant,MRP,imgurl1,,,,,,,,,,,,
Finis Dart Goggles,"


Details

The Dart Goggles are the classic racing goggles designed for competitive swimmers. The low profile lenses sit comfortably around the eye and the traditional hard frame design gives swimmers a leak proof seal. The Dart Goggles come with a nose piece and string that are used for a personalized fit.

",DART Blue ;DART Smoke ,S$16.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/a/dart-goggles-smoke-studio-lr.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/a/dart-goggles-blue-studio-lr.jpg,,,,,,,,,,,
Performance Backpack,"


Details

Ideal for swimmers and triathletes alike, the Performance Back Pack hasenough room for towels, fins, paddles, gear and more.The bag comeswith a detachable compartment for wet items, keeping electronics andclothing separate and dry. Made with strong fabric, zippers and buckles,the Performance Back Pack is durable and comfortable with paddedshoulder straps and back supports.

",,S$99.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/e/performance_backpack-hero-rt.jpg,,,,,,,,,,,,
Speedo Vanquisher Goggle,"


Details

Aggressive styling and a sleek, streamlined design make the Vanquisher a great choice for training and competition.
 
• Double silicone headstrap. • Back buckle distributes pressure evenly for a comfortable fit.• Hypoallergenic, soft silicone seals. • 3 interchangeable nose pieces. • UV Protection and Anti-Fog.• 100% PVC free.

",Black/sliver ;Sliver/pink ;Blue/blue ,S$25.89,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/1642-2.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/1642-208.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/1642-213.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/1642-207.jpg,,,,,,,,,
iHealth Wireless Activity and Sleep Tracker (AM3),"


Details

WIRELESS ACTIVITY AND SLEEP TRACKER (AM3)
The iHealth Wireless Activity and Sleep Tracker is a device that tracks your daily activity and sleep. It uses Bluetooth 4.0 with low energy techonology and is sweat, rain and splash proof. Each Tracker comes with two color options for wristbands and waist clips. This Tracker, along with the free iHealth MyVitals app, can keep you motivated and help you stay on track to a more active and healthier lifestyle.
Features:


Measure steps taken, calories burned, distance traveled, sleep hours and sleep efficiency
Set goals and silent alarms that vibrate, view trends, and organize records
Share your results instantly with friends and family
Keep track of physical activities and daily diet as part of your overall health

Specs:
Product name: Wireless Activity and Sleep Tracker Product code: AM3 Wireless communication: Bluetooth 4.0 BLE Device compatibility: iPhone 4S+, iPad 3+, iPad Mini, iPod touch 5th generation+ Storage condition: -4°F - 131°F (-20°C - 55°C) Humidity: &lt;95% Operating condition: 32 F -113F (0°C- 45°C) Power:DC5.0V140mA,Battery:1*3.7V Li-ion 165mAh Operating temperature: 0°C~40°C Operating humidity:≤85% Storage and transport temperature: -20°C~55°C Storage and transport Humidity: ≤95%
FAQ:
What is the iHealth Activity and Sleep Tracker? The iHealth Activity and Sleep Tracker tracks every step you take, distance traveled, calories burned, and sleep efficiency. Its silent alarm feature wakes you up gently without disturbing the person next to you, and the smart alarm feature helps you remember to be more active. A playful Activity Level feature motivates you to be more active for different levels of steps achieved. It connects with an iOS device via Bluetooth 4.0.What iOS devices are iHealth Wireless Activity &amp; Sleep Tracker compatible? iPhone 4S + iPad 3+, iPad Mini iPod touch 5th generation +How does the iHealth Tracker work? The iHealth Activity and Sleep Tracker is optimized for walking, running, and everyday lifestyle activities. It gives you an idea of how active you are, in general, by tracking total activity throughout the day and calories burned from your activities. It also tracks your sleep patterns and helps you get a closer look at your sleep efficiency over time. The Tracker works with the free iHealth MyVitals app, which has personalized health tools to help you get the most out of your data and better manage your health goals. The iHealth Tracker uses a 3-axis accelerometer that detects your motion patterns in three dimensions and converts that information to your steps taken, calories burned, distance travelled, and sleep efficiency.How long does the battery last on a full charge? The iHealth Activity and Sleep Tracker is powered by a rechargeable built-in battery. The battery typically lasts at 5-7 days between charges. If you check stats frequently or set up multiple alarms, you may need to charge battery more often.What information does the iHealth Activity and Sleep Tracker display? The iHealth Activity and Sleep Tracker shows time of day, number of steps taken, distance traveled, calories burned, and daily activity level. Press the button to switch between each view.How should I wear my iHealth Activity and Sleep Tracker? The Tracker can be worn one of two ways: on your wrist, or on your waist with the clip provided. When wearing on your waist, always use the clip provided, as the clip will trigger the Tracker to switch from “wrist tracking” to “waist tracking,” for maximum tracking accuracy.How accurate is the iHealth Activity and Sleep Tracker? When worn as recommended, the iHealth Tracker has a 95-97% accuracy rate for step counting.What materials are used in the manufacture of the iHealth Activity and Sleep Tracker? The wristband accompanying the iHealth Tracker is made of hypoallergenic TPU rubber, which is latex- and PVC-free and is safe to use next to your skin.Is the iHealth Activity and Sleep Tracker waterproof? The Tracker is rain, splash and sweat proof. However, it is not waterproof and should not be worn while swimming or showering.


",,S$129.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/pro81_4_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/pro81_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/pro81_2_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/pro81_5_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/pro81_3_1.jpg,,,,,,,,
Freestyle Hand Paddle,"


Details

Freestyler Hand PaddleThe Freestyler Paddle is a patented hand paddle designed to improve technique specifically for the freestyle stroke. Unlike previous generations of hand paddles, the Freestyler is not designed for resistance and strength training, but applies a hydrodynamic shape to decrease resistance through the water, thereby improving reach and distance per stroke.The Freestyler's unique shape and 'skeg' design forces streamlined hand entry which lengthens each arm stroke. A longer stroke creates a better pull through, a better hip-rotation, and ultimately increases performance. Features &amp; Benefits Small, Streamlined Shape: Decreases resistance through the water in order to improve reach and distance-per-stroke. Patented 'Skeg' Along Underneath of Paddle: Creates a gliding effect in the front of each Freestyle pull, which in turn elongates the entire stroke cycle. Cut out Wrist Shape: Helps eliminate stress on shoulders and prevent injuries. Flexible Rubber Tubing: Straps to fingers to lock paddle in place. Product Video

",Junior ;Senior ,S$32.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_41_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/r/freestylerpaddles-jr-hero-lr_1.jpg,,,,,,,,,,,
Skin Socks,"


Details

Skin SocksNylon/Lycra socks prevent blisters and chafing from fin use Sizes: S (size 2-5), M (size 6-9), L (size 10-14) 

",Black/L ;Black/M ;Black/S ;Royal/L ;Royal/M ;Royal/S ,S$19.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_7_21_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_30_1.jpg,,,,,,,,,,,
Shooter Monofin,"


Details

Shooter Monofin Simulates race pace kick tempo and develops core and leg strength. For ages 12 and older. Monofin Sizing 20"" x 18"" Fiberglass Blade Product Video 

",L ;M ;XL ;XXL ,S$223.36,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_7_22_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_8_15_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_32_1.jpg,,,,,,,,,,
Forearm Fulcrum,"


Details

Forearm FulcrumThe Forearm Fulcrum improves the efficiency of a swimmer's stroke by holding the wrist, elbow and shoulder at the optimal swimming position. The unique design forces the swimmer to focus on their technique development as it locks the wrist and forearm in place.The Forearm Fulcrum has two closed sections - one that fits around the forearm and a second the slips on the hand. While training with the device the swimmer will instantly begin learning the correct 'muscle memory' for each stroke. The Forearm Fulcrum can be used by swimmers of all levels. A Junior size for smaller arms or children 12-years-old and younger is also available. Features &amp; Benefits Patented Figure-Eight Design: Holds forearm in place in order to create the proper wrist-elbow angle for swimming. Applicable to all four competitive strokes. Open Loop Sections: Allows the swimmer to still 'feel' the water against the palm and forearm. Helps the swimmer learn correct 'muscle-memory' during their stroke. Rubber Padding: Provides soft cushion for the hand and forearm to rest against. Product Video

",Junior ;Senior ,S$39.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/_/b/_bzj_dy_bwk_kgrhqv_juew44lnq9gbmuws-bh1q__35.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/o/forearmfulcrums-hero-yellow-l.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/1305732238-37878900.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/finis-forearm-fulcrum-17518-401z.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/o/forearmfulcrum-uw-usage-hr.jpg,,,,,,,,
Zoomers Red,"


Details

About Zoomers:Zoomers are a unique swim fin that utilize patented short-fin technology to promote a shorter, faster kick. They are designed to provide the ideal amount of propulsion for perfecting the swimming kick and stroke, allowing for better form over longer periods of time. Because they have a smaller blade than traditional fins, Zoomers make the legs work harder without overloading the muscles. They help you avoid burnout and sustain an optimum workout level over a longer period. Zoomers fins allow you to practice swimming at or above race-level speeds without being rested or shaved. For each speed in the water, there is a size of the kick that works best. The kick creates propulsion that moves you forward, but each time the legs separate in the flutter kick, they create drag which slows you down. At higher speeds, the drag created can potentially cancel out the extra effort put in. A smaller kick creates less drag, but also less propulsion. Zoomers are designed to help practice and perfect this smaller kick by providing just enough extra propulsion while avoiding additional drag. Red vs. Blue Zoomers: Zoomers come in two models. Red for advanced competitive swimmers with a developed, strong kick, and blue for swimmers who are looking for a strength-training workout. Features &amp; Benefits   To get a great workout, you must exercise a large percentage of the body's muscle mass at a reasonably high level of intensity for a long period of time or over a long distance. Due to the nature of swimming, swimmers often fall below this optimum level of workout, usually due to the difficulty in sustaining an efficient kick. Zoomers make the legs work harder, but the smaller blade will not overload leg muscles, therefore a high level of intensity can be maintained for a longer period of time. The additional propulsion allows the arms to cycle faster, providing the opportunity to breathe more and increase the oxygen intake needed to sustain the effort of the leg muscles. We do not race at slow speeds, yet most workouts are done at sub-race speeds. Therefore, we spend much of our time practicing techniques for slower swimming - a different size kick, speed, arm turnover rate, body planing position and arm entry angle. Zoomers make it possible to practice correct race pace techniques for extended periods of time. With Zoomers you can train at or above race speeds, resulting in improvements to high-speed neuromuscular coordination and a reduction in the upper-body stress associated with sprint training. The core of your workout is improved, allowing you to become a better swimmer with a stronger, faster kick. Product Video 

",C ;D ;E ;F ;G ;H ,S$75.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_27_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_7_18_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_9_6_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_8_12_1.jpg,,,,,,,,,
Floating Fins,"


Details

Long Floating Fins* These long-blade fins are highly recommended for training in order to swim at swifter speeds and increase leg strength. * Each fin floats in both fresh and salt water. * Closed heel provides extra support and easy on and off. * Color-coded by size. * Range in shoe sizes US: Jr. 8 - Adult 14, Euro: 26-47 

",JR 8-11 ;JR 11-1 +S$1.99;1-3 +S$5.00;3-5 +S$7.99;5-7 +S$11.00;7-9 +S$14.00;9-11 +S$18.00;11-13 +S$22.00;13-14 +S$25.00,S$34.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_29_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/l/floating_fin_sizing_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_9_8_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_7_20_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_10_5_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_8_14_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_12_3_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_15_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_13_2_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_14_2_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_11_4_1.jpg,,
