productname,Description,Variant,MRP,imgurl1,,,,,,,,,,,,
Stationary Cords Hip Belt ,"


Details

Stationary Cords Hip Belt
TheStationary Cords Hip Belt is made with durable rubber tubing and acomfortable, adjustable nylon belt. The belt secures to a swimmer'swaist while the tubing extends to an anchor point in the pool such as adiving block or ladder. The Stationary Cords Hip Belt creates astationary position, where the swimmer can develop endurance and work onstroke technique. The configuration can be used with any swim stroke,and serves as a great way for coaches to observe swimmers from the pooldeck. The portability of the Stationary Cords Hip Belt gives swimmers anopportunity to train in various locations, including backyard and hotelpools.

Features and Benefits 

Stationary Swimming: Develop endurance and technique in a controlled environmentPractice Perfect Technique: Test different head, body, and hip positionsCoaches Aid: Allows coaches to observe a swimmer's stroke while they remain stationaryIdeal for Restricted Swimming Space: Perfect in smaller pools including backyard and hotel poolsVersatile: Works with all strokesStrengthen Streamline: Ideal for wall push-off trainingSprint Training: Practice sprints with a quick turnoverAdjustable Nylon Belt: Wide, comfortable belt is one-size fits allTwo Resistance Choices: Green Webbing = Medium Red Webbing = Heavy 


",Green Webbing - Medium ;Red Webbing - Heavy ,S$75.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/stationarycords-hipbelt-green-hero-hr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/stationarycords-hipbelt-red-hero-hr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/statnrycords-hipbelt-usage1-ow-hr_1.jpg,,,,,,,,,,
Dryland Cords ,"


Details

Dryland Cords
Resistanceworkouts are a vital aspect of swim training and conditioning. TheDryland Cords are made with durable rubber tubing and comfortablehandles. Attaching to an anchor point, the Dryland Cords allow swimmersto train outside the water and stimulate swimming motions. The cordsisolate important muscles and enhance a swimmer's speed and endurancewhile building strength and a better range of motion. The Dryland Cordsare appropriate for swimmers of all ages and abilities and come in threedifferent resistances. The cords are also a great tool to combat injuryand maintain strength in the off season.

Features and Benefits

Workout Outside the Pool: Simulate swimming motions and isolates vital musclesResistance Training: Build muscle, increase endurance and boost speedFull Body Workout: Train triceps, chest, biceps, shoulders and absRange of Motion: Resistance training increases stroke range Rehabilitation: Easy way to combat injury by building specific muscle strengthHandles: Provide comfort and safetyCompact: Small and lightweight cords travel wellThree Resistance Levels:Yellow Webbing - Light Resistance Green Webbing - Medium Resistance Red Webbing- Heavy Resistance 

",Green Webbing - Meduim Resistance ;Red Webbing - Heavy Resistance ;Yellow Webbing - Light Resistance ,S$59.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/r/drylandcords-green-hero-rt_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/r/drylandcords-yellow-hero-rt_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/r/drylandcords-ow-usage2-rt-hr_1_1.jpg,,,,,,,,,,
Stationary Cords Lane Belt,"


Details

Stationary Cords Lane Belt
TheStationary Cords Lane Belt is made with durable rubber tubing and acomfortable, adjustable nylon belt. The belt secures to a swimmer'swaist while two pieces of tubing connect to each lane line. TheStationary Cords Lane Belt creates a stationary position, where theswimmer can develop endurance and work on stroke technique. Theconfiguration of the cords allows for kick training with nointerference. By clipping the cords to the lane rope, multiple swimmersare able to collectively train in one lane.

Features and Benefits 

Attaches to Lane Lines:Provides swimmers the ability to continually swim in a stationary position
Space Saving:Place multiple swimmers in one lane at one time
Practice Perfect TechniqueTest different head, body, and hip positionsCoaches Aid:Allows coaches to observe a swimmer's stroke while they remain stationaryKick Training: Swimmers can train with a hard kick without any interferenceVersatile: Works with all strokesPerfect Flip Turns: Concentrate on flip turns while building core muscles and knee thrustFaster Flip Turns: Sprint into the wall for faster turnsHip Balance: Great for keeping the hips balanced in breaststroke and butterflyAdjustable Nylon Belt: Wide, comfortable belt is one-size fits all


",,S$79.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/stationarycords-lanebelt-hero-hr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/statnrycords-lanebelt-usage1-uw-hr_1.jpg,,,,,,,,,,,
Junior Swimmer's Snorkel,"


Details

Swimmer's Snorkel JR 
At its most basic level, the Swimmer's Snorkel allows athletes of anyability to swim at normal and much slower speeds with perfect stabilityand a full range of motion. These skills are the most critical aspectfor novice level swimmers to master and for advanced swimmers toperfect.The Swimmer's Snorkel places greater emphasis on proper body alignmentas it is specifically designed to allow athletes to relax in the waterand maintain a completely laid out, horizontal position. Swimming smartallows the athlete to adjust his or her stroke to the maximumefficiency.
Features &amp; Benefits
Patented Center-Mount Design: Creates the perfect training tool to relax and concentrate on stroke technique while swimming. Hydro-dynamic Snorkel Tube: Slips easily through the water to help establish the proper head andbody position. Tube also limits oxygen intake which increases lungcapacity and anaerobic stability. One-Way Purge Valve: Helps expel water from tube if snorkel is submerged. Adjustable Head Bracket: Fits heads of all sizes and allows snorkel to be worn without affecting swim cap or goggles.
Product Video
 

",,S$69.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_36_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_7_26_1_1.jpg,,,,,,,,,,,
Cardio Cap Attachment,"


Details

Cardio Cap

Fits on top of any FINIS snorkel (except the Learn-to-Swim Snorkel) to restrict air flow for increased cardiovascular conditioning

",,S$9.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_37_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_37_1.jpg,,,,,,,,,,,
Replacement Head Bracket - Adult/Jr,"


Details

Replacement Snorkel Head Bracket

For use on any FINIS snorkel, except the Learn-to-Swim Snorkel
A seperate Neoprene headbracket is available for the Learn-to-Swim Snorkel

Features:

* Soft TPR padding and silicone strap
* New streamline design fits more head shapes without any uncomfortable pressure
* Easy to adjust side-clips
* Rubber collar grips tube and prevents wobbles

Add Your Tags:
Add Tags
Use spaces to separate tags. Use single quotes (') for phrases.


",,S$17.76,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_38_1.jpg,,,,,,,,,,,,
Hydrospeed Flux Race John,"


Details

Lightest Hydrodynamic Performance Technology

Ultra-Light Fabric
Made with ultra light weight fabric for minimum resistance
Thin Construction 
Produces a smooth surface that reduces friction
4-Way Stretch Fabric 
Provides perfect compression around the muscles and body
Multiple Sizes 
Available in Sizes 24-36


",24 ;26 ;28 ;30 ;32 ;34 ;36 ,S$369.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/s/hs-flux-shortjohn-hr-2.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/s/hs-flux-shortjohn-bk-hr.jpg,,,,,,,,,,,
Adult Swimmer's Snorkel,"


Details

Adult Swimmer's Snorkel - Blue
At its mostbasic level, the Swimmer's Snorkel allows athletes of any ability toswim at normal and much slower speeds with perfect stability and a fullrange of motion. These skills are the most critical aspect for novicelevel swimmers to master and for advanced swimmers to perfect.The Swimmer's Snorkel places greater emphasis on proper body alignmentas it is specifically designed to allow athletes to relax in the waterand maintain a completely laid out, horizontal position. Swimming smartallows the athlete to adjust his or her stroke to the maximumefficiency.
Features &amp; Benefits
Patented Center-Mount Design: Creates the perfect training tool to relax and concentrate on stroke technique while swimming. Hydro-dynamic Snorkel Tube: Slips easily through the water to help establish the proper head andbody position. Tube also limits oxygen intake which increases lungcapacity and anaerobic stability. One-Way Purge Valve: Helps expel water from tube if snorkel is submerged. Adjustable Head Bracket: Fits heads of all sizes and allows snorkel to be worn without affecting swim cap or goggles.
Product Video
 
",Pink ;Yellow ,S$69.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swimmerssnorkel-usage-uw-blue-hr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swimmerssnorkel-hero-yellow-hr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swimmersnorkel-thundergoggle-uw-usage-yellow-hr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/a/sabir-swimsnorkel-usage-uw-blue-hr_1.jpg,,,,,,,,,
Replacement Purge Valve - Adult/Jr,"


Details

Replacement Purge Valve - Swimmer's Snorkel

For use on Swimmer's Snorkel only
Do not use on the Learn-to-Swim or Freestyle Snorkel
A seperate purge valve is available for the Learn-to-Swim Snorkel

",,S$9.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_29_2.jpg,,,,,,,,,,,,
Hydrospeed Velo Race John,"


Details

Fastest Smart Compression Racing Technology

Minimal Permeability 
Permeability value is at the legal limit
Blended Materials 
Superior friction reduction limiting resistance on the body
Panel Construction 
Allowing compression and freedom where you need it most
Calendared 
Technical heating process to produce an ultra smooth and lightweight surface


",24 ;26 ;28 ;30 ;32 ;34 ;36 ,S$488.99,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_68_16_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_69_11_1.jpg,,,,,,,,,,,
Hydrospeed Velo Jammer,"


Details


Hydrospeed Velo Male Jammer

Fastest Smart Compression Racing Technology

Minimal Permeability
Permeability value is at the legal limit

Blended Materials
Superior friction reduction limiting resistance on the body

Panel Construction
Allowing compression and freedom where you need it most

Calendared
Technical heating process to produce an ultra smooth and lightweight surface



",24 ;26 ;28 ;30 ;32 ;34 ;36 ,S$299.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_68_13_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_69_8_1.jpg,,,,,,,,,,,
Foil Monofin,"


Details


Learn to Dolphin kick with the Foil Body Motion


Single Blade Design 
Promotes the development of the undulating Foil Body Motion and propulsive dolphin kick
Technique Channels 
Controls the flex of the fin and encourages correct foil movement
Zoomers® Technology
Developed using Zoomers® design principles and materials
Large Surface Area
Works core and leg muscles more than standard fins
Open Toe and Heel Design
Fits a wide range of foot sizes, allows for a secure fit
Portable, Lightweight Construction
Comfortable to wear for all ages and abilities
Rubber Blade
Allows multiple swimmers to safely swim in a single lane


Training Tips
While both variables, distance per kick and tempo (speed of movement), must be emphasized from the start in skill development and training, a bias should be directed to more emphasis upon distance per kick.
It is important to incorporate the use of the core body strength into power development in the kicking motion. Keeping the body too rigid, with the kick inside the body alignment, will result in diminished distance per kick. Let the hand, arms and body go for bigger range of motion and more distance per kick. Use exaggerated
movements in your training.
Measure you distance per kick by counting kicks over a given distance. Measure tempo by timing a specific number of kick, and determine seconds per kick (example: .45 seconds per kick)
You can also learn and practice kicking on your side (Fish Kicking), rather than on your front (Dolphin Kicking)
Product Video


",L (US 10 - 12) ;M (US 8 - 10) ;S (US 5 - 8) ;XL (US 12 - 14) ;XS (US 3 - 5) ,S$129.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/p/fpo-foil_monofin-hero-hr.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/o/foilmonofin-uw-usage1-hr.jpg,,,,,,,,,,,
Dry Top Attachment,"


Details

Snorkel Dry-Top - For Swimmer's Snorkel

Patented design helps keep your snorkel free of water.

* When submerging under the water, a small buoy inside the Dry-Top rises, effectively sealing the tube.
* Water is then prevented from entering, keeping your snorkel completely dry!
* When you surface, the buoy drops, opening the air passage for maximum airflow.


* For use on FINIS Swimmer's Snorkels only.
* Not compatible with the ""Freestyle Snorkel"" or ""Learn-to-Swim Snorkel"".

Note that using the Snorkel Dry Top will slightly restrict air-flow into the tube. The Dry-Top attachment is recommended for experienced users.
Add Your Tags:
Add Tags
Use spaces to separate tags. Use single quotes (') for phrases.


",,S$25.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_39_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_39_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_7_27_1.jpg,,,,,,,,,,
Hydrospeed Flux Jammer,"


Details


Hydrospeed Flux Male Jammer

Lightest Hydrodynamic Performance Technology

Ultra-Light Fabric
Made with ultra light weight fabric for minimum resistance

Thin Construction
Produces a smooth surface that reduces friction

4-Way Stretch Fabric
Provides perfect compression around the muscles and body

Multiple Sizes
Available in Sizes 24-36



",24 ;26 ;28 ;30 ;32 ;34 ;36 ,S$219.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/s/hs-flux-jammer-hr-2.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/s/hs-flux-jammer-bk-hr.jpg,,,,,,,,,,,
Pool-Mate Pro,"


Details

The watch contains motion sensors to automatically monitor the motion of your arm when swimming so you don’t have to worry about counting laps yourself and can concentrate on your technique or just relax and swim. The Pro package includes a download pod that plugs into your USB port and cable. The watch will simply and automatically transfer the data via Infrared link to the pod and your PC. In addition to the statistics for the overall session it will record the same data for each individual set so you can see how all these metrics change through a swim session. You can even time your rest periods between sets. All data is stored in a large memory in the watch for review during or after a swim session (over 100 LOGS can be stored before download). The included software is simple and intuitive to use and has multiple language support. Key software features Download data from the Pool-Mate watch or add swims manually. Grade your swim- Great, good, ok or bad! Add notes or edit data Select any session and examine in detail including individual sets within the swim Graphical analysis of your stroke count, times, speed etc  see how they have changed over time. See how far you have swum this week or year. Multiple swimmer support See how many cup cakes you have burnt off in your swim! View your fastest times, best stroke count etc. at a glance. Multiple language support Save as .csv file The watch is Water Resistant to 50 metres, works with all the major strokes, any length of pool over 18 metres whether yards or metres and doesn’t require any calibration.As well as full digital watch functions including 12 or 24 hour format, alarm and backlight. It also has a useful Chrono mode so you can time your running, cycling, openwater swims or triathlons. 

",,"
                    S$309.23                ",http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/_/p/_poolmate-white_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc_0032_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc_0040_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/u/cutout_1.jpg,,,,,,,,,
Swimsense Watch,"


Details

The Swimsense™ (Powered by SportSense™) is a groundbreaking training tool, which captures critical performance data. The monitor straps onto the wrist like a watch and uses accelerometers, magnetometers and patent-pending proprietary algorithms to identify your swim. Analyze your performance on the device with pace times, distance (meters/yards/laps), stroke count, stroke rate, distance-per-stroke and calories burned across all four major strokes. Performance data can then be uploaded to the FINIS® Swimsense™ training log for additional analysis and historical review. The Swimsense™ performance monitor provides a revolutionary degree of information, which is key to tracking and improving your swim performance.
Set goals and create workout plans on the Swimsense Online Training Log and sync the Swimsense Performance Monitor with the log to see your training progress. Swimsense automatically recognizes all four stroke types so triathletes, competitive swimmers and serious athletes can drill-down to see in-depth performance data.

Swimsense Performance Monitor Features and Benefits

Motion SensorsAutomatically capture your swim workout as soon as you hit the start button. View current swim workout data and review prior workouts
Automatic Stroke Type RecognitionDistinguishes between backstroke, breaststroke, butterfly and freestyle
Rechargeable Lithium-Ion Battery
Analyze WorkoutsReview distance, splits, laps, pace times, stroke count, stroke rate, distance-per-stroke and calories burned
Swimsense Training LogReview swim workout data: laps, times, total distance, pace, stroke count, stroke rate, distance-per-stroke, calories, SWOLF efficiency score in all four strokes. Plan a workout, set goals and track your progress
Swimsense DockSync your Swimsense with the training log and charge its battery
Custom SettingsSet unique pool sizes, meters, yards, gender and weight
Fully UpdateableDownload additional apps instantly


Swimsense Online Training Log Features and Benefits

Analyze Your Swim Track laps, lap time, total distance swum, pace, stroke count, calories and SWOLF efficiency score, workout timelines and goals in all four stroke types; view workouts over time to track progress
Visual Dashboard View a snapshot of your workout with the ability to dynamically drill down into the details
Save Workout History Sync workouts to track history for as long as you maintain your subscription 
Set and Track GoalsCreate goals and see visual a representations of your progress; construct a plan to achieve your goals
Workout Calendar View workouts by day, week or month
Search Function Find a workout by date range, distance, calories and more





",,S$229.00,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/finis-swimsenselog_hero-detail-hr_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/finis-swimsenselog_hero-dash-hr_1_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_68_17_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swimsense-usage1-ow-free-hr_1_1.jpg,,,,,,,,,
Swimformation Book and Poster,"


Details

Swimformation Book &amp; Poster
Leading swimming expert, Clive Rushton has coached and developed more than 75 international and world-ranked swimmers. He has now poured his swimming knowledge and expertise into ""Swimformation"" a complete swim training book. ""Swimformation"" includes an ultimate cheat sheet which highlights key principals on one piece of paper as a pool resource for swimmers and coaches. With a scientific approach to swimming, ""Swimformation"" includes training principals and tips including stroke rate, intensity zones, aerobic power and more.
Features &amp; Benefits

Biomechanics
Scientific approach to swimming which includes training principals based on algorithms and the science of exercise
 
Ultimate Cheat Sheet
Includes poster that outlines important information as a reference to swimmers and coaches
 
Training Resource
Book is complete with swimming theories and tips including stroke rate, anaerobic threshold, intensity zones, aerobic power and more
 
Swimming Aid
Offers best coaching principals and individual training tips


",,S$73.83,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/105092_1.jpg,,,,,,,,,,,,
Turnmaster Pro,"


Details

A state of the art portable bulkhead made using aerospace technology for lightness, durability and stiffness that allows you to optimize your pool space to any configuration. Practice turns, teach lessons, etc.
Coaches can now add a divider in the middle of each lane, adding 2 additional walls per lane.  Up to 50% of short course race success can be contributed to underwater swimming. Drastically increasing practice space and underwater drills will make a significant difference in overall race performance.
Made of Vinyl Ester Chlorine Resistant Fiberglass the Turnmaster Pro can withstand race speed turns and is resistant to chlorine damage. Wheels are built into the bottom for easy maneuvering on land; one person can easily load the Turnmaster Pro in a car and wheel it to the pool by themselves. Once in the pool two swimmers can easily attach the Turnmaster Pro to lane lines in less than 5 minutes.
Invented by Bill Kirby, gold medalist at the 2000 Summer Olympics in Sydney as part of the 4×200m freestyle relay team, he realized the importance of underwater training “It is physics, the faster you throw a ball against a wall, the faster it will bounce off. It is the same idea with turns, the faster you come into the wall the faster you can come off of it. The Turnmaster Pro allows more swimmers to practice their turns, being a fiberglass wall also makes it less intimidating for younger swimmers to approach at full race speed. During a race your two fastest places are coming off the blocks and coming off the wall. Practicing all aspects of the flip turn including the approach, the turn and a tight streamline off the wall all play a key role in success during competitions. “
Product Video




Installation Video




 
 

",2.05m ;2.20m +S$117.70;2.30m +S$224.70;2.50m +S$332.77,"S$2,888.00",http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/u/turnmaster-acc-hero2-rt-hr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/u/turnmasterpro-ow-usage-rt-hr_1.jpg,,,,,,,,,,,
Speedo Speedsocket Mirror ,"


Details

Adult Speedsocket Mirror racing goggle. A low profile goggle with adjustable nose bridge, as worn by Michael Phelps. The low profile anti-fog lenses with UV protection reduces drag without compromising vision, the mirror finish helps to reduce brightness and glare. The double silicone head strap featuring the Speedo logo provides a secure fit. The Speedosocket Mirror Goggle is also an excellent choice for Triathlon events.

",Black ;Silver ,S$56.89,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/speedsocketmirror-8-705893515_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/speedsocketmirror-8-705893517_1.jpg,,,,,,,,,,,
Speedo Aquasocket Mirror,"


Details

Adult Aquasocket Mirror racing goggle. A goggle in a hydrodynamic design with interchangeable nose bridges for a personalised fit. The duel shot injection construction provides leak protection and the patented flexible frame with double silicone head strap allows the goggle to wrap around the swimmers head for hydrodynamic efficiency and a secure fit. The low profile oval shaped lenses with UV and Antifog protection reduce drag and provide excellent peripheral vision, the mirror finish helps reduce brightness and glare. Also an excellent choice for Triathlon.
Lens Information: 

Amber lenses eliminate blue from the colour spectrum so that everything seems sharp and bright making it ideal for indoor use.
Blue lenses reduce glare from water to provide great visibility in bright light, both indoors and outdoors.
Smoke coloured lenses help reduce the transmission of light to the eye, lowering the overall brightness without excessive colour distortion.
Clear lenses offer protection and clear vision without changing the appearance of colours.

",Black/Blue ;Black/Pink ;Black/Red ;Black/Silver ,S$55.91,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquasocket-8-023063968_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_68_10_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_69_6_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquasocket-8-023064571_1.jpg,,,,,,,,,
Speedo Speedsocket,"


Details

Adult Speedsocket racing goggle. A low profile goggle with adjustable nose bridge, as worn by Michael Phelps. The low profile anti-fog lenses with UV protection reduces drag without compromising vision The double silicone head strap featuring the Speedo logo provides a secure fit.

",Black ;Silver ,S$46.90,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/speedsocket-8-705890002_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/speedsocket-8-705891549_1.jpg,,,,,,,,,,,
Speedo Elite Kick Board,"


Details

New Speedo designed Elite Kickboard. This training aid is engineered for comfort and excellent arm support, benefits include an ergonomic design for optimum position in the water.

",,S$49.90,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/speedo-elite-kickboard-swimming-aid.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/speedo-elite-kickboard.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/-/8-017890004-a.jpg,,,,,,,,,,
Speedo Elite Pullkick,"


Details

New Speedo designed Elite Pullkick. This training aid is engineered for comfort with superior wrist support. Benefits include the space saving design, that doubles as a pullbouy and as a kickboard.

",,S$39.90,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/l/elite_pullkick_foam.jpg,,,,,,,,,,,,
Swim Teaching Platform (STP),"


Details

The Swim Teaching Platform is a standing deck designed for teaching lessons in deeper water. The platform creates a sturdy, non-slip surface above the pool bottom, creating a safe and enjoyable learning experience. Made out of a uniquely molded fiberglass, the Swim Teaching Platform is sturdy and built to withstand chlorine and sun damage. Railings create a safe and clear distinction between teaching areas and can be connected to create larger platforms. The Swim Teaching Platform structure has wheels for easy storage and is light enough to be moved by one person and comes in two sizes: Small and Large.
 
Features and Benefits

·         Molded Fiberglass Standing Deck            
Raised surface above the pool bottom creates a safe and enjoyable learning experience
·         Non-Slip Surface              
Ensures children, parents and teaching staff remain safe, comfortable and confident
·         Fiberglass Structure       
Sturdy and durable, yet light enough for one person to move
·         Removable Railings        
Creates a clear distinction between teaching areas and enables platforms to be stacked for easy storage
·         Interlocking Design        
Join different platforms together for optimized pool space
·         Built in Wheels                
Makes for easy storage
·         Drainage Caps   
Allows water to drain easily out of railings after removed from pool
·         Multiple Sizes   
Available in Small (1.2m x 1.1m) and Large (1.8m x 1.1m)
·         5 Year Warranty (Deck)
Built to withstand chlorine and sun damage
STP 1.2m:

Designed to withstand the weight of 600lbs (270kg)
Recommended for classes with 3 to 4 children per side
1.2m x 1.1m (4'0"" x 3'7"") platform

STP 1.8m:

Designed to withstand the weight of 1,200lbs (545kg)
Recommended for classes with 5 to 6 children per side
1.8m x 1.1m (5'11"" x 3'7"") platform


",1.2m ;1.8m +S$545.70,"S$1,592.16",http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/stp-yellow-studio-lr_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/i/kirbyswim__2_1.jpg,,,,,,,,,,,
Speedo Aquasocket,"


Details

Adult Aquasocket racing goggle. A goggle in a hydrodynamic design with interchangeable nose bridges for a personalised fit. The duel shot injection construction provides leak protection and the patented flexible frame with double silicone head strap allows the goggle to wrap around the swimmers head for hydrodynamic efficiency and a secure fit. The low profile oval shaped lenses with UV and Antifog protection reduce drag and provide excellent peripheral vision.
Lens Information:

Amber lenses eliminate blue from the colour spectrum so that everything seems sharp and bright making it ideal for indoor use.
Blue lenses reduce glare from water to provide great visibility in bright light, both indoors and outdoors.
Smoke coloured lenses help reduce the transmission of light to the eye, lowering the overall brightness without excessive colour distortion.
Clear lenses offer protection and clear vision without changing the appearance of colours.

",Black/Amber ;Black/Smoke ;Blue/Blue ;Lilac/Clear ;Silver/Clear ,S$46.90,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquasocket-8-023054556_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquasocket-8-023053968_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquasocket-8-023054557_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquasocket-8-023050284_1.jpg,http://www.axtrosports.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquasocket-8-023063516_1.jpg,,,,,,,,
