Merchant1,Merchant3,Merchant2,Merchant4,URL,productname,MerchantSKU4,Price3,Price2,Price1,Price4,MerchantSKU1,MerchantSKU3,MerchantSKU2
Amazon.in Marketplace,Amazon.in Marketplace,mySPOGA,,http://www.junglee.com/Lifeline-Manual-Treadmill-Foldable-Fitness/dp/B00E8ATTKK,"Lifeline Manual Treadmill Walk Or Run Foldable Jogger Fitness Loose Weight

",,"8,602","8,602","6,850",,,,
Live Your Sport,Live Your Sport,HealthKart,,http://www.junglee.com/Iso-Solid-T4-Treadmill/dp/B00E91U7Y0,"Iso Solid T4 Treadmill

",,,"29,387","27,399",,,,
Merchant1,Merchant3,Merchant2,Merchant4,URL,productname,MerchantSKU4,Price3,Price2,Price1,Price4,MerchantSKU1,MerchantSKU3,MerchantSKU2
Live Your Sport,,HealthKart,,http://www.junglee.com/Iso-Solid-T4-Treadmill/dp/B00E91U7Y0,"Iso Solid T4 Treadmill

",,,"29,387","27,399",,LYSM115_PWA,,SPT4069-01
Amazon.in Marketplace,Live Your Sport,mySPOGA,,http://www.junglee.com/Lifeline-Manual-Treadmill-Foldable-Fitness/dp/B00E8ATTKK,"Lifeline Manual Treadmill Walk Or Run Foldable Jogger Fitness Loose Weight

",,"8,602","8,602","6,850",,B00E8ATTKK-c2j,LYSN5213_PWA,lifeline-manual-treadmill
