SKU,Description,SP,MRP,productname,productname,Size,imgurl,Stock
296679-P204L-9044,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Asics Lethal-Testimonial IT combines everything a player needs from a boot in terms of protection, speed, comfort and traction. High-performance grip from the sole will allow you to dig you feet in and push harder than ever. Perfect for intermediate turf.</p>

<p>Featuring Kangaroo leather, synthetic leather combination in the upper you gain good amounts of flexibility and durability whilst staying from protected from a competitors exertions.</p>

<p>The Solyte midsole, IT outsole (with moulded studs) provide a solid support and comfort range through your foot and work with the 10mm heel gradient wedge built into the boot works to alleviate stress on the legs, reducing the risk of injury to this highly susceptible area of the body and ensuring maximum protection is given.</p>

<p>Combination lasted sole to shape the forefoot and make it the shoe more lightweight and flexible, while provide stability and durability to the rear of the boot.</p><p>Material</p><ul><li>Leather </li><li>Cushioning Material </li><li>Duomax Support </li><li>Rearfoot Gel </li></ul>						</div>",81,9600,ASICS Lethal Testimonial IT Rugby Men's Rugby Boots,ASICS,"UK6,UK6.5,UK7,UK7.5,UK8,UK8.5,UK9,UK9.5,UK10,UK10.5,UK13,UK14","http://products.activinstinct.com/y2012/m06/296679/96513886-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
431893-P430Y-9030,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field.</p>

<p>The Kangaroo leather and synthetic upper ensures the boots are lightweight and comfortable, while the fold over tongue is secured by the lacing system so the boots are still primed for performance.</p>

<p>Extra support for the heel and ankle comes courtesy of an external PU heel-counter, and in addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs.</p>

<p>The Solyte midsole material consists of a spongy layer between the sole and upper designed to absorb shock and cushion the foot. Solyte is a lighter material than SpEVA or EVA and features enhanced durability.</p>

<p>An internal brace on the lateral side increases lateral support for sudden changes of direction, while asymmetric lacing design reduces potential irritation as well as improved comfort and fit.</p>

<p>Combination lasted sole to shape the forefoot and make it the shoe more lightweight and flexible, while provide stability and durability to the rear of the boot.</p>

<p>The moulded stud configuration makes these boots suitable for firm ground.</p><p>Material</p><ul><li>Rubber </li><li>Leather </li><li>Synthetic Material </li></ul>						</div>",107.99,12299,ASICS Lethal Tigreor 7 K IT Men's Rugby Boot,ASICS,"UK7,UK8,UK9,UK10,UK11,UK12","http://products.activinstinct.com/y2014/m05/431893/99847828-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
431915-P431Y-9030,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field.</p>

<p>The Kangaroo leather and synthetic upper ensures the boots are lightweight and comfortable, while the fold over tongue is secured by the lacing system so the boots are still primed for performance.</p>

<p>Extra support for the heel and ankle comes courtesy of an external PU heel-counter, and in addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs.</p>

<p>The Solyte midsole material consists of a spongy layer between the sole and upper designed to absorb shock and cushion the foot. Solyte is a lighter material than SpEVA or EVA and features enhanced durability.</p>

<p>An internal brace on the lateral side increases lateral support for sudden changes of direction, while asymmetric lacing design reduces potential irritation as well as improved comfort and fit.</p>

<p>Combination lasted sole to shape the forefoot and make it the shoe more lightweight and flexible, while provide stability and durability to the rear of the boot.</p>

<p>The stud configuration makes these boots suitable for soft ground.</p><p>Material</p><ul><li>Leather </li><li>Synthetic Material </li></ul>						</div>",107.99,12299,ASICS Lethal Tigreor 7 K ST Men's Rugby Boot,ASICS,"UK7,UK8,UK9,UK10,UK11,UK12","http://products.activinstinct.com/y2014/m05/431915/75366436-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
431874-P201Y-0190,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field.</p>

<p>Rearfoot GEL provides cushioning in all directions absorbs impact forces and helps to stabilise the foot during heel contact. Solyte Midsole Material is lighter than standard EVA and SpEVA midsoles, and adds enhanced cushioning and durability to these boots.</p>

<p>The Solyte 65 Lasting employs 65 degree Solyte lasting material for a firmer, more stable platform feel. In addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs.</p>

<p>The DuoMax Support System consists of a dual density midsole positioned sport specifically, to enhance support and stability. A combination of PU multifunctional cleat design with traditional screw in studs gives this lightweight boot exceptional grip on the turf.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",94.49,10949,ASICS Gel-Lethal Hybrid 4 Men's Rugby Boot,ASICS,"UK7,UK8,UK9,UK10,UK11,UK12,UK13","http://products.activinstinct.com/y2014/m05/431874/55614034-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
362719-P300Y-9093,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field.</p>

<p>The Kangaroo leather and synthetic upper ensures the boots are lightweight and comfortable, while the fold over tongue is secured by the lacing system so the boots are still primed for performance.</p>

<p>Extra support for the heel and ankle comes courtesy of an external PU heel-counter, and in addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs.</p>

<p>The Solyte midsole material consists of a spongy layer between the sole and upper designed to absorb shock and cushion the foot. Solyte is a lighter material than SpEVA or EVA and features enhanced durability.</p>

<p>An internal brace on the lateral side increases lateral support for sudden changes of direction, while asymmetric lacing design reduces potential irritation as well as improved comfort and fit.</p>

<p>Combination lasted sole to shape the forefoot and make it the shoe more lightweight and flexible, while provide stability and durability to the rear of the boot.</p>

<p>The moulded stud configuration makes these boots suitable for firm ground.</p><p>Material</p><ul><li>Rubber </li><li>Synthetic </li><li>Leather </li></ul>						</div>",69.99,8499,ASICS Lethal Tigreor 6 IT Men's Rugby Boot,ASICS,"UK7,UK8,UK9,UK9.5,UK10,UK10.5","http://products.activinstinct.com/y2013/m06/362719/45292947-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
362701-P302Y-9093,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field.</p>

<p>The Kangaroo leather and synthetic upper ensures the boots are lightweight and comfortable, while the fold over tongue is secured by the lacing system so the boots are still primed for performance.</p>

<p>Extra support for the heel and ankle comes courtesy of an external PU heel-counter, and in addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs.</p>

<p>The Solyte midsole material consists of a spongy layer between the sole and upper designed to absorb shock and cushion the foot. Solyte is a lighter material than SpEVA or EVA and features enhanced durability.</p>

<p>An internal brace on the lateral side increases lateral support for sudden changes of direction, while asymmetric lacing design reduces potential irritation as well as improved comfort and fit.</p>

<p>Combination lasted sole to shape the forefoot and make it the shoe more lightweight and flexible, while provide stability and durability to the rear of the boot.</p>

<p>The stud configuration makes these boots suitable for soft ground.</p><p>Material</p><ul><li>Rubber </li><li>Synthetic </li><li>Leather </li></ul>						</div>",69.99,8499,ASICS Lethal Tigreor 6 ST Men's Rugby Boot,ASICS,"UK7,UK8,UK9,UK9.5,UK10,UK10.5,UK11","http://products.activinstinct.com/y2013/m06/362701/86558994-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
431934-P407Y-0142,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field. This boot has been built based upon ASICS racing shoe last to make it light and flexible.</p>

<p>The 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs, while there is a removable sockliner to provide comfort or be taken out to accommodate a medical orthotic.</p>

<p>The high grade synthetic leather upper is lightweight, comfortable and breathable, enhancing performance and fit.</p>

<p>The stud configuration makes these boots suitable for firm ground.</p><p>Material</p><ul><li>Rubber </li><li>Synthetic Material </li></ul>						</div>",76.49,9149,ASICS Lethal Flash DS 3 IT Men's Rugby Boot,ASICS,"UK8,UK9,UK10,UK11,UK12","http://products.activinstinct.com/y2014/m05/431934/56712591-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
431959-P408Y-0142,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field. This boot has been built based upon ASICS racing shoe last to make it light and flexible.</p>

<p>The 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs, while there is a removable sockliner to provide comfort or be taken out to accommodate a medical orthotic.</p>

<p>The high grade synthetic leather upper is lightweight, comfortable and breathable, enhancing performance and fit.</p>

<p>The stud configuration makes these boots suitable for soft ground.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",76.49,9149,ASICS Lethal Flash DS 3 ST Men's Rugby Boot,ASICS,"UK8,UK9,UK10,UK11,UK12","http://products.activinstinct.com/y2014/m05/431959/30192322-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
431838-P029L-9023,"<div class=""more"" id=""hp_fix_desc"">
							<p>A lightweight shoe for a fast paced game that's just as battle ready as you are. The Asics Lethal Charge incorporates a full grain leather upper that delivers a lethal combination of lightweight comfort, enhancing performance and fit.</p>

<p>The midsole is constructed from a lighter weight compound than Asics standard EVA and SpEVA and also features enhanced cushioning and durability. A removable EVA sockliner can be removed to accommodate a medical orthotic while a subtle 10mm heel gradient shifts body mass forward reducing the strain on the lower limbs.</p>

<p>A lightweight outsole maintains the structural integrity of the shoe.</p><p>Material</p><ul><li>Leather </li></ul>						</div>",76.49,9149,ASICS Lethal Charge Men's Rugby Boots,ASICS,"UK8,UK9,UK10,UK11,UK12,UK13","http://products.activinstinct.com/y2014/m05/431838/35304648-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
431790-P000Y-9030,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field. The Rearfoot GEL Cushioning System attenuates shock during impact phase and allows for a smooth transition to midstance.</p>

<p>In addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs. Solyte Midsole Material is lighter than standard EVA and SpEVA midsoles, and adds enhanced cushioning and durability to these boots.</p>

<p>The Kangaroo Leather Upper ensures the boots are lightweight and comfortable, while the fold over tongue is secured by the lacing system so the boots are still primed for performance.</p><p>Material</p><ul><li>Leather </li></ul>						</div>",98.99,11399,ASICS Lethal Warno ST2 Men's Rugby Boot,ASICS,"UK8,UK9,UK10,UK11,UK12,UK13","http://products.activinstinct.com/y2014/m05/431790/75272819-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
