SKU,Description,SP,MRP,productname,productname,Size,imgurl,Stock
362734-P000Y-9037,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field. The Rearfoot GEL Cushioning System attenuates shock during impact phase and allows for a smooth transition to midstance.</p>

<p>In addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs. Solyte Midsole Material is lighter than standard EVA and SpEVA midsoles, and adds enhanced cushioning and durability to these boots.</p>

<p>The Kangaroo Leather Upper ensures the boots are lightweight and comfortable, while the fold over tongue is secured by the lacing system so the boots are still primed for performance.</p><p>Material</p><ul><li>Rubber </li><li>Synthetic </li><li>Leather </li></ul>						</div>",65,8000,ASICS Lethal Warno 2 Men's Rugby Boot,ASICS,"UK8,UK9,UK9.5,UK10,UK10.5,UK11,UK12,UK13,UK14","http://products.activinstinct.com/y2013/m06/362734/67320465-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
293771-P201Y-0194,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field.</p>

<p>Rearfoot GEL provides cushioning in all directions absorbs impact forces and helps to stabilise the foot during heel contact. Solyte Midsole Material is lighter than standard EVA and SpEVA midsoles, and adds enhanced cushioning and durability to these boots.</p>

<p>The Solyte 65 Lasting employs 65 degree Solyte lasting material for a firmer, more stable platform feel. In addition to this, the 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs.</p>

<p>The DuoMax Support System consists of a dual density midsole positioned sport specifically, to enhance support and stability. A combination of PU multifunctional cleat design with traditional screw in studs gives this lightweight boot exceptional grip on the turf.</p><p>Material</p><ul><li>Gel Cushioning </li><li>Hybrid Outsole </li><li>Solyte Midsole </li></ul>						</div>",54,6900,ASICS Gel-Lethal Hybrid 4 Men's Rugby Boot,ASICS,"UK9.5,UK10,UK10.5,UK11,UK13","http://products.activinstinct.com/y2012/m06/293771/96610285-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
296791-P030Y-9001,"<div class=""more"" id=""hp_fix_desc"">
							<p>A lightweight shoe for a fast paced game that's just as battle ready as you are. The Asics Lethal Drive incorporates a full grain leather upper that delivers a lethal combination of lightweight comfort, enhancing performance and fit.</p>

<p>The midsole is constructed from a lighter weight compound than Asics standard EVA and SpEVA and also features enhanced cushioning and durability. A removable EVA sockliner can be removed to accommodate a medical orthotic while a subtle 10mm heel gradient shifts body mass forward reducing the strain on the lower limbs.</p>

<p>A lightweight outsole maintains the structural integrity of the shoe.</p><p>Material</p><ul><li>Leather Upper </li><li>SpEVA Midsole </li></ul>						</div>",49,6400,ASICS Lethal Drive Men's Rugby Boots,ASICS,,"http://products.activinstinct.com/y2012/m06/296791/26765556-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
372705-E22289989,"<div class=""more"" id=""hp_fix_desc"">
							<p>Get the latest Stampede rugby boot from Canterbury. This striking boot offers an excellent fit that is designed specifically for forwards positions. The 8 stud construction and reinforced zones on the outsole, offers excellent durability, flexibility and stability in the foot. This Canterbury Stampede rugby boot offers outstanding fit and support throughout the boot with PU micoperforation heel lining that is non-absorbent with great comfort and durability. Improve your game and own yours now.</p>

<p>Features:</p>
<ul>
<li>Last: Wide; Excellent fit, suitable for forwards</li>
<li>Upper: Kangaroo leather; Excellent softness, fit and comfort</li>
<li>Support system: Concealed ghilly lacing system. External TPU heel counter; Great fit and support and excellent stability in rear foot</li>
<li>Tongue: Neoprene sock construction (Mercury TCR graphic); Great comfort and enhances mid foot support</li>
<li>Heel lining: PU microperforation; Good comfort, great durability, non-absorbent</li>
<li>Heel counter: External 3D TPU; Excellent stability in rear foot</li>
<li>Lasting board: Top grade Nylon board (waterproof); Excellent support and flexibility in forefoot</li>
<li>Sock liner: Moulded, textile lined and removable; Great cushioning and midfoot support</li>
<li>Outsole: Nylon 8-stud outsole with reinforcement zones; Excellent durability, stability in rear and midfoot, flexibility in forefoot</li>
<li>Studs: Aluminium; Durable</li></ul><br><p>Material</p><ul><li>Kangaroo Leather </li></ul>						</div>",71.99,8699,CANTERBURY Stampede Elite 8 Stud Men's Rugby Boot,CANTERBURY,"UK10.5,UK11","http://products.activinstinct.com/y2013/m07/372705/98887044-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
375034-B976087001,"<div class=""more"" id=""hp_fix_desc"">
							<p>The shirt of the current RaboDirect 12 champions and three-time Heineken champions. This short sleeve home pro shirt has a contemporary fit jersey featuring the Loop 21 neck design. It is a sublimated construction with tonal taping detail.</p>

<p>Features:</p>
<ul>
<li>100% Polyester pique</li>
<li>Contemporary fit</li>
<li>Sublimated Design</li></ul><br><p>Material</p><ul><li>Polyester Fabric 100%</li></ul>						</div>",49.99,6499,CANTERBURY Leinster Adult Alternate Pro 2013/14 Rugby Jersey,CANTERBURY,,"http://products.activinstinct.com/y2013/m08/375034/47522808-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12193-24065E,,49.99,6499,CARTA SPORTS Senior Tackle Shield ,CARTA,,"http://products.activinstinct.com/y2008/m12/12193/12193-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
12192-34070E,,69.99,8499,CARTA SPORTS Rucking Sack ,CARTA,,"http://products.activinstinct.com/y2008/m12/12192/12192-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433283-340.GEL3PA.100 / 340.GEL3PI.100,"<div class=""more"" id=""hp_fix_desc"">
							<p>CNP Hydro Gel is a groundbreaking gel developed with Team Sky and British Cycling to provide easy to use energy for athletes who struggle to consume traditional gels. Containing natural energy sources from pineapple juice and delivering natural electrolytes from coconut water, this great tasting product is already a favourite in the peloton. CNP Hydro Gel will help boost your carbohydrate and energy levels to help you achieve your goals either on race day or during training.</p>

<p>Features:</p>
<ul>
<li>Concentrated fruit juice gel with coconut water</li>
<li>Extra hydration</li>
<li>Naturally high in electrolytes</li>
<li>Time released energy</li>
<li>Gentle on the stomach</li>
<li>Suitable for Vegetarians and Vegans</li>
<li>Additional vitamin and electrolyte mineral mix</li>
<li>No allergens</li>
<li>65g serving</li>
<li>22g of carbs</li>
<li>Available in Pineapple &amp; Coconut or Passionfruit</li>
<li>Box Of 24</li>
</ul><br>
<p>Official supplier to Team SKY, British Cycling Teams, NFTO, Tracy Moseley &amp; Helen Wyman</p>						</div>",42.99,5799,CNP Hydro Gel Sachets (Box of 24),CNP,"Pineapple,Passionfruit ","http://products.activinstinct.com/y2014/m06/433283/27338062-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433281-340.GEL4MBL.100,"<div class=""more"" id=""hp_fix_desc"">
							<p>CNP Hydro Gel Max is a caffeinated version of our groundbreaking gel developed with Team Sky and British Cycling to provide easy to use energy for athletes who struggle to consume traditional gels. Containing natural energy sources from pineapple juice and delivering natural electrolytes from coconut water, this great tasting product is already a favourite in the peloton. CNP Hydro Gel will help boost your carbohydrate and energy levels to help you achieve your goals either on race day or during training.</p>

<p>Features:</p>
<ul>
<li>Caffeinated (Guarana) concentrated fruit juice gel with coconut water</li>
<li>Extra hydration</li>
<li>Naturally high in electrolytes</li>
<li>Time released energy</li>
<li>Gentle on the stomach</li>
<li>Suitable for Vegetarians and Vegans</li>
<li>Additional vitamin and electrolyte mineral mix</li>
<li>No allergens</li>
<li>65g serving</li>
<li>22g of carbs</li>
<li>Available in Blackcurrent</li>
<li>Box Of 24</li>
</ul><br>
<p>Official supplier to Team SKY, British Cycling Teams, NFTO, Tracy Moseley &amp; Helen Wyman</p>						</div>",47.49,6249,CNP Hydro Gel Max Sachets (Box of 24),CNP,,"http://products.activinstinct.com/y2014/m06/433281/34792621-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
402932--,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Multi Sport Underwear Shorts bring the benefits of their medical-grade compression to the</p>
<p>widest audience yet. Whatever your sport or physical activity, these shorts deliver optimum</p>
<p>compression to the thighs in total comfort.</p>

<p>The Multi Sport Underwear Shorts are designed to be worn underneath regular shorts or kit and are seamless, ultra lightweight, breathable and optimise postural alignment. They incorporate</p>
<p>targeted thigh compression which enhances blood flow, improves hip/buttock alignment and</p>
<p>reduces muscle vibration.</p>

<p>Targeted Compression: the seamless Compressport fibre is exclusively woven on medical compression machines allowing for millimetre-precision compression graduation, targeted around the thighs. This enables the stimulation of blood flow and oxygenation, evacuation of toxins, good knee alignment, shock absorption and the reduction of muscle vibration thus delaying muscle fatigue.</p>

<p>Waistband: the Jacquard elastic waistband is designed for comfort and has silicone grip inside to keep the shorts in position.</p>

<p>Push-Up Zone: the shorts provide exceptional support to the groin area while offering maximum freedom of movement and comfort. The Push-Up Zone is woven from 100% pure natural fibres: cashmere is thermo-regulatory; copper has antifungal and antibacterial properties to prevent odours and irritation of the mucous membranes; soft wood pulp is highly absorbent and breathable.</p>

<p>Flat-Lock Seams: the shorts are assembled with the latest generation flat-lock seams. Solid and</p>
<p>discreet, they avoid chafing.</p>

<p>Ergofit: the fibre and shape of the shorts are designed to fit every curve of your body perfectly, maximising efficiency and comfort.</p>

<p>Hydrophobic: the water-repellent fibre wicks moisture away and evacuates sweat without absorbing it. No more uncomfortable heavy, damp clothing that irritates and doesn't dry.</p>

<p>Ultralight: a second-to-none combination of high-performance, compression and weight, the technology used by Compressport makes these shorts the lightest true compression shorts ever made.</p>

<p>Thermoregulation: the fabric's unique weave enhances air circulation enables a perfect balance</p>
<p>between the inside and outside of the shorts, so body temperature remains stable with no sudden surges or drops.</p>

<p>Massaging Fibre: each movement triggers a micro massage providing a sensation of lightness and wellbeing.</p>

<p>Anti-Bacterial: the SANITIZED treatment helps prevent the growth of bacteria and naturally fights odours.</p>

<p>OEKO-TEX-certified: the innovative fibre used has the world-renowned OEKO-TEX inspection</p>
<p>certificate, declaring that it contains no chemical substances harmful to the skin.</p>

<p>Quality Guarantee: Compressport guarantees your product for two years and will exchange it for any manufacturing fault or defect during that period.</p>						</div>",67.49,8249,COMPRESSPORT Multi Sport Underwear Shorts,COMPRESSPORT,"T1,T2,T3,T4","http://products.activinstinct.com/y2014/m01/402932/94092052-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
397962-SHORTUWTBLKT,"<div class=""more"" id=""hp_fix_desc"">
							<p>To meet the increasing demand from its many trail running athletes, Compressport now offers a unique range of compression shirts and shorts designed specifically for trail running, incorporating many new trail-specific features.</p>

<p>The Trail Underwear Shorts, designed to be worn underneath regular shorts, are seamless, ultra lightweight, breathable and optimise postural alignment. They incorporate targeted thigh compression which enhances blood flow, improves hip/buttock alignment and reduces muscle vibration.</p>

<p>The seamless Compressport fibre is exclusively woven on medical compression machines, allowing for millimetre-precision compression graduation, targeted around the thighs. This enables the stimulation of blood flow and oxygenation, evacuation of toxins, good knee alignment, shock absorption and the reduction of muscle vibration thus delaying muscle fatigue.</p>						</div>",71.99,8699,COMPRESSPORT Compression Trail Underwear Short,COMPRESSPORT,"T1,T2,T3,T4","http://products.activinstinct.com/y2013/m12/397962/75780971-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
397921-FULLLEGBLACKT,"<div class=""more"" id=""hp_fix_desc"">
							<p>Compression garments enhance performance, delay fatigue, lower the risk of injury and speed up</p>
<p>recovery times. Based on fabrics and technology originally developed for medical compression products, they help to eliminate muscle and joint pain by supporting the muscles and reducing shock and vibrations.</p>

<p>This boosts your venous return, reducing the accumulation of toxins while increasing oxygenation to the muscles. The reduction in lactic acid build-up coupled with its shock absorption properties protects you from muscular fatigue and damage.</p>

<p>The Compressport F-Like Full Leg sleeve combines support for the two main compression areas (calves and thighs) into one product. The F-Like also optimises the knee position which is ideal for track, road, trail running and cycling.</p>

<p>Unlike conventional compression shorts which cover the groin, there is no need to machine wash these after each use, it can be hand washed in the shower then worn again straight away for recovery.</p>						</div>",62.99,7799,COMPRESSPORT F-Like Full Leg Compression Guards,COMPRESSPORT,"T1,T2,T3,T4,T1+,T2+,T3+,T4+","http://products.activinstinct.com/y2013/m12/397921/65735868-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
329137-10509,"<div class=""more"" id=""hp_fix_desc"">
							<p>A brilliant piece of training equipment to improve your reaction and hand-eye coordination.</p>

<p>Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with both a 'sane' and 'insane' side to improve your coordination, peripheral vision and reaction speeds.</p>

<p>The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.</p>

<p>Whereas the standard version of this net features a ?sane? side and an ?insane? side, the Double Trouble has two ?insane? sides. Both insane sides give unconventional rebounds and bounces to improve reactions. One with a small mesh for the likes of cricket, tennis and rounders. The other side features a larger mesh, better suited to football, rugby and basketball.</p>

<ul>
<li>Excellent for practicing in groups or on your own</li>
<li>Suitable for all ball sports from cricket, hockey, tennis, rugby and football</li>
<li>Ideal for developing throwing and catching skills</li>
<li>Can be used across the board by all ages</li>
<li>New and affordable to everyone</li>
<li>Strong and robust</li>
<li>Small size 750mm x 750mm</li>
<li>Weight: 5kg</li>
</ul><br>
<p>With free Vision Ball to improve catching and reflexes.</p>						</div>",89.99,10499,CRAZY CATCH Upstart Double Trouble Rebound Net (75cm x 75cm),CRAZY CATCH,,"http://products.activinstinct.com/y2012/m12/329137/83583801-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
251349-10518,"<div class=""more"" id=""hp_fix_desc"">
							<p>A brilliant piece of training equipment to improve your reaction and hand-eye coordination.</p>

<p>Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with both two 'insane' sides to improve your coordination, peripheral vision and reaction speeds.</p>
<p>The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.</p>

<p>Whereas the standard version of this net features a ""sane"" side and an ""insane"" side, the Double Trouble has two ""insane"" sides. Both insane sides give unconventional rebounds and bounces to improve reactions. One with a small mesh for the likes of cricket, tennis and rounders. The other side features a larger mesh, better suited to football, rugby and basketball.</p>

<ul>
<li>Excellent for practicing in groups or on your own</li>
<li>Suitable for all ball sports from cricket, hockey, tennis, rugby and football</li>
<li>Ideal for developing throwing and catching skills</li>
<li>Can be used across the board by all ages</li>
<li>New and affordable to everyone</li>
<li>Strong and robust</li>
<li>Medium size 930mm x 930mm</li>
<li>Weight: 8kg</li>
</ul><br>
<p>With free Vision Ball to improve catching and reflexes</p>						</div>",106.99,12199,CRAZY CATCH Wildchild Double Trouble Rebound Net (93cm x 93cm),CRAZY CATCH,,"http://products.activinstinct.com/y2011/m10/251349/19001024-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
251347-10528,"<div class=""more"" id=""hp_fix_desc"">
							<p>A brilliant piece of training equipment to improve your reaction and hand-eye coordination.</p>

<p>Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with two 'insane' sides to improve your coordination, peripheral vision and reaction speeds.</p>
<p>The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park. It can be fun for the whole family, learning the basics of catching and throwing, while improving coordination and enjoying it along the way.</p>

<p>Whereas the standard version of this net features a 'sane' side and an 'insane' side, the Double Trouble has two 'insane' sides. Both insane sides give unconventional rebounds and bounces to improve reactions. One with a small mesh for the likes of cricket, tennis and rounders. The other side features a larger mesh, better suited to football, rugby and basketball.</p>

<p>This particular model, although adaptable, is more suited to schools, sports clubs and teams, as well as professional athletes.</p>

<ul>
<li>Excellent for practicing in groups or on your own</li>
<li>Suitable for all ball sports from cricket, hockey, tennis, rugby and football</li>
<li>Ideal for developing throwing and catching skills</li>
<li>Can be used across the board by all ages</li>
<li>New and affordable to everyone</li>
<li>Strong and robust</li>
<li>Large size 148mm x 910mm</li>
<li>Weight: 11kg</li>
</ul><br>
<p>With free Vision Ball to improve catching and reflexes.</p>						</div>",169.99,18499,CRAZY CATCH Professional Double Trouble Rebound Net (148cm x 91cm),CRAZY CATCH,,"http://products.activinstinct.com/y2011/m10/251347/81964774-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
20003-42182905,"<div class=""more"" id=""hp_fix_desc"">
							<p>Designed to improve your passing capabilities, the Morgan Pass Developer is an overweight training ball that targets passing muscles in your wrists, hands and arms. Passing a heavier ball means you have to use better form and technique which will give you greater distance and accuracy when match day arrives.</p>						</div>",39.99,5499,GILBERT Morgan Pass Developer Rugby Ball ,GILBERT,"4,5","http://products.activinstinct.com/y2008/m12/20003/70311217-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
366959-83024101 / 83024102,"<div class=""more"" id=""hp_fix_desc"">
							<p>A great bag for matchday or training, with plenty of storage space for a whole host of kit.</p>

<p>Features:</p>
<ul>
<li>Ideal for touring sides or general travel needs</li>
<li>Large main compartment</li>
<li>Side and end pockets for additional storage</li>
<li>Durable base and wheels</li>
<li>1200 Ripstop / durable polyester</li>
<li>Dimensions: 38 x 74 x 38cm</li></ul><br><p>Material</p><ul><li>Polyester </li><li>Ripstop </li></ul>						</div>",39.99,5499,GILBERT Club Travel V2 Bag,GILBERT,"Black,Navy","http://products.activinstinct.com/y2013/m06/366959/20553636-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
366942-83023701 / 83023702,"<div class=""more"" id=""hp_fix_desc"">
							<p>A great bag for matchday or training, with plenty of storage space for a whole host of kit.</p>

<p>Features:</p>
<ul>
<li>Wheels for easy transportation</li>
<li>Sizeable main compartment</li>
<li>Large end pocket for additional storage</li>
<li>Durable base</li>
<li>1200 Ripstop / durable polyester</li>
<li>Dimensions: 40 x 82 x 38cm</li></ul><br><p>Material</p><ul><li>Polyester </li><li>Ripstop </li></ul>						</div>",49.99,6499,GILBERT Club Kit V2 Bag,GILBERT,"Black,Navy","http://products.activinstinct.com/y2013/m06/366942/88985791-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21259-28286S,,279.99,29499,GILBERT Junior Set of 4 Post Protectors (Diameter A or B) ,GILBERT,"Diameter A,Diameter B","http://products.activinstinct.com/y2008/m12/21259/21259-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21261-28289S,,449.99,46499,GILBERT Senior Set of 4 Post Protectors (Diameter A or B) ,GILBERT,"Diameter A,Diameter B","http://products.activinstinct.com/y2008/m12/21261/21261-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
21263-28292S,,799.99,81499,"GILBERT Super Set of 4 Post Protectors (Diameter A, B or C) ",GILBERT,"Diameter B,Diameter C","http://products.activinstinct.com/y2008/m12/21263/21263-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
364510-8551280,"<div class=""more"" id=""hp_fix_desc"">
							<p>Offering the ultimate protection from big hits, this provides padding to the bulk of the torso, keeping it in the best condition to perform.</p>

<p>This particular top uses a Triflex Pro Technology. This upgraded padding system uses free floating interlinked closed cell triangular foam padding that moulds to the shape of the wearer. There is also strategic 10mm and 5mm EVA foam padding. Revolutionary carbon fabric provides an additional layer of protective film.</p>

<p>The padding covers the sternum, biceps, back, ribs and kidneys. Made from a lightweight compression fabric, the cross wave mesh ventilation panels have been placed strategically to disperse moisture and heat, so that you remain comfortable.</p>

<p>This has been designed for use in serious, competitive games underneath technical rugby jerseys. High in performance and high in protection.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",59.99,7499,GILBERT Junior Chieftain V2 Body Armour,GILBERT,"Small Boys,Medium Boys,Large Boys","http://products.activinstinct.com/y2013/m06/364510/46727905-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
364525-8551290 / 8551430,"<div class=""more"" id=""hp_fix_desc"">
							<p>This particular top uses a Triflex Technology. It utilises triangular closed cell foam padding which moves with the body to feel like a second skin. There is also strategic 10mm and 5mm EVA foam padding.</p>

<p>There is a comprehensive padding system covering the shoulders, biceps and sternum to ensure you have the protection when dishing out hits as well as being on the receiving end of them.</p>

<p>This top has also been constructed using compression two way stretch fabric and includes breathable mesh inserts. As a result the top moves exactly as you do and doesn't impede any movements or actions you make. What's more, the mesh inserts help control your body temperature as they disperse heat and moisture leaving you more comfortable to play.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",44.99,5999,GILBERT Junior Triflex XP1 Body Armour,GILBERT,"Small Boys,Medium Boys,Large Boys,Black/Blue,Black/Red","http://products.activinstinct.com/y2013/m06/364525/41993998-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
364573-873767,"<div class=""more"" id=""hp_fix_desc"">
							<p>A revolutionary new boot in the Gilbert range, this is designed for pure speed. Lightweight performance and a ProFly SL upper combine to make this the lightest boot that Gilbert produce.</p>

<p>Bio Frame is a new lightweight, yet stable, outsole that provides stability around the heel, lightweight traction and includes and embedded spine for vital midfoot stability.</p>

<p>Features:</p>
<ul>
<li>Lightweight</li>
<li>Asymmetric lacing</li>
<li>Revised last for second-skin fit, wider forefoot and sleeker midfoot</li>
<li>Lightweight, breathable footbed with strategic HDF foam inserts to provide rebound in the energy transfer of your running motion</li>
<li>Full PU lasting for flexibility and support</li>
<li>8 stud configuration</li></ul><br><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",67.49,8249,GILBERT ProFly SG Men's Rugby Boot,GILBERT,"UK7,UK8,UK8.5,UK9,UK9.5,UK10,UK10.5,UK11,UK11.5,UK12,UK13","http://products.activinstinct.com/y2013/m06/364573/44618993-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
307373-873759,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert Sidestep Barbarian Rugby Boot is an updated version of the classic gilbert rugby boot and is ideal for players of all levels looking for value and durability combined with comfort and stability on the pitch. This boot not only allows you to get a firm footing in the contact area but also allows you to get through the gap with fleet footed directional changes.</p>

<p>Features a synthetic upper, pre formed removable footbed and classical styling that reflects professional level boots.</p>

<p>XSP 8 Stud outsole for soft ground and additional traction, exclusive Gilbert sole unit designed with the needs of top rugby players in mind. Pebax outsole with internal support unit with strategically positioned studs for superior weight distribution and ultimate traction.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",39.99,5499,GILBERT Sidestep Barbarian Mid 8 Stud Adult Rugby Boots,GILBERT,"UK7,UK8,UK9,UK10,UK11,UK12,UK13,UK14","http://products.activinstinct.com/y2012/m08/307373/55088810-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
364532-873763,"<div class=""more"" id=""hp_fix_desc"">
							<p>Made from premium leather and with a Bio Frame outsole, combined with the ProStrike Zone, this boot is worthy of international level rugby.</p>

<p>Bio Frame is a new lightweight, yet stable, outsole that provides stability around the heel, lightweight traction and includes and embedded spine for vital midfoot stability. The ProStrike Zone is made up of engineered silicone rubber on the instep that works in conjunction with Gilbert rugby balls for the ultimate strike in distance and power.</p>

<p>The leather construction is supported by a strong, durable honeycomb PU which provides lightweight, durable supportive elements.</p>

<p>Features:</p>
<ul>
<li>Lightweight</li>
<li>Engineered Heel Fit</li>
<li>Revised last for second-skin fit, wider forefoot and sleeker midfoot</li>
<li>Enhanced arch support, resulting in improved base</li>
<li>Full PU lasting for flexibility and support</li>
<li>8 stud configuration</li></ul><br><p>Material</p><ul><li>Leather </li></ul>						</div>",76.99,9199,GILBERT Virtuo VX SG Men's Rugby Boot,GILBERT,"UK7,UK8,UK9,UK9.5,UK10,UK10.5,UK11.5,UK12","http://products.activinstinct.com/y2013/m06/364532/97053504-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
364545-873765,"<div class=""more"" id=""hp_fix_desc"">
							<p>Made from premium leather and with a Bio Frame outsole, combined with the ProStrike Zone, this boot is worthy of international level rugby.</p>

<p>Bio Frame is a new lightweight, yet stable, outsole that provides stability around the heel, lightweight traction and includes and embedded spine for vital midfoot stability. The ProStrike Zone is made up of engineered silicone rubber on the instep that works in conjunction with Gilbert rugby balls for the ultimate strike in distance and power.</p>

<p>The leather construction is supported by a strong, durable honeycomb PU which provides lightweight, durable supportive elements.</p>

<p>Features:</p>
<ul>
<li>Lightweight</li>
<li>Engineered Heel Fit</li>
<li>Revised last for second-skin fit, wider forefoot and sleeker midfoot</li>
<li>Enhanced arch support, resulting in improved base</li>
<li>Full PU lasting for flexibility and support</li>
<li>Firm ground sole pate and strategically placed blades for traction</li></ul><br><p>Material</p><ul><li>Leather </li></ul>						</div>",76.99,9199,GILBERT Virtuo VX FG Men's Rugby Boot,GILBERT,"UK7,UK9,UK9.5","http://products.activinstinct.com/y2013/m06/364545/19931666-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
364586-873769,"<div class=""more"" id=""hp_fix_desc"">
							<p>A revolutionary new boot in the Gilbert range, this is designed for pure speed. Lightweight performance and a ProFly SL upper combine to make this the lightest boot that Gilbert produce.</p>

<p>Bio Frame is a new lightweight, yet stable, outsole that provides stability around the heel, lightweight traction and includes and embedded spine for vital midfoot stability.</p>

<p>Features:</p>
<ul>
<li>Lightweight</li>
<li>Asymmetric lacing</li>
<li>Revised last for second-skin fit, wider forefoot and sleeker midfoot</li>
<li>Lightweight, breathable footbed with strategic HDF foam inserts to provide rebound in the energy transfer of your running motion</li>
<li>Full PU lasting for flexibility and support</li>
<li>Firm ground sole pate and strategically placed blades for traction</li></ul><br><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",67.99,8299,GILBERT ProFly FG Men's Rugby Boot,GILBERT,"UK8,UK9,UK9.5,UK10,UK11.5","http://products.activinstinct.com/y2013/m06/364586/74363501-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
29000-85360803,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gilbert contact top has been designed with the assistance of premiership clubs who know what is needed when it comes to intense training sessions and getting the best out of player.</p>

<p>The top provides all round upper body protection without restricting your movement so you can hit hard and feel protected during a training session.</p><p>Material</p><ul><li>Nylon </li><li>EVA </li><li>Polyester Webbing </li></ul>						</div>",39.99,5499,GILBERT Junior Contact Top,GILBERT,,"http://products.activinstinct.com/y2009/m06/29000/29000-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
19991-41024205,,39.99,5499,GILBERT Barbarian Match Rugby Ball ,GILBERT,,"http://products.activinstinct.com/y2008/m12/19991/11386142-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
29008-89112301,,39.99,5499,GILBERT Spring Loaded Corner Poles ,GILBERT,,"http://products.activinstinct.com/y2009/m06/29008/29008-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
