Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,BURN 12kg Dumbbell Set,Burn Fitness,3800.00,3800.00,,<div class="std">        <ul><li>Designed to tone arms and upper body.</li><li>Ideal for aerobics and toning exercise.</li><li>Available with Carrying Case</li></ul>    </div>,BURNSFBFA2304,BURNSF,fitness-accessories,BURN 12kg Dumbbell Set,8-13 Working Days,100,N,-190,Get your hands on the BURN 12kg Dumbbell Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the BURN 12kg Dumbbell Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy BURN 12kg Dumbbell Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2304.jpg,
Product,Training Glove,Burn Fitness,990.00,990.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Superb quality; durable and top-performer</span></li><li><span class="a-list-item">Snug fit with easy on off system</span></li><li><span class="a-list-item">Soft-feel but hardwearing long lasting gloves</span></li></ul></div></div>    </div>,BURNSFBFA3071,BURNSF,fitness-accessories,Training Glove,8-13 Working Days,100,N,-190,Get your hands on the Training Glove. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3071.jpg,
Product,Ankle/Wrist Weight 1kg,Burn Fitness,435.00,435.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Optimum weight to strengthen muscle and burn calories</span></li><li><span class="a-list-item">Ideal for jogging; aerobic and toning exercise</span></li><li><span class="a-list-item">High quality fabric for</span></li><li><span class="a-list-item">Box Contents: 2 x Ankle Weights</span></li></ul></div></div>    </div>,BURNSFbfa30151,BURNSF,fitness-accessories,Ankle/Wrist Weight 1kg,8-13 Working Days,100,N,-190,Get your hands on the Ankle/Wrist Weight 1kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ankle/Wrist Weight 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ankle/Wrist Weight 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa30151.jpg,
Product,Training Glove,Burn Fitness,790.00,790.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Superb quality; durable and top-performer</span></li><li><span class="a-list-item">Snug fit with easy on off system</span></li><li><span class="a-list-item">Soft-feel but hardwearing long lasting gloves</span></li></ul></div></div>    </div>,BURNSFBFA3078,BURNSF,fitness-accessories,Training Glove,8-13 Working Days,100,N,-190,Get your hands on the Training Glove. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3078.jpg,
Product,Training Set,Burn Fitness,995.00,995.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Workout for chest; back; lats; shoulder; biceps; triceps; wrists; arms; and grips</span></li><li><span class="a-list-item">Great workout equipment for daily upper body workout and it will increase the tightness of your muscles and the firmness of your outlook</span></li><li><span class="a-list-item">Portable fitness set allows you to take your daily training anywhere</span></li><li><span class="a-list-item">Box Contents: 1 x Handgrip; 1 x Jump Rope; 1 x Chest Expander</span></li></ul></div></div><div id="giftcard-holiday-availability-messaging_feature_div" class="feature" data-feature-name="giftCardHolidayAvailabilityMessaging"> </div><div id="andon-cord-pulling_feature_div" class="feature" data-feature-name="andonCordPulling"> </div><div id="originalPackagingMessage_feature_div" class="feature" data-feature-name="originalPackagingMessage"> </div><div id="newerVersion_feature_div" class="feature" data-feature-name="newerVersion"> </div>    </div>,BURNSFbfa3514,BURNSF,fitness-accessories,Training Set,8-13 Working Days,100,N,-190,Get your hands on the Training Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3514_1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3514_a__1.jpg,
Product,Lat Pulldown,Burn Fitness,289900.00,289900.00,,<div class="std">        <p>-L x W x H:1457 x 1351.7 x 1900 mm</p><p>-PRODUCT WEIGHT:149KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9502,BURNSF,gym-equipments,Lat Pulldown,8-13 Working Days,100,N,-190,Get your hands on the Lat Pulldown. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Lat Pulldown Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Lat Pulldown Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9502.jpg,
Product,Pectoral,Burn Fitness,288900.00,288900.00,,<div class="std">        <p>-L x W x H:1427 x 1107 x 1528 mm</p><p>-PRODUCT WEIGHT:130.8KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9504,BURNSF,gym-equipments,Pectoral,8-13 Working Days,100,N,-190,Get your hands on the Pectoral. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Pectoral Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Pectoral Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9504.jpg,
Product,Chest Press,Burn Fitness,289900.00,289900.00,,<div class="std">        <p>-L x W x H:1535 x 1377 x 1528 mm</p><p>-PRODUCT WEIGHT:130.1KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9501,BURNSF,gym-equipments,Chest Press,8-13 Working Days,100,N,-190,Get your hands on the Chest Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Chest Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Chest Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9501.jpg,
Product,Torso Rotation,Burn Fitness,308000.00,308000.00,,<div class="std">        <p>-L x W x H:1241 x 1263 x 1528 mm</p><p>-PRODUCT WEIGHT:149.3KG</p><p>-WEIGHT STACK:68KG/150LBS</p>    </div>,BURNSFBF9518,BURNSF,gym-equipments,Torso Rotation,8-13 Working Days,100,N,-190,Get your hands on the Torso Rotation. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Torso Rotation Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Torso Rotation Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9518.jpg,
Product,Anti Burst Gym Ball 65cm With Hand Pump,Burn Fitness,905.00,905.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Ideal for aerobic and fitness exercise</span></li><li><span class="a-list-item">Great for building core strength and flexibility</span></li><li><span class="a-list-item">Improve strength; flexibility and balance</span></li><li><span class="a-list-item">Box Contents: 1 x Gym Ball; 1 x Air Pump</span></li></ul></div></div>    </div>,BURNSFBFA357765,BURNSF,fitness-accessories,Anti Burst Gym Ball 65cm With Hand Pump,8-13 Working Days,100,N,-190,Get your hands on the Anti Burst Gym Ball 65cm With Hand Pump. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Anti Burst Gym Ball 65cm With Hand Pump Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Anti Burst Gym Ball 65cm With Hand Pump Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3577-65.jpg,
