Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Hexagon Vinyl Dumbbell 5kg,Burn Fitness,1340.00,1340.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li><li><span class="a-list-item">Box Contents: 1 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFbfa20015,BURNSF,fitness-accessories,Hexagon Vinyl Dumbbell 5kg,8-13 Working Days,100,N,-190,Get your hands on the Hexagon Vinyl Dumbbell 5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Hexagon Vinyl Dumbbell 5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Hexagon Vinyl Dumbbell 5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2001-5.jpg,
Product,Square Head Neoprene Dumbbell 0.5kg,Burn Fitness,145.00,145.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li><li><span class="a-list-item">Box Contents: 1 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFbfa200205,BURNSF,fitness-accessories,Square Head Neoprene Dumbbell 0.5kg,8-13 Working Days,100,N,-190,Get your hands on the Square Head Neoprene Dumbbell 0.5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Square Head Neoprene Dumbbell 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Square Head Neoprene Dumbbell 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2002-05.jpg,
Product,Square Head Neoprene Dumbbell 1kg,Burn Fitness,280.00,280.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li><li><span class="a-list-item">Box Contents: 1 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFbfa20021,BURNSF,fitness-accessories,Square Head Neoprene Dumbbell 1kg,8-13 Working Days,100,N,-190,Get your hands on the Square Head Neoprene Dumbbell 1kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Square Head Neoprene Dumbbell 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Square Head Neoprene Dumbbell 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2002-1.jpg,
Product,Square Head Neoprene Dumbbell 1.5kg,Burn Fitness,410.00,410.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li><li><span class="a-list-item">Box Contents: 1 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFbfa200215,BURNSF,fitness-accessories,Square Head Neoprene Dumbbell 1.5kg,8-13 Working Days,100,N,-190,Get your hands on the Square Head Neoprene Dumbbell 1.5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Square Head Neoprene Dumbbell 1.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Square Head Neoprene Dumbbell 1.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2002-15.jpg,
Product,Square Head Neoprene Dumbbell 2kg,Burn Fitness,545.00,545.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li><li><span class="a-list-item">Box Contents: 1 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFbfa20022,BURNSF,fitness-accessories,Square Head Neoprene Dumbbell 2kg,8-13 Working Days,100,N,-190,Get your hands on the Square Head Neoprene Dumbbell 2kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Square Head Neoprene Dumbbell 2kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Square Head Neoprene Dumbbell 2kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2002-2.jpg,
Product,Square Head Neoprene Dumbbell 3kg,Burn Fitness,810.00,810.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li><li><span class="a-list-item">Box Contents: 1 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFbfa20023,BURNSF,fitness-accessories,Square Head Neoprene Dumbbell 3kg,8-13 Working Days,100,N,-190,Get your hands on the Square Head Neoprene Dumbbell 3kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Square Head Neoprene Dumbbell 3kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Square Head Neoprene Dumbbell 3kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2002-3.jpg,
Product,Square Head Neoprene Dumbbell 5kg,Burn Fitness,1340.00,1340.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li><li><span class="a-list-item">Box Contents: 1 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFbfa20025,BURNSF,fitness-accessories,Square Head Neoprene Dumbbell 5kg,8-13 Working Days,100,N,-190,Get your hands on the Square Head Neoprene Dumbbell 5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Square Head Neoprene Dumbbell 5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Square Head Neoprene Dumbbell 5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2002-5.jpg,
Product,Adjustable Dumbbell 5lbs to 52.5lbs with Rack,Burn Fitness,39900.00,39900.00,,<div class="std">        <ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Each dumbbell adjusts from 5 to 52.5 lbs; adjusts in 2.5-lbs increments up to the first 25 lbs</span></li><li><span class="a-list-item">Lets you rapidly switch from one exercise to the next</span></li><li><span class="a-list-item">Combines 15 sets of weights into one; using a unique dial system</span></li><li><span class="a-list-item">Eliminates the need for multiple dumbbells cluttering your workout space</span></li></ul>    </div>,BURNSFbfa2315,BURNSF,fitness-accessories,Adjustable Dumbbell 5lbs to 52.5lbs with Rack,8-13 Working Days,100,N,-190,Get your hands on the Adjustable Dumbbell 5lbs to 52.5lbs with Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Adjustable Dumbbell 5lbs to 52.5lbs with Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Adjustable Dumbbell 5lbs to 52.5lbs with Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/d/u/dumbbles-01_1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/d/u/dumbbles-01a_1.jpg,
Product,Ankle/Wrist Weight 0.5kg,Burn Fitness,620.00,620.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Optimum weight to strengthen muscle and burn calories</span></li><li><span class="a-list-item">Ideal for jogging; aerobic and toning exercise</span></li><li><span class="a-list-item">High quality fabric for</span></li><li><span class="a-list-item">Box Contents: 2 x Ankle Weights</span></li></ul></div></div>    </div>,BURNSFbfa304905,BURNSF,fitness-accessories,Ankle/Wrist Weight 0.5kg,8-13 Working Days,100,N,-190,Get your hands on the Ankle/Wrist Weight 0.5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ankle/Wrist Weight 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ankle/Wrist Weight 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3049.jpg,
Product,Ankle/Wrist Weight 1kg,Burn Fitness,850.00,850.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Optimum weight to strengthen muscle and burn calories</span></li><li><span class="a-list-item">Ideal for jogging; aerobic and toning exercise</span></li><li><span class="a-list-item">High quality fabric for</span></li><li><span class="a-list-item">Box Contents: 2 x Ankle Weights</span></li></ul></div></div>    </div>,BURNSFbfa30491,BURNSF,fitness-accessories,Ankle/Wrist Weight 1kg,8-13 Working Days,100,N,-190,Get your hands on the Ankle/Wrist Weight 1kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ankle/Wrist Weight 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ankle/Wrist Weight 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa30491.jpg,
Product,Ankle/Wrist Weight 1.5kg,Burn Fitness,735.00,735.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Optimum weight to strengthen muscle and burn calories</span></li><li><span class="a-list-item">Ideal for jogging; aerobic and toning exercise</span></li><li><span class="a-list-item">High quality fabric for</span></li><li><span class="a-list-item">Box Contents: 2 x Ankle Weights</span></li></ul></div></div>    </div>,BURNSFbfa301515,BURNSF,fitness-accessories,Ankle/Wrist Weight 1.5kg,8-13 Working Days,100,N,-190,Get your hands on the Ankle/Wrist Weight 1.5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ankle/Wrist Weight 1.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ankle/Wrist Weight 1.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3015-15.jpg,
Product,Door Gym Bar,Burn Fitness,995.00,995.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Powder coated tube with soft foam handles</span></li><li><span class="a-list-item">Enables you to perform a variety of different exercises</span></li><li><span class="a-list-item">Dual action pull up bar</span></li><li><span class="a-list-item">Box Contents: 1 x Door Bar</span></li></ul></div></div>    </div>,BURNSFbfa3163b,BURNSF,fitness-accessories,Door Gym Bar,8-13 Working Days,100,N,-190,Get your hands on the Door Gym Bar. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Door Gym Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Door Gym Bar Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3162.jpg,
Product,PVC Jump Skipping Rope,Burn Fitness,400.00,400.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Non-slip soft grip handle</span></li><li><span class="a-list-item">Smooth swivel design for agility training</span></li><li><span class="a-list-item">9ft smooth pvc rope</span></li><li><span class="a-list-item">Box Contents: 1 x Jump Rope</span></li></ul></div></div>    </div>,BURNSFBFA3143,BURNSF,fitness-accessories,PVC Jump Skipping Rope,8-13 Working Days,100,N,-190,Get your hands on the PVC Jump Skipping Rope. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3143.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3143_a_.jpg,
Product,PVC Jump Skipping Rope,Burn Fitness,495.00,495.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Light weight grips for speed training</span></li><li><span class="a-list-item">Metal ball bearing helps to prevent tangling of rope</span></li><li><span class="a-list-item">9ft smooth pvc rope</span></li><li><span class="a-list-item">Box Contents: 1 x Jump Rope</span></li></ul></div></div>    </div>,BURNSFBFA3137,BURNSF,fitness-accessories,PVC Jump Skipping Rope,8-13 Working Days,100,N,-190,Get your hands on the PVC Jump Skipping Rope. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3137.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3137_a_.jpg,
Product,PVC Jump Skipping Rope,Burn Fitness,270.00,270.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Light weight grips for speed training</span></li><li><span class="a-list-item">Metal ball bearing helps to prevent tangling of rope</span></li><li><span class="a-list-item">9ft smooth pvc rope</span></li><li><span class="a-list-item">Box Contents: 1 x Jump Rope</span></li></ul></div></div><div id="giftcard-holiday-availability-messaging_feature_div" class="feature" data-feature-name="giftCardHolidayAvailabilityMessaging"> </div><div id="andon-cord-pulling_feature_div" class="feature" data-feature-name="andonCordPulling"> </div><div id="originalPackagingMessage_feature_div" class="feature" data-feature-name="originalPackagingMessage"> </div><div id="newerVersion_feature_div" class="feature" data-feature-name="newerVersion"> </div><div id="productAlert_feature_div" class="feature" data-feature-name="productAlert"> </div>    </div>,BURNSFBFA3127,BURNSF,fitness-accessories,PVC Jump Skipping Rope,8-13 Working Days,100,N,-190,Get your hands on the PVC Jump Skipping Rope. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3127.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3127_a_.jpg,
Product,Foam Handgrip,Burn Fitness,300.00,300.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Improve grip strength</span></li><li><span class="a-list-item">Ergonomic foam handles</span></li><li><span class="a-list-item">Manage your stress</span></li><li><span class="a-list-item">Box Contents: 2 x Hand Grip</span></li></ul></div></div>    </div>,BURNSFBFA3102,BURNSF,fitness-accessories,Foam Handgrip,8-13 Working Days,100,N,-190,Get your hands on the Foam Handgrip. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Foam Handgrip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Foam Handgrip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3102.jpg,
Product,Trampoline With Net 8ft,Burn Fitness,20835.00,20835.00,,,BURNSFBFA31868,BURNSF,fitness-accessories,Trampoline With Net 8ft,8-13 Working Days,100,N,-190,Get your hands on the Trampoline With Net 8ft. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Trampoline With Net 8ft Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Trampoline With Net 8ft Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3186.jpg,
Product,Trampoline With Net 6ft,Burn Fitness,17250.00,17250.00,,,BURNSFBFA31866,BURNSF,fitness-accessories,Trampoline With Net 6ft,8-13 Working Days,100,N,-190,Get your hands on the Trampoline With Net 6ft. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Trampoline With Net 6ft Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Trampoline With Net 6ft Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3186_1.jpg,
Product,Trampoline With Net 10ft,Burn Fitness,25000.00,25000.00,,,BURNSFBFA318610,BURNSF,fitness-accessories,Trampoline With Net 10ft,8-13 Working Days,100,N,-190,Get your hands on the Trampoline With Net 10ft. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Trampoline With Net 10ft Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Trampoline With Net 10ft Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3186_2.jpg,
Product,Inter Lock Mat,Burn Fitness,1295.00,1295.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Eva foam which is eco-friendly; non-toxic and harmless</span></li><li><span class="a-list-item">Can be used in various fields such as yoga; pilates; fitness; camping etc</span></li><li><span class="a-list-item">Water resistant; easy to clean and install</span></li><li><span class="a-list-item">Box Contents: 4 x Mat</span></li></ul></div></div>    </div>,BURNSFBFA3259B,BURNSF,fitness-accessories,Inter Lock Mat,8-13 Working Days,100,N,-190,Get your hands on the Inter Lock Mat. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Inter Lock Mat Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Inter Lock Mat Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3259b.jpg,
Product,Eva Weight Lifting Belt,Burn Fitness,795.00,795.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Eva material which is eco-friendly; non-toxic and harmless</span></li><li><span class="a-list-item">Adjustable closure for custom fit</span></li><li><span class="a-list-item">Helps support lower back and abs</span></li><li><span class="a-list-item">Box Contents: 1 x Belt</span></li></ul></div></div>    </div>,BURNSFBFA3081,BURNSF,fitness-accessories,Eva Weight Lifting Belt,8-13 Working Days,100,N,-190,Get your hands on the Eva Weight Lifting Belt. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Eva Weight Lifting Belt Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Eva Weight Lifting Belt Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3081.jpg,
Product,Sports Arm Band,Burn Fitness,995.00,995.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Compatible with apple iphone and ipod touch devices</span></li><li><span class="a-list-item">Includes armband extender strap for a custom fit on almost any arm size</span></li><li><span class="a-list-item">Slim and lightweight design for extra comfort</span></li><li><span class="a-list-item">Box Contents: 1 x Arm Band;1 x Extender Strap</span></li></ul></div></div><div id="giftcard-holiday-availability-messaging_feature_div" class="feature" data-feature-name="giftCardHolidayAvailabilityMessaging"> </div><div id="andon-cord-pulling_feature_div" class="feature" data-feature-name="andonCordPulling"> </div><div id="originalPackagingMessage_feature_div" class="feature" data-feature-name="originalPackagingMessage"> </div><div id="newerVersion_feature_div" class="feature" data-feature-name="newerVersion"> </div>    </div>,BURNSFBFA3719,BURNSF,fitness-accessories,Sports Arm Band,8-13 Working Days,100,N,-190,Get your hands on the Sports Arm Band. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Sports Arm Band Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Sports Arm Band Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3719.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3719_a_.jpg,
Product,Abductor And Adductor,Burn Fitness,255900.00,255900.00,,<div class="std">        <p>-L x W x H:1760 x 810 x 1528 mm</p><p>-PRODUCT WEIGHT:171.7KG</p><p>-WEIGHT STACK:68KG/150LBS</p>    </div>,BURNSFBF9508,BURNSF,gym-equipments,Abductor And Adductor,8-13 Working Days,100,N,-190,Get your hands on the Abductor And Adductor. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Abductor And Adductor Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Abductor And Adductor Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9508.jpg,
Product,45 degree Leg Press,Burn Fitness,179900.00,179900.00,,<div class="std">        <p>-L X W X H: 2199 X 1016 X 1494 (mm)<br>                        86.6 X 40 X 58.8 (in)</p><p>-Net Weight: 140.5kg/ 310lbs<br><br></p><p>-MAX WEIGHT CAPACITY: 200Kg/440Lbs</p>    </div>,BURNSFBFI7020,BURNSF,gym-equipments,45 degree Leg Press,8-13 Working Days,100,N,-190,Get your hands on the 45 degree Leg Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the 45 degree Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy 45 degree Leg Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfi7020.jpeg,
Product,Arm Curl,Burn Fitness,244900.00,244900.00,,<div class="std">        <p>-L x W x H:1153 x 1076 x 1528 mm</p><p>-PRODUCT WEIGHT:122.3KG</p><p>-WEIGHT STACK:68KG/150LBS</p>    </div>,BURNSFBF9503,BURNSF,gym-equipments,Arm Curl,8-13 Working Days,100,N,-190,Get your hands on the Arm Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Arm Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Arm Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9503.jpg,
