SKU,Description,MRP,SP,variant,imgurl,productname
"
			  VKGL-P100				",made of good quality leather.,315,"Rs. 
			265","
		;
		;
		Pair		",http://www.vinexshop.com/Admin/mm_bigger/1275521526_VINEX KEEPING GLOVES-PRACTICE.jpg,Vinex Keeping Gloves - Practice
"
			  VKGL-T100				",Made of good quality leather.,339286,"Rs. 
			285,Rs. 
			240","
		;
		;
		Pair		;
		Pair (Youth)		",http://www.vinexshop.com/Admin/mm_bigger/1275521464_VINEX KEEPING GLOVES-TOURNAMENT.jpg,Vinex Keeping Gloves - Tournament
"
			  VKGL-CH100				","
Vinex Keeping Gloves Champion. Made of good quality leather. Comes in a pair.
",895,"Rs. 
			762","
		;
		;
		Vinex Keeping Gloves Champion. Made of good quality leather. Comes in a pair.		",http://www.vinexshop.com/Admin/mm_bigger/1386060325_VINEX KEEPING GLOVES CHAMPION.jpg,Vinex Keeping Gloves Champion
,"
Elite cricket leg guards are featherweight providing optimum comfort & protection. New comfort inner padding.
",,,"
		;
		;Sorry! We are not selling this product online right now. If you are interested to buy this product; please request for quote.",http://www.vinexshop.com/Admin/mm_bigger/1340604490_VINEX LEG GUARD-CLASSIC.jpg,Vinex Leg Guard - Classic
"
			  VLG-CLUB				","
Club cricket leg guards for practice. These leg guards are durable for maximum protection and agility while playing. New comfort inner padding.
",788,"Rs. 
			662","
		;
		;
		01 Pair		",http://www.vinexshop.com/Admin/mm_bigger/1340604453_VINEX LEG GUARD-CLUB.jpg,Vinex Leg Guard - Club
"
			  VLG-MTCH				","
Match cricket leg guards are light in weight providing optimum comfort and protection. New comfort inner padding.


",920,"Rs. 
			773","
		;
		;
		01 Pair		",http://www.vinexshop.com/Admin/mm_bigger/1340604357_VINEX LEG GUARD-MATCH.jpg,Vinex Leg Guard - Match
"
			  VLG-TEST				","
Test cricket leg guards give comfort and protection. These leg guards are light weighted. New comfort inner padding.


",1870,"Rs. 
			1572","
		;
		;
		01 Pair		",http://www.vinexshop.com/Admin/mm_bigger/1340604530_VINEX LEG GUARD-TEST.jpg,Vinex Leg Guard - Test
"
			  VLG-ULT				","
Ultralite cricket leg guards are favourite because they are ultra light and durable for maximum protection and agility while playing. New comfort inner padding.


",1045,"Rs. 
			861","
		;
		;
		01 Pair		",http://www.vinexshop.com/Admin/mm_bigger/1340604411_VINEX LEG GUARD-ULTRA LITE.jpg,Vinex Leg Guard - Ultra Lite
"
			  VPCS-ELT				","
,



",1090,"Rs. 
			763","
		;
		;
		Includes in Set: 3 x Stumps; 1 x Stumps Base; 2 x Bails; 1 x Tennis Ball and 1 x Bat (Size#5).		",http://www.vinexshop.com/Admin/mm_bigger/1397191954_Vinex Plastic Cricket Set- Elite.jpg,Vinex Plastic Cricket Set - Elite
"
			  VAB-REG				","
VINEX Regular SIT-UP Bench is an efficient way to exercise your whole body in the comfort of your home. Designed for sit-ups, abdominal and upper body workouts. It takes up little space so can carve you a perfect shape at any time and anywhere!,
,
,
,
",3259,"Rs. 
			2425.5","
		;
		;
				",http://www.vinexshop.com/Admin/mm_bigger/1312803575_Vinex Regular Sit - Up Bench.JPG,VINEX Regular SIT-UP Bench
"
			  VSTS-P100				","
,


",836,"Rs. 
			703","
		;
		;
				",http://www.vinexshop.com/Admin/mm_bigger/1340603459_VINEX STUMP SET-PREMIUM.jpg,Vinex Stump Set - Premium
"
			  VSTS-S100				","
Stumps set super comes with plastic stumps and a heavy rubber base. Includes 4 x Stumps, 1 x three stumps base, 1 x target stumps base and 2 x bails.


",1476,"Rs. 
			1241","
		;
		;
				",http://www.vinexshop.com/Admin/mm_bigger/1340603503_VINEX STUMP SET-SUPER.jpg,Vinex Stump Set - Super
"
			  VST-TSS100				","
,



",1188,"Rs. 
			999","
		;
		;
		TARGET STUMP STAND: 1pc		",http://www.vinexshop.com/Admin/mm_bigger/1316302578_Vinex Target Stump Stand.jpg,Vinex Target Stump Stand
"
			  VST-TS100				","

",1188,"Rs. 
			1045","
		;
		;
		TARGET STUMP: 1pc		",http://www.vinexshop.com/Admin/mm_bigger/1316302643_Vinex Target Stumps.jpg,Vinex Target Stumps
"
			  VTG-E100				","
Vinex Thigh Guard - EVA


",202,"Rs. 
			162","
		;
		;
		01 Pc.		",http://www.vinexshop.com/Admin/mm_bigger/1340604594_VINEX THEIGH GUARD-EVA.jpg,Vinex Thigh Guard - EVA
"
			  VTG-M100				","
Vinex Thigh Guard - Moulded


",158,"Rs. 
			133","
		;
		;
		01 Pc.		",http://www.vinexshop.com/Admin/mm_bigger/1340604699_VINEX THEIGH GAURD-MOULDED.jpg,Vinex Thigh Guard - Moulded
