Item Type,Category,Free Shipping,Brand Name,Bin Picking Number,Product Availability,Product Image Sort - 7,Product Image Sort - 6,Product Image Sort - 5,Product Code/SKU,Option Set,Product Image Sort - 2,Product Image Sort - 1,Product Image Description 1,Product Image Sort - 4,Retail Price,Product Image Sort - 3,Price,Product Description,Product Image Is Thumbnail 1,Current Stock,Sale Price,Track Inventory,Product Name,Product Image File -1,Product Image File -2,Product Image File -3,Product Image File -4,Product Image File -5,Product Image File -6,Product Image File -7
SKU,,,,2691335,,,,,IND2691335,,,,,,,,,,Y,10,,,[S]Size=UK 6,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,160590,2-7 Business  Days,7,6,5,IND160590,Adidas Men Blue Eyota M Sports Shoes,2,1,BuyAdidas Men Blue Eyota M Sports Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"2,999",3,"2,999",,Y,,,By Product,Adidas Men Blue Eyota M Sports Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-EYOTA-M-Sports-Shoes_585789a003aceb77065f91d4beff4bcf_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-EYOTA-M-Sports-Shoes_0bc46f7b347c94aefe300dd4c3b77f7b_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-EYOTA-M-Sports-Shoes_40ba3d7033eb8bd1233f82064574e4c8_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-EYOTA-M-Sports-Shoes_cef5177c01443301132d1789dcce8be6_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-EYOTA-M-Sports-Shoes_12d83411b08b7144258ac5c4d0418914_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-EYOTA-M-Sports-Shoes_6d0a3e621162bc2e3127a99d4305a156_images_mini.jpg"
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,516174,2-7 Business  Days,7,6,5,IND516174,Adidas Men White Eyota M Running Shoes,2,1,BuyAdidas Men White Eyota M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"2,999",3,"2,999",,Y,,,By Product,Adidas Men White Eyota M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Eyota-M-Running-Shoes_801a25853414d0e5ebfdf19294e17809_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Eyota-M-Running-Shoes_b339dc2f1447ce256fe47157ec05dc0f_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Eyota-M-Running-Shoes_745e9cdb90d152c2bad2e315420ad38b_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Eyota-M-Running-Shoes_9e55722cb72fb70f8f873baccaf47227_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Eyota-M-Running-Shoes_effdc1acdec3e924b43c07dd8d83d0d8_images_mini.jpg",
SKU,,,,1402282,,,,,IND1402282,,,,,,,,,,Y,62,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357600,,,,,IND1357600,,,,,,,,,,Y,39,,,[S]Size=UK 8,,,,,,,
SKU,,,,1357594,,,,,IND1357594,,,,,,,,,,Y,22,,,[S]Size=UK 8,,,,,,,
SKU,,,,1402302,,,,,IND1402302,,,,,,,,,,Y,153,,,[S]Size=UK 7,,,,,,,
SKU,,,,594249,,,,,IND594249,,,,,,,,,,Y,0,,,[S]Size=UK 6,,,,,,,
SKU,,,,2278692,,,,,IND2278692,,,,,,,,,,Y,44,,,[S]Size=UK 7,,,,,,,
SKU,,,,1402283,,,,,IND1402283,,,,,,,,,,Y,25,,,[S]Size=UK 11,,,,,,,
