Item Type,Category,Free Shipping,Brand Name,Bin Picking Number,Product Availability,Product Image Sort - 7,Product Image Sort - 6,Product Image Sort - 5,Product Code/SKU,Option Set,Product Image Sort - 2,Product Image Sort - 1,Product Image Description 1,Product Image Sort - 4,Retail Price,Product Image Sort - 3,Price,Product Description,Product Image Is Thumbnail 1,Current Stock,Sale Price,Track Inventory,Product Name,Product Image File -1,Product Image File -2,Product Image File -3,Product Image File -4,Product Image File -5,Product Image File -6,Product Image File -7
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406522,2-7 Business  Days,7,6,5,IND406522,Adidas Men Silver-Toned LITE PRIMO M Running Shoes,2,1,BuyAdidas Men Silver-Toned LITE PRIMO M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,599",3,"3,599",,Y,,,By Product,Adidas Men Silver-Toned LITE PRIMO M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Silver-Toned-LITE-PRIMO-M-Running-Shoes_a30987d9b3d35b545b6c348662d00837_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Silver-Toned-LITE-PRIMO-M-Running-Shoes_e22badaa8be1e8c86d51d747557ac55a_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Silver-Toned-LITE-PRIMO-M-Running-Shoes_66d5a22ca82a281cf7743b6abdb520b3_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Silver-Toned-LITE-PRIMO-M-Running-Shoes_a368ea33cbef4b22cb99376ae8d51163_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Silver-Toned-LITE-PRIMO-M-Running-Shoes_ca71d4161d38093fb36157e970b5e6dc_images_mini.jpg",
SKU,,,,1357650,,,,,IND1357650,,,,,,,,,,Y,3,,,[S]Size=UK 12,,,,,,,
SKU,,,,2278347,,,,,IND2278347,,,,,,,,,,Y,27,,,[S]Size=UK 12,,,,,,,
SKU,,,,1357869,,,,,IND1357869,,,,,,,,,,Y,15,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357870,,,,,IND1357870,,,,,,,,,,Y,4,,,[S]Size=UK 12,,,,,,,
SKU,,,,1402234,,,,,IND1402234,,,,,,,,,,Y,0,,,[S]Size=UK 7,,,,,,,
SKU,,,,1357824,,,,,IND1357824,,,,,,,,,,Y,4,,,[S]Size=UK 7,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,420404,2-7 Business  Days,7,6,5,IND420404,Adidas Men Grey Element Soul 2 M Running Shoes,2,1,BuyAdidas Men Grey Element Soul 2 M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"4,599",3,"4,599",,Y,,"3,679",By Product,Adidas Men Grey Element Soul 2 M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Grey-Element-Soul-2-M-Running-Shoes_2d937369faf1131f7273ff40c622d3a8_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Grey-Element-Soul-2-M-Running-Shoes_34f257ec7de759a4a7eff551154fadef_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Grey-Element-Soul-2-M-Running-Shoes_3e0a6b395f5d7811257724590e94e616_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Grey-Element-Soul-2-M-Running-Shoes_2aebcf38b490dc0d219d681130ad75ee_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Grey-Element-Soul-2-M-Running-Shoes_604f5702d0e60a8bcf1885f6da0660b7_images_mini.jpg",
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,516160,2-7 Business  Days,7,6,5,IND516160,Adidas Men Black & Red Hachi M Running Shoes,2,1,BuyAdidas Men Black & Red Hachi M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,599",3,"3,599",,Y,,,By Product,Adidas Men Black & Red Hachi M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_7392f8700e8bc8f46f9a62f67f75c26b_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_bafe100e2467b8a51b4a902f894969c1_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_da2859aceb6b530ab1f878b8d27238f7_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_880f8a3c69d428b91af68002edd043ae_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_708f32f7632fff5a04fe23f510e60812_images_mini.jpg",
SKU,,,,1402235,,,,,IND1402235,,,,,,,,,,Y,4,,,[S]Size=UK 8,,,,,,,
SKU,,,,1402236,,,,,IND1402236,,,,,,,,,,Y,13,,,[S]Size=UK 9,,,,,,,
SKU,,,,1402237,,,,,IND1402237,,,,,,,,,,Y,4,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357825,,,,,IND1357825,,,,,,,,,,Y,51,,,[S]Size=UK 8,,,,,,,
SKU,,,,2964951,,,,,IND2964951,,,,,,,,,,Y,0,,,[S]Size=UK 6,,,,,,,
SKU,,,,2278470,,,,,IND2278470,,,,,,,,,,Y,44,,,[S]Size=UK 7,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,308428,2-7 Business  Days,7,6,5,IND308428,Adidas Men 22YDS Trainer 2 White Sports Shoes,2,1,BuyAdidas Men 22YDS Trainer 2 White Sports Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,699",3,"3,699",,Y,,,By Product,Adidas Men 22YDS Trainer 2 White Sports Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-22YDS-Trainer-2-White-Sports-Shoes_53c96aa67306397e8d9e5b92915c82de_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-22YDS-Trainer-2-White-Sports-Shoes_48747c54f175c9b80536fab90a063a39_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-22YDS-Trainer-2-White-Sports-Shoes_d1fc5835b83ed590eb7e5d4054da989a_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-22YDS-Trainer-2-White-Sports-Shoes_ac6c025f36cc43d8036c9af68591ab65_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-22YDS-Trainer-2-White-Sports-Shoes_220cd8b6751c72f6b6a5fe397b4d8d7a_images_mini.jpg",
SKU,,,,1402238,,,,,IND1402238,,,,,,,,,,Y,7,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357826,,,,,IND1357826,,,,,,,,,,Y,36,,,[S]Size=UK 9,,,,,,,
SKU,,,,1402240,,,,,IND1402240,,,,,,,,,,Y,0,,,[S]Size=UK 7,,,,,,,
SKU,,,,2278473,,,,,IND2278473,,,,,,,,,,Y,109,,,[S]Size=UK 8,,,,,,,
SKU,,,,1028605,,,,,IND1028605,,,,,,,,,,Y,0,,,[S]Size=UK 6,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,516157,2-7 Business  Days,7,6,5,IND516157,Adidas Men Navy HACHI M Running Shoes,2,1,BuyAdidas Men Navy HACHI M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,599",3,"3,599",,Y,,,By Product,Adidas Men Navy HACHI M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_a45a96a383f6d787001dfd5e87acaabe_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_1059759eb05f73327e932973779feb5f_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_d1b7640807e50f38a6be65db43cd0522_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_50466f42f5481e50f013cd2b1b215783_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_eff0f8a263c4e267acae8cad09426c26_images_mini.jpg",
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406531,2-7 Business  Days,7,6,5,IND406531,Adidas Men Navy Cross Court Tennis Shoes,2,1,BuyAdidas Men Navy Cross Court Tennis Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,699",3,"3,699",,Y,,,By Product,Adidas Men Navy Cross Court Tennis Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Cross-Court-Tennis-Shoes_8b4a8b60049f5afbae8d001a9d432ea5_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Cross-Court-Tennis-Shoes_a7e2eab858936f6c521a66facbadd5ca_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Cross-Court-Tennis-Shoes_ef51aec8b7d36de268bb4d633bcf6e04_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Cross-Court-Tennis-Shoes_6422425abcd462509629e80092a9585d_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Navy-Cross-Court-Tennis-Shoes_519d92adb95b63aa8a57af70a00827ea_images_mini.jpg",
SKU,,,,1402239,,,,,IND1402239,,,,,,,,,,Y,3,,,[S]Size=UK 12,,,,,,,
SKU,,,,1357827,,,,,IND1357827,,,,,,,,,,Y,50,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357828,,,,,IND1357828,,,,,,,,,,Y,16,,,[S]Size=UK 11,,,,,,,
SKU,,,,1402241,,,,,IND1402241,,,,,,,,,,Y,22,,,[S]Size=UK 8,,,,,,,
SKU,,,,2278476,,,,,IND2278476,,,,,,,,,,Y,71,,,[S]Size=UK 9,,,,,,,
SKU,,,,1028606,,,,,IND1028606,,,,,,,,,,Y,0,,,[S]Size=UK 7,,,,,,,
SKU,,,,2278425,,,,,IND2278425,,,,,,,,,,Y,11,,,[S]Size=UK 7,,,,,,,
SKU,,,,1357877,,,,,IND1357877,,,,,,,,,,Y,9,,,[S]Size=UK 7,,,,,,,
SKU,,,,1357829,,,,,IND1357829,,,,,,,,,,Y,6,,,[S]Size=UK 12,,,,,,,
SKU,,,,1402242,,,,,IND1402242,,,,,,,,,,Y,23,,,[S]Size=UK 9,,,,,,,
SKU,,,,1402243,,,,,IND1402243,,,,,,,,,,Y,5,,,[S]Size=UK 10,,,,,,,
SKU,,,,2278482,,,,,IND2278482,,,,,,,,,,Y,63,,,[S]Size=UK 10,,,,,,,
SKU,,,,1028607,,,,,IND1028607,,,,,,,,,,Y,0,,,[S]Size=UK 8,,,,,,,
SKU,,,,2278428,,,,,IND2278428,,,,,,,,,,Y,28,,,[S]Size=UK 8,,,,,,,
SKU,,,,1357878,,,,,IND1357878,,,,,,,,,,Y,10,,,[S]Size=UK 8,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,516187,2-7 Business  Days,7,6,5,IND516187,Adidas Men Yellow F10 FG (Messi) Football Shoes,2,1,BuyAdidas Men Yellow F10 FG (Messi) Football Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"5,299",3,"5,299",,Y,,,By Product,Adidas Men Yellow F10 FG (Messi) Football Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Yellow-F10-FG-MESSI-Football-Shoes_08d796b842fc80e88d998950c610e117_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Yellow-F10-FG-MESSI-Football-Shoes_5c2c1d282365bf81c3aad43a89fa8d78_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Yellow-F10-FG-MESSI-Football-Shoes_a72f45cd515a79b7b397b61f543bb89b_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Yellow-F10-FG-MESSI-Football-Shoes_dd4d222edf43007e0f05bdf0ab9b52a2_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Yellow-F10-FG-MESSI-Football-Shoes_ce6e92b37ae89788e2c505302179d3b7_images_mini.jpg",
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,420420,2-7 Business  Days,7,6,5,IND420420,Adidas Men White Court Blazer Tennis Shoes,2,1,BuyAdidas Men White Court Blazer Tennis Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"4,299",3,"4,299",,Y,,,By Product,Adidas Men White Court Blazer Tennis Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-COURT-BLAZER-Tennis-Shoes_ac34894e4075975944767fc714885ac4_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-COURT-BLAZER-Tennis-Shoes_ad1c26961d53a4e9c45a0cedd3bd7510_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-COURT-BLAZER-Tennis-Shoes_b1c7aeaf1cf33600ae4bc320bee9ba60_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-COURT-BLAZER-Tennis-Shoes_09fbc03ec1e6c6cd5f45a18e11ecaa1a_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-COURT-BLAZER-Tennis-Shoes_cd814966b459cabbb6d99b33313d79cf_images_mini.jpg",
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406530,2-7 Business  Days,7,6,5,IND406530,Adidas Men White Cross Court Tennis Shoes,2,1,BuyAdidas Men White Cross Court Tennis Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,699",3,"3,699",,Y,,,By Product,Adidas Men White Cross Court Tennis Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Cross-Court-Tennis-Shoes_42640caeba39c4285f11f614f62048da_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Cross-Court-Tennis-Shoes_310311bec3c66a1f0c8a63e74d97d67b_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Cross-Court-Tennis-Shoes_4e429b93dc3c65a66d54be10df49d798_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Cross-Court-Tennis-Shoes_23cfbcea3eaa672c1ceef9aa49dd729b_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-White-Cross-Court-Tennis-Shoes_403c62624447a90ca24c78d087b735b8_images_mini.jpg",
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,545662,2-7 Business  Days,7,6,5,IND545662,Adidas Men White & Black Cross 'em 3 Leather Basketball Shoes,2,1,BuyAdidas Men White & Black Cross 'em 3 Leather Basketball Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"5,999",3,"5,999",,Y,,,By Product,Adidas Men White & Black Cross 'em 3 Leather Basketball Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_e207e7c1d5b690020ec4c0c466dfe4ab_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_5622a61ebba71cf66381f9d9f4ea1a66_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_203175a9c0566c438dc05a72f26fd42a_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_5bb225d1461b8a5df6d253d5e280350f_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Sandals_853c4686c27b9ba8f162e9a1c823f1da_images_mini.jpg",
SKU,,,,1402244,,,,,IND1402244,,,,,,,,,,Y,13,,,[S]Size=UK 11,,,,,,,
SKU,,,,2278485,,,,,IND2278485,,,,,,,,,,Y,27,,,[S]Size=UK 11,,,,,,,
SKU,,,,1028608,,,,,IND1028608,,,,,,,,,,Y,23,,,[S]Size=UK 9,,,,,,,
SKU,,,,2278434,,,,,IND2278434,,,,,,,,,,Y,16,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357879,,,,,IND1357879,,,,,,,,,,Y,0,,,[S]Size=UK 9,,,,,,,
SKU,,,,2278896,,,,,IND2278896,,,,,,,,,,Y,4,,,[S]Size=UK 7,,,,,,,
SKU,,,,1402325,,,,,IND1402325,,,,,,,,,,Y,1,,,[S]Size=UK 7,,,,,,,
SKU,,,,1357871,,,,,IND1357871,,,,,,,,,,Y,7,,,[S]Size=UK 7,,,,,,,
SKU,,,,2578887,,,,,IND2578887,,,,,,,,,,Y,7,,,[S]Size=UK 7,,,,,,,
SKU,,,,1402245,,,,,IND1402245,,,,,,,,,,Y,3,,,[S]Size=UK 12,,,,,,,
SKU,,,,2278488,,,,,IND2278488,,,,,,,,,,Y,26,,,[S]Size=UK 12,,,,,,,
SKU,,,,1028609,,,,,IND1028609,,,,,,,,,,Y,6,,,[S]Size=UK 10,,,,,,,
SKU,,,,2278437,,,,,IND2278437,,,,,,,,,,Y,14,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357880,,,,,IND1357880,,,,,,,,,,Y,9,,,[S]Size=UK 10,,,,,,,
SKU,,,,2278899,,,,,IND2278899,,,,,,,,,,Y,7,,,[S]Size=UK 8,,,,,,,
SKU,,,,1402326,,,,,IND1402326,,,,,,,,,,Y,4,,,[S]Size=UK 8,,,,,,,
SKU,,,,1357872,,,,,IND1357872,,,,,,,,,,Y,2,,,[S]Size=UK 8,,,,,,,
SKU,,,,2578890,,,,,IND2578890,,,,,,,,,,Y,21,,,[S]Size=UK 8,,,,,,,
SKU,,,,1028610,,,,,IND1028610,,,,,,,,,,Y,6,,,[S]Size=UK 11,,,,,,,
SKU,,,,1028611,,,,,IND1028611,,,,,,,,,,Y,0,,,[S]Size=UK 12,,,,,,,
SKU,,,,2278440,,,,,IND2278440,,,,,,,,,,Y,5,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357881,,,,,IND1357881,,,,,,,,,,Y,5,,,[S]Size=UK 11,,,,,,,
SKU,,,,2278902,,,,,IND2278902,,,,,,,,,,Y,1,,,[S]Size=UK 9,,,,,,,
SKU,,,,1402327,,,,,IND1402327,,,,,,,,,,Y,13,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357873,,,,,IND1357873,,,,,,,,,,Y,4,,,[S]Size=UK 9,,,,,,,
SKU,,,,2578893,,,,,IND2578893,,,,,,,,,,Y,57,,,[S]Size=UK 9,,,,,,,
SKU,,,,2278443,,,,,IND2278443,,,,,,,,,,Y,5,,,[S]Size=UK 12,,,,,,,
SKU,,,,1357882,,,,,IND1357882,,,,,,,,,,Y,4,,,[S]Size=UK 12,,,,,,,
SKU,,,,2278905,,,,,IND2278905,,,,,,,,,,Y,3,,,[S]Size=UK 10,,,,,,,
SKU,,,,2278911,,,,,IND2278911,,,,,,,,,,Y,1,,,[S]Size=UK 11,,,,,,,
SKU,,,,1402328,,,,,IND1402328,,,,,,,,,,Y,4,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357874,,,,,IND1357874,,,,,,,,,,Y,19,,,[S]Size=UK 10,,,,,,,
SKU,,,,2578878,,,,,IND2578878,,,,,,,,,,Y,47,,,[S]Size=UK 10,,,,,,,
SKU,,,,1402329,,,,,IND1402329,,,,,,,,,,Y,0,,,[S]Size=UK 11,,,,,,,
SKU,,,,1402330,,,,,IND1402330,,,,,,,,,,Y,5,,,[S]Size=UK 12,,,,,,,
SKU,,,,1357875,,,,,IND1357875,,,,,,,,,,Y,7,,,[S]Size=UK 11,,,,,,,
SKU,,,,2578881,,,,,IND2578881,,,,,,,,,,Y,36,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357876,,,,,IND1357876,,,,,,,,,,Y,5,,,[S]Size=UK 12,,,,,,,
SKU,,,,2578884,,,,,IND2578884,,,,,,,,,,Y,28,,,[S]Size=UK 12,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406499,2-7 Business  Days,7,6,5,IND406499,Adidas Men Blue & Navy LITE PACER 2 M Running Shoes,2,1,BuyAdidas Men Blue & Navy LITE PACER 2 M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"5,499",3,"5,499",,Y,,,By Product,Adidas Men Blue & Navy LITE PACER 2 M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Addidas-Men-Blue---Navy-LITE-PACER-2-M-Running-Shoes_49ecc7402b1e61a3e5163586695bb1a5_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Addidas-Men-Blue---Navy-LITE-PACER-2-M-Running-Shoes_927aecbb4e69ef2157ae016ee8e7078f_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Addidas-Men-Blue---Navy-LITE-PACER-2-M-Running-Shoes_58646f98f27cb069fb8a200485656137_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Addidas-Men-Blue---Navy-LITE-PACER-2-M-Running-Shoes_fc70c00fe81f7261bc55666a06c321a8_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Addidas-Men-Blue---Navy-LITE-PACER-2-M-Running-Shoes_b9657d2b06c3a0d60f73911bfb6000a4_images_mini.jpg",
SKU,,,,1357691,,,,,IND1357691,,,,,,,,,,Y,6,,,[S]Size=UK 7,,,,,,,
SKU,,,,1357692,,,,,IND1357692,,,,,,,,,,Y,9,,,[S]Size=UK 8,,,,,,,
SKU,,,,1357693,,,,,IND1357693,,,,,,,,,,Y,20,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357694,,,,,IND1357694,,,,,,,,,,Y,12,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357695,,,,,IND1357695,,,,,,,,,,Y,5,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357696,,,,,IND1357696,,,,,,,,,,Y,6,,,[S]Size=UK 12,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406508,2-7 Business  Days,7,6,5,IND406508,Adidas Men Black Lite Pacer 2 M Running Shoes,2,1,BuyAdidas Men Black Lite Pacer 2 M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"5,499",3,"5,499",,Y,,,By Product,Adidas Men Black Lite Pacer 2 M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Lite-Pacer-2-M-Running-Shoes_78cbefe760ce6855f591829c7e970050_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Lite-Pacer-2-M-Running-Shoes_7e78dc73011f85cb1c0037f95c237d3d_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Lite-Pacer-2-M-Running-Shoes_8ccb5e62fcaeb11bb6be8d0ef701ad92_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Lite-Pacer-2-M-Running-Shoes_decac2c366be57d1305cd73195287774_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Lite-Pacer-2-M-Running-Shoes_e9db1c3ea1017d9e9e631720ff132818_images_mini.jpg",
SKU,,,,1357743,,,,,IND1357743,,,,,,,,,,Y,9,,,[S]Size=UK 7,,,,,,,
SKU,,,,1357744,,,,,IND1357744,,,,,,,,,,Y,12,,,[S]Size=UK 8,,,,,,,
SKU,,,,1357745,,,,,IND1357745,,,,,,,,,,Y,24,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357746,,,,,IND1357746,,,,,,,,,,Y,15,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357747,,,,,IND1357747,,,,,,,,,,Y,6,,,[S]Size=UK 11,,,,,,,
SKU,,,,1357748,,,,,IND1357748,,,,,,,,,,Y,8,,,[S]Size=UK 12,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,545665,2-7 Business  Days,7,6,5,IND545665,Adidas Men Navy Isolation 2 Basketball Shoes,2,1,BuyAdidas Men Navy Isolation 2 Basketball Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"4,999",3,"4,999",,Y,,,By Product,Adidas Men Navy Isolation 2 Basketball Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_2663050298ba2eb9492fd1619b8acf89_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_3e4e3db6ddbcab51ad8fdcfe104ebc77_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_a88e9c3e210a0a08210999f26ea2e3ed_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_acfc6cc5b285095693218939997ee111_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Sports-Shoes_42171cdfc5274120654b9eaec7286a8e_images_mini.jpg",
SKU,,,,2691374,,,,,IND2691374,,,,,,,,,,Y,2,,,[S]Size=UK 6,,,,,,,
