Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,MTB Chainstay Protector- Small- 253x114x94mm,GIANT, 950, 950,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN471100,STARKENN,BIKE GEAR,MTB Chainstay Protector- Small- 253x114x94mm,8-13 Working Days,100,N,-250,Get your hands on the MTB Chainstay Protector- Small- 253x114x94mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the MTB Chainstay Protector- Small- 253x114x94mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy MTB Chainstay Protector- Small- 253x114x94mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic306201455841.jpg,
Product,SS Slick Derailleur Cable- - 1.1x2000mm,GIANT, 9760, 9760,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN210904,STARKENN,BIKE GEAR,SS Slick Derailleur Cable- - 1.1x2000mm,8-13 Working Days,100,N,-250,Get your hands on the SS Slick Derailleur Cable- - 1.1x2000mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the SS Slick Derailleur Cable- - 1.1x2000mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy SS Slick Derailleur Cable- - 1.1x2000mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic306201454014.jpg,
Product,MTB Bulk Brake Cable- 1.5x1700mm,GIANT, 7330, 7330,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN210901,STARKENN,BIKE GEAR,MTB Bulk Brake Cable- 1.5x1700mm,8-13 Working Days,100,N,-250,Get your hands on the MTB Bulk Brake Cable- 1.5x1700mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the MTB Bulk Brake Cable- 1.5x1700mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy MTB Bulk Brake Cable- 1.5x1700mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic306201453336.jpg,
Product,IO1.0-F160,Tektro, 210, 210,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNIO1.0-F160,STARKENN,SERVICE GEAR,IO1.0-F160,8-13 Working Days,100,N,-250,Get your hands on the IO1.0-F160. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the IO1.0-F160 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy IO1.0-F160 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic276201410311.jpg,
Product,TR160-4,Tektro, 790, 790,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNTR160-4,STARKENN,SERVICE GEAR,TR160-4,8-13 Working Days,100,N,-250,Get your hands on the TR160-4. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the TR160-4 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy TR160-4 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic2762014101811.jpg,
Product,Tool Shed 11- Black / Gray,Bicisupport, 1570, 1570,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN950823,STARKENN,SERVICE GEAR,Tool Shed 11- Black / Gray,8-13 Working Days,100,N,-250,Get your hands on the Tool Shed 11- Black / Gray. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Tool Shed 11- Black / Gray Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Tool Shed 11- Black / Gray Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic77201474121.jpg,
Product,Realpower,Elite, 267350, 267350,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView">The combination of electronics; computer science and mechanics makes your training complete</span>;<ul id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel2_blFeatures" style="line-height:30px">					<li>Resistance unit with exclusive electromagnetic powderdrive unit.</li><li>Can realistically simulate slopes of up to 20%; for faithfully reproducing even the toughest stages of the Tour de France; Giro d’Italia and Vuelta Tour of Spain</li><li>250% larger flywheel for smooth pedalling even at the highest resistance levels</li><li>Wireless touchpad console</li><li>Elastogel roller with 45mm diameter</li><li>The new software Release 7.0* allows you to train with:</li><li>Video Races; Training programmes; Conconi Test; Training Test; Internet Competition; Google Maps Features; Import GPS Data</li><li>The “how-to” function simplifies the use of the various programme functions</li><li>Fast fixing system: the bicycle can be clamped and released with a single quick action</li><li>Ritmo feet with adjustment</li>				</ul>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes">Elastogel roller with 45mm diameter</span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNBAR526295,STARKENN,BIKE GEAR,Realpower,8-13 Working Days,100,N,-250,Get your hands on the Realpower. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Realpower Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Realpower Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic247201310523.jpg,
SKU,[S]Size= Elastogel roller with 45mm diameter,,,,,,STARKENNBAR526295Elastogelrollerwith45mmdiameter,STARKENN,,,,100
Product,25g Threaded CO2 Cartridge,Topeak, 1570, 1570,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView">25g threaded CO2 cartridge (2 pieces). For Topeak HybridRocket MT and AirBooster CO2 Inflators series.</span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNTOP8117,STARKENN,SERVICE GEAR,25g Threaded CO2 Cartridge,8-13 Working Days,100,N,-250,Get your hands on the 25g Threaded CO2 Cartridge. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the 25g Threaded CO2 Cartridge Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy 25g Threaded CO2 Cartridge Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic1572013114742.jpg,
Product,Tire Patch Kit,GIANT, 200, 200,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN650701,STARKENN,SERVICE GEAR,Tire Patch Kit,8-13 Working Days,100,N,-250,Get your hands on the Tire Patch Kit. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Tire Patch Kit Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Tire Patch Kit Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic3720145569.jpg,
