category,specification,MRP,imgurl,productname
HardTail,"


	Size: 
	 
18""
 



	Brakes: 
	 

Steel ""V"" Brake, PP Levers

 

 



	Frame: 
	 

Steel Frame with Integrated Carrier

 

 



	Front Suspension: 
	 

Suspension fork

 

 





	Tyre: 
	 

SRI 26 X 2.125""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 8 pcs

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Steel,22.2mm

 

 






	Seat Post: 
	 

Steel 25.4 X 300mm

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 








	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Seat post with QR

 

 




 ",7990,http://kohinoorsalesagency.com/showImage.ashx?uid=19,Plus 1
BMX,"


	Size: 
	 
test
 



	Brakes: 
	 

test

 

 



	Frame: 
	 

TEST

 

 



	Front Suspension: 
	 

test

 

 



	Rear Suspension: 
	 

test

 

 



	Gear: 
	 

test

 

 



	Tyre: 
	 

test

 

 



	Wheel: 
	 

test

 

 



 


	Fork: 
	 

test

 

 




	Headset: 
	 

test

 

 






	Handle Bar: 
	 

test

 

 





	Stem: 
	 

test

 

 






	Seat Post: 
	 

test

 

 






	Front Derailleurs: 
	 

test

 

 



	Rear Derailleurs: 
	 

test

 

 




	Pedals: 
	 

test

 

 



	BB Set: 
	 

test

 

 




	Shifters: 
	 

test

 

 






	Crank Set: 
	 

test

 

 




	Wheel Set: 
	 

test

 

 




	Weight: 
	 

test

 

 




	Extras: 
	 

test

 

 




 ",100,http://kohinoorsalesagency.com/showImage.ashx?uid=55,test
BMX,"


	Size: 
	 
test
 



	Brakes: 
	 

test

 

 



	Frame: 
	 

TEST

 

 



	Front Suspension: 
	 

test

 

 



	Rear Suspension: 
	 

test

 

 



	Gear: 
	 

test

 

 



	Tyre: 
	 

test

 

 



	Wheel: 
	 

test

 

 



 


	Fork: 
	 

test

 

 




	Headset: 
	 

test

 

 






	Handle Bar: 
	 

test

 

 





	Stem: 
	 

test

 

 






	Seat Post: 
	 

test

 

 






	Front Derailleurs: 
	 

test

 

 



	Rear Derailleurs: 
	 

test

 

 




	Pedals: 
	 

test

 

 



	BB Set: 
	 

test

 

 




	Shifters: 
	 

test

 

 






	Crank Set: 
	 

test

 

 




	Wheel Set: 
	 

test

 

 




	Weight: 
	 

test

 

 




	Extras: 
	 

test

 

 




 ",100,http://kohinoorsalesagency.com/showImage.ashx?uid=54,test
HardTail,"


	Size: 
	 
17""
 



	Brakes: 
	 

Steel ""V"" Brake, Alloy Levers

 

 



	Frame: 
	 

Alloy Hardtail Ladies

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 





	Tyre: 
	 

26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ20 14-28T, 6 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Alloy 27.2 X 250mm

 

 







	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 




	Shifters: 
	 

SHIMANO RS35, 6 speed Grip

 

 






	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Seat post with QR

 

 




 ",12180,http://kohinoorsalesagency.com/showImage.ashx?uid=60,Tailwind
BMX,"


	Size: 
	 
11""
 



	Brakes: 
	 

Steel ""V"" Brake w/Alloy Lever

 

 



	Frame: 
	 

Steel BMX

 

 






	Tyre: 
	 

Wanda BMX 20 X 2.125""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 10 pcs

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Alloy, 22.2mm

 

 






	Seat Post: 
	 

Steel, 25.4 X 250mm Bend Type

 

 
















	Crank Set: 
	 

Steel 1 piece, 39T X 170MM

 

 




	Wheel Set: 
	 

Alloy 48H Rims

 

 








 ",8660,http://kohinoorsalesagency.com/showImage.ashx?uid=5,Matrix
HardTail,"


	Size: 
	 
18""
 



	Brakes: 
	 

Steel ""V"" Brake, PP Levers

 

 



	Frame: 
	 

Steel Hardtail

 

 



	Front Suspension: 
	 

Suspension fork

 

 





	Tyre: 
	 

26 X 2.125""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 8pcs

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Steel,22.2mm

 

 






	Seat Post: 
	 

Steel 25.4 X 300mm

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 








	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",9290,http://kohinoorsalesagency.com/showImage.ashx?uid=15,Axxis
HardTail,"


	Size: 
	 
14""
 



	Brakes: 
	 

Alloy ""V"" w/Shimano EF51 levers

 

 



	Frame: 
	 

Steel MTB Oversized Hardtail

 

 



	Front Suspension: 
	 

ZOOM Suspension fork, 60mm

 

 





	Tyre: 
	 

KENDA 26 X 2.35""

 

 



	Wheel: 
	 

SHIMANO TZ31 14-34T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" Threadless

 

 






	Handle Bar: 
	 

ZOOM 620mm,30mm rise

 

 





	Stem: 
	 

ZOOM, 28.6mm

 

 






	Seat Post: 
	 

Steel 25.4 X 350mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX50

 

 



	Rear Derailleurs: 
	 

SHIMANO TX51D

 

 




	Pedals: 
	 

WELLGO nylon platform

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 7 Speed

 

 






	Crank Set: 
	 

PROWHEEL 24/34/42,170mm

 

 




	Wheel Set: 
	 

Alloy Double wall 36H Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",16990,http://kohinoorsalesagency.com/showImage.ashx?uid=59,MTV Dirt
HardTail,"


	Size: 
	 
18""
 



	Brakes: 
	 

Steel ""V"" Brake, Alloy Levers

 

 



	Frame: 
	 

Alloy Hardtail

 

 



	Front Suspension: 
	 

ZOOM Front suspension fork, 50mm

 

 





	Tyre: 
	 

Tire 26 X 2.1""

 

 



	Wheel: 
	 

SHIMANO TZ20 14-28T, 6 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 







	Rear Derailleurs: 
	 

SHIMANO TZ50

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 




	Shifters: 
	 

SHIMANO RS35, 6 speed

 

 






	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Seat post with QR

 

 




 ",12590,http://kohinoorsalesagency.com/showImage.ashx?uid=18,Tempest
HardTail,"


	Size: 
	 
16.5""
 



	Brakes: 
	 

Steel ""V"" Brake, Alloy Levers

 

 



	Frame: 
	 

Alloy Folding

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 





	Tyre: 
	 

26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ20 14-28T, 6 speed

 

 



 




	Headset: 
	 

Steel, 8Pcs.

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy adjustable

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 







	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

VP Folding

 

 



	BB Set: 
	 

Steel Semi cartridge

 

 




	Shifters: 
	 

SHIMANO RS35, 6 speed Grip

 

 






	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Seat post with QR

 

 




 ",14480,http://kohinoorsalesagency.com/showImage.ashx?uid=61,Kompac AL (Folding)
BMX,"


	Size: 
	 
10""
 



	Brakes: 
	 

Alloy ""U"" Brake w/Alloy Lever

 

 



	Frame: 
	 

Steel BMX

 

 






	Tyre: 
	 

Wanda BMX 20 X 2.125""

 

 



	Wheel: 
	 

DNP 14T

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Zoom Alloy, 28.6mm 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 250mm

 

 
















	Crank Set: 
	 

Steel 3 pieces, 33T X 170MM

 

 




	Wheel Set: 
	 

Steel 36H Rims

 

 








 ",10890,http://kohinoorsalesagency.com/showImage.ashx?uid=6,Skull
Full Suspension,"


	Size: 
	 
18""
 



	Brakes: 
	 

Steel Caliper Brake w/PP Levers

 

 



	Frame: 
	 

Steel Oversized

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 



	Rear Suspension: 
	 

Steel, 750LB

 

 




	Tyre: 
	 

26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ20 14-28T, 6 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Steel 25.4 X 250mm

 

 







	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 




	Shifters: 
	 

SHIMANO RS35, 6 speed Grip

 

 






	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Seat post with QR

 

 




 ",11410,http://kohinoorsalesagency.com/showImage.ashx?uid=11,Nitro 6 Speed
HardTail,"


	Size: 
	 
18"" &amp; 19.5""
 



	Brakes: 
	 

Steel ""V"" Brake w/Shimano levers

 

 



	Frame: 
	 

Alloy Hardtail

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 





	Tyre: 
	 

26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 640mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51

 

 



	Rear Derailleurs: 
	 

SHIMANO TX35

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 




	Shifters: 
	 

SHIMANO EF51, 7 Speed

 

 






	Crank Set: 
	 

Steel 24/34/42,170mm

 

 








	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",13990,http://kohinoorsalesagency.com/showImage.ashx?uid=16,Cyclone
Full Suspension,"


	Size: 
	 
18""
 



	Brakes: 
	 

Steel ""V"" Brake w/Shimano levers

 

 



	Frame: 
	 

Steel Full Suspension

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 



	Rear Suspension: 
	 

Steel, 750LB

 

 




	Tyre: 
	 

26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Steel 28.6 X 250mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51

 

 



	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 




	Shifters: 
	 

SHIMANO EF51, 7 Speed

 

 






	Crank Set: 
	 

Steel 24/34/42,170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",12900,http://kohinoorsalesagency.com/showImage.ashx?uid=12,Dart 2.6 21 Speed
HardTail,"


	Size: 
	 
18"", 19.5"" &amp; 21""
 



	Brakes: 
	 

Tektro, mechanical disc w/Shimano levers

 

 



	Frame: 
	 

Alloy Hardtail MTB

 

 



	Front Suspension: 
	 

SR Suntour XCT w/mechanical lockout,100mm

 

 





	Tyre: 
	 

KENDA 26 X 2.1""

 

 



	Wheel: 
	 

SHIMANO CS-HG31 11-32T, 8 speed

 

 



 




	Headset: 
	 

FP 1-1/8"" threadless,semi integrated

 

 






	Handle Bar: 
	 

ZOOM Alloy 660mm,31.8mm 20mm rise

 

 





	Stem: 
	 

ZOOM Alloy, 28.6mm

 

 






	Seat Post: 
	 

ZOOM Alloy 30.4 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX50

 

 



	Rear Derailleurs: 
	 

SHIMANO M360 Acera

 

 




	Pedals: 
	 

WELLGO nylon platform

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 8 speed

 

 






	Crank Set: 
	 

PROWHEEL 24/34/42,170mm

 

 




	Wheel Set: 
	 

Alloy 32H Double Wall Rims

 

 






	Extras: 
	 

Front/Rear Wheel &amp; Seat post with QR

 

 




 ",23590,http://kohinoorsalesagency.com/showImage.ashx?uid=62,Sniper D
Full Suspension,"


	Size: 
	 
18""
 



	Brakes: 
	 

Steel ""V"" Brake w/Shimano levers

 

 



	Frame: 
	 

Steel Full Suspension

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 



	Rear Suspension: 
	 

Steel, 750LB

 

 




	Tyre: 
	 

26 X 2.10""

 

 




 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Steel 28.6 X 250mm

 

 







	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 




	Shifters: 
	 

SHIMANO RS35, 6 speed Grip

 

 






	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Seat post with QR

 

 




 ",11390,http://kohinoorsalesagency.com/showImage.ashx?uid=9,Dart 2.6 6 Speed
Full Suspension,"


	Size: 
	 
18.5""
 



	Brakes: 
	 

Steel ""V"" Brake w/Shimano levers

 

 



	Frame: 
	 

Steel Full Suspension

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 



	Rear Suspension: 
	 

Steel, 750LB

 

 




	Tyre: 
	 

26 X 2.125""

 

 



	Wheel: 
	 

SHIMANO TZ20 14-28T, 6 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Steel 28.6 X 250mm

 

 







	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 pcs.

 

 




	Shifters: 
	 

SHIMANO RS35, 6 speed Grip

 

 






	Crank Set: 
	 

Steel 40T, 170mm

 

 








	Extras: 
	 

Seat post with QR

 

 




 ",12270,http://kohinoorsalesagency.com/showImage.ashx?uid=57,MTV Smoke
Full Suspension,"


	Size: 
	 
17.5"", 19.5""
 



	Brakes: 
	 

TEKTRO F/R Disc w/Shimano EF51 levers

 

 



	Frame: 
	 

Alloy Full Suspension

 

 



	Front Suspension: 
	 

SR Suntour Suspension fork, 63m

 

 



	Rear Suspension: 
	 

KS-261,Steel 750LB

 

 




	Tyre: 
	 

KENDA 26 X 2.1""

 

 



	Wheel: 
	 

SHIMANO TZ31 14-34T, 7 speed

 

 



 




	Headset: 
	 

VP Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

ZOOM Alloy 640mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Alloy 30.4 X 350mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX50

 

 



	Rear Derailleurs: 
	 

SHIMANO ALTUS M310 DL

 

 




	Pedals: 
	 

WELLGO Alloy platform

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 7 speed

 

 








	Wheel Set: 
	 

Alloy 36H Double Wall Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",24170,http://kohinoorsalesagency.com/showImage.ashx?uid=8,Colorado
,,750,http://kohinoorsalesagency.com/showImageac.ashx?uid=7,Bontrager- Hanble Bar Grip - Satellite Plus Hybrid
,,550,http://kohinoorsalesagency.com/showImageac.ashx?uid=6,Firefox- Bicycle Knee & Elbow Pads
HardTail,"


	Size: 
	 
18"", 19.5"" &amp; 21""
 



	Brakes: 
	 

Tektro, mechanical disc w/Shimano levers

 

 



	Frame: 
	 

Alloy Hardtail MTB

 

 



	Front Suspension: 
	 

SR Suntour Suspension fork, 63mm

 

 



	Rear Suspension: 
	 

SHIMANO ALTUS M310 DL

 

 




	Tyre: 
	 

KENDA 26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

VP Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Alloy 640mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy, 28.6mm

 

 






	Seat Post: 
	 

Alloy 27.2 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51

 

 



	Rear Derailleurs: 
	 

SHIMANO ALTUS M310 DL

 

 




	Pedals: 
	 

WELLGO Nylon platform

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 7 speed

 

 






	Crank Set: 
	 

PROWHEEL 28/38/48,170mm

 

 




	Wheel Set: 
	 

Alloy 36H Double Wall Rims

 

 






	Extras: 
	 

Front/Rear Wheel &amp; Seat post with QR

 

 




 ",21590,http://kohinoorsalesagency.com/showImage.ashx?uid=17,Target D 21S
,,190,http://kohinoorsalesagency.com/showImageac.ashx?uid=3,Firefox- Bicycle Bell-Compass
,,1190,http://kohinoorsalesagency.com/showImageac.ashx?uid=2,Firefox- Bicycle Bag Handlebar Type
,,1130,http://kohinoorsalesagency.com/showImageac.ashx?uid=4,Firefox- Bicycle Headprotector-Infusion
,,1620,http://kohinoorsalesagency.com/showImageac.ashx?uid=5,Firefox- Bicycle Hydra Pack
Full Suspension,"


	Size: 
	 
17""
 



	Brakes: 
	 

Steel ""V"" Brake, Alloy Levers

 

 



	Frame: 
	 

Steel Full Suspension Folding

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 



	Rear Suspension: 
	 

Steel, 750LB

 

 




	Tyre: 
	 

26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ20 14-28T, 6 speed

 

 



 




	Headset: 
	 

Steel, 8 Pcs

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy adjustable

 

 






	Seat Post: 
	 

Steel 25.4 X 250mm

 

 







	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

VP Folding

 

 



	BB Set: 
	 

Steel Semi cartridge

 

 




	Shifters: 
	 

SHIMANO RS35, 6 speed Grip

 

 






	Crank Set: 
	 

Steel 40T, 170mm

 

 








	Extras: 
	 

Seat post with QR

 

 




 ",12640,http://kohinoorsalesagency.com/showImage.ashx?uid=10,Kompac ST 6 Speed (Folding)
Kids,"


	Size: 
	 
9""
 



	Brakes: 
	 

Steel ""V"" Brake wylon Levers

 

 



	Frame: 
	 

Steel Oversized

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 14 X 1.95""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Steel, 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 180mm

 

 









	Pedals: 
	 

PP W/Ball

 

 



	BB Set: 
	 

Steel, 9 pieces

 

 








	Crank Set: 
	 

Steel 1 piece, 28T

 

 




	Wheel Set: 
	 

Steel 20H Rims

 

 






	Extras: 
	 

Training Wheel,chain guard,Safety pads,fenders,Seat QR

 

 




 ",6140,http://kohinoorsalesagency.com/showImage.ashx?uid=51,Tom & Jerry
Kids,"


	Size: 
	 
8.5""
 



	Brakes: 
	 

Steel Caliper Brake w/PP Levers

 

 



	Frame: 
	 

Steel Oversized Girls

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 14 X 1.95""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Steel, 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 220mm

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel, 9 pieces

 

 








	Crank Set: 
	 

Steel 1 piece, 28T

 

 








	Extras: 
	 

Training Wheel,chain guard,Safety pads,fenders, Basket,Streamers, Seat

 

 




 ",5880,http://kohinoorsalesagency.com/showImage.ashx?uid=50,Sweetie
Full Suspension,"


	Size: 
	 
18""
 



	Brakes: 
	 

Front Disc&amp; Rear Steel ""V"" Brake w/Shimano levers

 

 



	Frame: 
	 

Steel Full Suspension

 

 



	Front Suspension: 
	 

ZOOM Front suspension, 50mm

 

 



	Rear Suspension: 
	 

Steel, 750LB

 

 




	Tyre: 
	 

26 X 2.10""

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Steel 28.6 X 250mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51

 

 



	Rear Derailleurs: 
	 

SHIMANO TX35B

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 




	Shifters: 
	 

SHIMANO EF51, 7 Speed

 

 






	Crank Set: 
	 

Steel 24/34/42,170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",14230,http://kohinoorsalesagency.com/showImage.ashx?uid=58,Dart 2.6 D 21 Speed
Kids,"


	Size: 
	 

 



	Brakes: 
	 

Steel ""V"" Brake w/PP Levers

 

 



	Frame: 
	 

Steel Oversized Square

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 14 X 1.95""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Steel, 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 250mm

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel, 9 pieces

 

 








	Crank Set: 
	 

Steel 1 piece, 28T

 

 




	Wheel Set: 
	 

Steel 20H Rims

 

 








 ",5660,http://kohinoorsalesagency.com/showImage.ashx?uid=48,Demon X
Kids,"


	Size: 
	 
8.5""
 



	Brakes: 
	 

Steel ""V"" Brake w/PP Levers

 

 



	Frame: 
	 

Steel Oversized

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 14 X 1.95""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Steel, 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 180mm

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel, 9 pieces

 

 








	Crank Set: 
	 

Steel 1 piece, 28T

 

 




	Wheel Set: 
	 

Steel 20H Rims Tires : BMX 14 X 1.95""

 

 






	Extras: 
	 

Training Wheel,chain guard,Safety pads,fenders,Seat QR

 

 




 ",5580,http://kohinoorsalesagency.com/showImage.ashx?uid=49,Popeye
Kids,"


	Size: 
	 
9""
 



	Brakes: 
	 

Steel ""V"" Brake wylon Levers

 

 



	Frame: 
	 

Steel Oversized

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 14 X 1.95""

 

 



	Wheel: 
	 

18T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Steel, 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 180mm

 

 









	Pedals: 
	 

PP W/Ball

 

 



	BB Set: 
	 

Steel, 9 pieces

 

 








	Crank Set: 
	 

Steel 1 piece, 28T

 

 




	Wheel Set: 
	 

Steel 20H Rims

 

 






	Extras: 
	 

Training Wheel,chain guard,Safety pads,fenders,Seat QR

 

 




 ",6460,http://kohinoorsalesagency.com/showImage.ashx?uid=52,Tweety
Kids,"


	Size: 
	 
7.5 Inch
 



	Brakes: 
	 

Steel Caliper Brake w/PP Levers

 

 



	Frame: 
	 

Steel Oversized

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 14 X 1.95""

 

 



	Wheel: 
	 

18T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Steel, 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 220mm

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel, 9 pieces

 

 








	Crank Set: 
	 

Steel 1 piece, 28T

 

 




	Wheel Set: 
	 

Steel 20H Rims

 

 






	Extras: 
	 

Training Wheel,chain guard,Safety pads,fenders,Seat QR

 

 




 ",5650,http://kohinoorsalesagency.com/showImage.ashx?uid=47,Diablo
