category,specification,MRP,imgurl,productname
Kids,"


	Size: 
	 
7.5""
 



	Brakes: 
	 

Steel Caliper Brake w/PP Levers

 

 



	Frame: 
	 

Steel Oversized

 

 






	Tyre: 
	 

Wanda BMX 14 X 1.95""

 

 



	Wheel: 
	 

18T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Steel, 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 220mm

 

 
















	Crank Set: 
	 

Steel 1 piece, 28T

 

 




	Wheel Set: 
	 

Steel 20H Rims

 

 








 ",4770,http://kohinoorsalesagency.com/showImage.ashx?uid=7,Diablo  Kids( 3-5 Years )
Road,"


	Size: 
	 
52,54,56CM
 



	Brakes: 
	 

TEKTRO Alloy Brake w/Shimano levers

 

 



	Frame: 
	 

Alloy Road

 

 






	Tyre: 
	 

KENDA 700 X 23C

 

 



	Wheel: 
	 

SUNRACE CSR86, 12-25T, 8 Speed

 

 



 


	Fork: 
	 

Rigid Alloy

 

 




	Headset: 
	 

VP Alloy 1-1/8"" threadless

 

 






	Handle Bar: 
	 

ZOOM Alloy 25.4 X 600mm

 

 





	Stem: 
	 

ZOOM Alloy, 28.6mm

 

 






	Seat Post: 
	 

ZOOM Alloy 27.2 X 350mm

 

 






	Front Derailleurs: 
	 

SHIMANO R225 3 speed

 

 



	Rear Derailleurs: 
	 

SHIMANO R221 8 speed

 

 




	Pedals: 
	 

Alloy

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO R221/225

 

 






	Crank Set: 
	 

PROWHEEL Solid 531 30/42/52, 175mm Alloy crank

 

 




	Wheel Set: 
	 

Alloy 36H double wall Rims

 

 






	Extras: 
	 

Front / Rear Wheel with QR

 

 




 ",20100,http://kohinoorsalesagency.com/showImage.ashx?uid=41,Road Pro Street
,,940,http://kohinoorsalesagency.com/showImageac.ashx?uid=8,"Firefox- Handlebar Grip, Hybrid with Bar End"
BMX,"


	Size: 
	 
10""
 



	Brakes: 
	 

Alloy ""U"" Brake w/Alloy Lever

 

 



	Frame: 
	 

Steel BMX

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 20 X 2.125""

 

 



	Wheel: 
	 

DNP 14T

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Zoom Alloy, 28.6mm 4 Bolts

 

 






	Seat Post: 
	 

Steel, 25.4 X 250mm

 

 









	Pedals: 
	 

Alloy

 

 



	BB Set: 
	 

Steel, 10 pieces

 

 








	Crank Set: 
	 

Steel 3 pieces, 33T X 170MM

 

 




	Wheel Set: 
	 

Steel 36H Rims

 

 






	Extras: 
	 

2 Stunt Pegs

 

 




 ",10890,http://kohinoorsalesagency.com/showImage.ashx?uid=46,Skull
Full Suspension,"


	Size: 
	 
17 Inch
 



	Brakes: 
	 

Steel ""V"" Brake, PP Levers

 

 



	Frame: 
	 

Alloy Full Suspension

 

 



	Front Suspension: 
	 

ZOOM Front suspension fork, 50m

 

 



	Rear Suspension: 
	 

Steel, 750LB

 

 




	Tyre: 
	 

26 X 2.125""

 

 



	Wheel: 
	 

DNP 18T

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 600mm,30mm rise

 

 





	Stem: 
	 

Alloy, 28.6mm

 

 






	Seat Post: 
	 

Alloy 27.2 X 250mm

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel 5 Pcs

 

 








	Crank Set: 
	 

Steel 40T, 170mm

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 






	Extras: 
	 

Seat post with QR

 

 




 ",11380,http://kohinoorsalesagency.com/showImage.ashx?uid=13,Warrior
BMX,"


	Size: 
	 
11""
 



	Brakes: 
	 

Steel ""V"" Brake w/Alloy Lever

 

 



	Frame: 
	 

Steel BMX

 

 



	Front Suspension: 
	 

Steel Rigid

 

 





	Tyre: 
	 

BMX 20 X 2.125""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 10 pcs.

 

 






	Handle Bar: 
	 

Steel BMX

 

 





	Stem: 
	 

Alloy, 22.2mm

 

 






	Seat Post: 
	 

Steel, 25.4 X 250mm Bend Type

 

 









	Pedals: 
	 

PP

 

 



	BB Set: 
	 

Steel, 9 pieces

 

 








	Crank Set: 
	 

Steel 1 piece, 39T X 170MM

 

 




	Wheel Set: 
	 

Alloy 48H Rims

 

 






	Extras: 
	 

2 Stunt Pegs

 

 




 ",8990,http://kohinoorsalesagency.com/showImage.ashx?uid=45,Matrix
HardTail,"


	Size: 
	 

 



	Brakes: 
	 

Alloy ""V"" w/Shimano EF51 levers

 

 



	Frame: 
	 

Steel MTB Oversized Hardtail

 

 



	Front Suspension: 
	 

ZOOM Suspension fork, 60mm

 

 





	Tyre: 
	 

KENDA 26 X 2.35""

 

 



	Wheel: 
	 

SHIMANO TZ31 14-34T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" Threadless

 

 






	Handle Bar: 
	 

ZOOM 620mm,30mm rise

 

 





	Stem: 
	 

ZOOM, 28.6mm

 

 






	Seat Post: 
	 

Steel 25.4 X 350mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX50

 

 



	Rear Derailleurs: 
	 

SHIMANO TX51D

 

 




	Pedals: 
	 

WELLGO nylon platform

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 7 Speed/span

 

 






	Crank Set: 
	 

PROWHEEL 24/34/42,170mm

 

 




	Wheel Set: 
	 

Alloy Double wall 36H Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",16470,http://kohinoorsalesagency.com/showImage.ashx?uid=22,Bad Attitude
Hybrid,"


	Size: 
	 
18"" , 19.5""
 



	Brakes: 
	 

Alloy ""V"" Brake w/Shimano EF51 levers

 

 



	Frame: 
	 

Alloy Hybrid

 

 



	Front Suspension: 
	 

ZOOM Alloy suspension fork, 40mm

 

 





	Tyre: 
	 

700 X 35C

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless, 10 pcs

 

 






	Handle Bar: 
	 

Steel 600mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy adjustable, 28.6mm

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51

 

 



	Rear Derailleurs: 
	 

SHIMANO TX51D

 

 




	Pedals: 
	 

WELLGO PP

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 7 speed

 

 






	Crank Set: 
	 

Steel 28/38/48, 170mm Alloy crank

 

 




	Wheel Set: 
	 

Alloy Double wall 36H Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",16940,http://kohinoorsalesagency.com/showImage.ashx?uid=42,Road Runner Pro-V
HardTail,"


	Size: 
	 
18"", 19.5"" &amp; 21""
 




	Frame: 
	 

Alloy Hardtail MTB

 

 



	Front Suspension: 
	 

SR Suntour XCT w/mechanical lockout,100mm

 

 





	Tyre: 
	 

KENDA 26 X 2.1""

 

 



	Wheel: 
	 

SHIMANO CS-HG31 11-32T, 8 speed

 

 



 




	Headset: 
	 

FP 1-1/8"" threadless, semi integrated

 

 






	Handle Bar: 
	 

ZOOM Alloy 660mm,31.8mm 20mm rise

 

 





	Stem: 
	 

ZOOM Alloy, 28.6mm

 

 






	Seat Post: 
	 

ZOOM Alloy 30.4 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX50

 

 



	Rear Derailleurs: 
	 

SHIMANO M360 Acera

 

 




	Pedals: 
	 

WELLGO nylon platform

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 8 speed

 

 






	Crank Set: 
	 

PROWHEEL 24/34/42,170mm

 

 




	Wheel Set: 
	 

Alloy 32H Double Wall Rims

 

 






	Extras: 
	 

Front/Rear Wheel &amp; Seat post with QR

 

 




 ",21590,http://kohinoorsalesagency.com/showImage.ashx?uid=20,Sniper V
HardTail,"


	Size: 
	 
17 Inch
 



	Brakes: 
	 

Steel ""V"" Brake, Alloy Levers

 

 



	Frame: 
	 

Steel Hardtail Ladies

 

 



	Front Suspension: 
	 

ZOOM Suspension fork

 

 





	Tyre: 
	 

26 X 2.1""

 

 



	Wheel: 
	 

16T

 

 



 




	Headset: 
	 

Steel 8 pcs.

 

 






	Handle Bar: 
	 

Steel 580mm,30mm rise

 

 





	Stem: 
	 

Steel,22.2mm

 

 






	Seat Post: 
	 

Steel 25.4 X 250mm

 

 










	BB Set: 
	 

Steel 5 pcs.

 

 








	Crank Set: 
	 

Steel 40T, 170mm

 

 








	Extras: 
	 

Seat post with QR

 

 




 ",9220,http://kohinoorsalesagency.com/showImage.ashx?uid=21,Breeze
